building_type,roof_uvalue,wall_uvalue,floor_uvalue,roof_surface,wall_surface,floor_surface,window_uvalue,windows_total_area,window_shgc,window_east_surface,window_south_surface,window_west_surface,window_north_surface,door_uvalue,door_surface,windows_to_walls_ratio
sfh1,2.6,2,2.9,134,170,85,2.8,28.7,0.75,7.9,9.6,7.9,3.3,3,2,0.168823529
sfh2,1.3,1.7,1.013639847,83,194,79,2.8,22.4,0.75,7.7,5.6,7.7,1.4,3,3,0.115463918
sfh3,1.4,1.7,0.77,214,235,145,2.8,52.4,0.75,9.1,22,9.1,12.2,3,3,0.222978723
sfh4,1.4,1.4,0.831526909,125,118,80,2.8,18.3,0.75,3.2,8.6,3.2,3.3,3,2,0.155084746
sfh5,0.8,1.176784523,1.08,169,141,116,2.8,25,0.75,5.7,6.3,8.9,4.1,3,3,0.177304965
sfh6,0.5,1,0.881753119,183,178,152,2.8,34.2,0.75,5,16.6,5,7.6,3,3,0.192134831
sfh7,0.5,0.8,0.65,101,159,83,4.3,27,0.75,8.7,6,8.7,3.6,3,3,0.169811321
sfh8,0.4,0.5,0.51,123,211,75,3.2,29.6,0.75,7.4,12.7,7.4,2.1,3,3,0.14028436
sfh9,0.35,0.3,0.4,116,127,84,1.9,32.5,0.6,3.6,20.3,3.6,5,2,2,0.255905512
sfh10,0.25,0.3,0.28,86,189,80,1.4,28.2,0.6,3.9,17.3,3.9,3.1,2,2,0.149206349
sfh11,0.2,0.28,0.35,132,228,108,1.3,42,0.6,2.7,22.6,13,3.7,1.8,2.6,0.184210526
sfh12,0.146,0.17,0.17,132,228,108,1.1,42,0.5,2.7,22.6,13,3.7,1.3,2.6,0.184210526
th2,0.769,1.7,0.88,60,74,60,2.7,18.1,0.75,0,10.1,0,8,3,2,0.244594595
th3,0.645,1.7,0.77,50,64,50,2.8,21.5,0.75,0,13.6,0,7.9,3,2,0.3359375
th4,0.645,1.2,1.29,81,135,81,2.8,46.6,0.75,0,25.6,0,21,3,2,0.345185185
th5,0.508,1.2,1.08,46,40,46,2.8,13.5,0.75,0,8.1,0,5.4,3,2,0.3375
th6,0.508,1,0.77,61,54,61,2.8,23.4,0.75,11.7,0,11.7,0,3,2,0.433333333
th7,0.5,0.8,0.65,98,54,73,2.8,20.2,0.75,0,11.9,0,8.3,3,2,0.374074074
th8,0.4,0.6,0.51,65,51,56,2.8,18.8,0.75,9.4,0,9.4,0,3,2,0.368627451
th9,0.35,0.6,0.45,77,59,52,1.6,22.4,0.6,0,18.2,0,4.2,2,2,0.379661017
