building_type,tabula_ID,percentage,,,,,,
sfh,2,0.0549451,,,,0.054945055,,
sfh,3,0.0769231,,,,0.076923077,,
sfh,4,0.2399267,,,,0.23992674,,
sfh,5,0.2344322,,,,0.234432234,,
sfh,6,0.1098901,,,,0.10989011,,
sfh,7,0.0265568,,,,0.026556777,,
sfh,8,0.0265568,,,,0.026556777,,
sfh,9,0.0586081,,,,0.058608059,,
sfh,10,0.1080586,,,,0.108058608,,
sfh,11,0.0213675,,,,0.021367521,,
sfh,11,0.0213675,,,,0.021367521,,
sfh,12,0.0213675,,,,0.021367521,,
th,2,0.0549451,,,,,,
th,3,0.0769231,,,,,,
th,4,0.2399267,,,,,,
th,5,0.2344322,,,,,,
th,6,0.1098901,,,,,,
th,7,0.0265568,,,,,,
th,8,0.0265568,,,,,,
th,9,0.0586081,,,,,,
th,10,0.1080586,,,,,,
th,11,0.0213675,,,,,,
th,11,0.0213675,,,,,,
th,12,0.0213675,,,,,,
mfh,2,0.0549451,,,,,,
mfh,3,0.0769231,,,,,,
mfh,4,0.2399267,,,,,,
mfh,5,0.2344322,,,,,,
mfh,6,0.1098901,,,,,,
mfh,7,0.0265568,,,,,,
mfh,8,0.0265568,,,,,,
mfh,9,0.0586081,,,,,,
mfh,10,0.1080586,,,,,,
mfh,11,0.0213675,,,,,,
mfh,11,0.0213675,,,,,,
mfh,12,0.0213675,,,,,,
ab,2,0.0767263,,,,,,
ab,3,0.1074169,,,,,,
ab,4,0.3350384,,,,,,
ab,5,0.3273657,,,,,,
ab,6,0.1534527,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
