building_type,roof,wall,floor,window,window shgc,window_north_surface,window_east_surface,window_south_surface,window_west_surface,door,door_surface,,,,,,,
sfh1,2.6,2,,2.8,0.75,3.3,7.9,9.6,7.9,3,2,,,,,,,
sfh2,1.3,1.7,1.013639847,2.8,0.75,1.4,7.7,5.6,7.7,3,3,,,,,,,
sfh3,1.4,1.7,0.77,2.8,0.75,12.2,9.1,22,9.1,3,3,,,,,,,
sfh4,1.4,1.4,0.831526909,2.8,0.75,3.3,3.2,8.6,3.2,3,2,,,,,,,
sfh5,0.8,1.176784523,1.08,2.8,0.75,4.10,5.70,6.30,8.90,3,3.00,,,,,,,
sfh6,0.5,1,0.881753119,2.8,0.75,7.60,5.00,16.60,5,3,3.00,,,,,,,
sfh7,0.5,0.8,0.65,4.3,0.75,3.60,8.70,6.00,8.7,3,3.00,,,,,,,
sfh8,0.4,0.5,0.51,3.2,0.75,2.10,7.40,12.70,7.4,3,3.00,,,,,,,
sfh9,0.35,0.3,0.4,1.9,0.6,5.00,3.60,20.30,3.6,2,2.00,,,,,,,
sfh10,0.25,0.3,0.28,1.4,0.6,3.10,3.90,17.30,3.9,2,2.00,,,,,,,
sfh11,0.2,0.28,0.35,1.3,0.6,3.70,2.70,22.60,13,1.8,2.60,,,,,,,
sfh12,0.146,0.17,0.17,1.1,0.5,3.7,2.7,22.6,13,1.3,2.60,,,,,,,
th2,0.769,1.7,0.88,2.7,0.75,,,,,3,,,,,,,,
th3,0.645,1.7,0.77,2.8,0.75,,,,,3,,,,,,,,
th4,0.645,1.2,1.29,2.8,0.75,,,,,3,,,,,,,,
th5,0.508,1.2,1.08,2.8,0.75,,,,,3,,,,,,,,
th6,0.508,1,0.77,2.8,0.75,,,,,3,,,,,,,,
th7,0.5,0.8,0.65,2.8,0.75,,,,,3,,,,,,,,
th8,0.4,0.6,0.51,2.8,0.75,,,,,3,,,,,,,,
th9,0.35,0.6,0.45,1.6,0.6,,,,,2,,,,,,,,
th10,0.2,0.3,0.28,1.3,0.6,,,,,2,,,,,,,,
th11,0.2,0.28,0.35,1.3,0.6,,,,,1.8,,,,,,,,
th12,0.134,0.16,0.16,1.1,0.5,,,,,1.3,,,,,,,,
mfh1,2.6,2,0.970218642,2.8,0.75,,,,,3,,,,,,,,
mfh2,1.3,2.2,0.88,2.7,0.75,,,,,3,,,,,,,,
mfh3,1.2761577,1.7,0.77,3,0.75,,,,,3,,,,,,,,
mfh4,1.081,1.2,1.33,3,0.75,,,,,3,,,,,,,,
mfh5,0.508,1.2,1.08,3,0.75,,,,,3,,,,,,,,
mfh6,0.508,1,0.77,3,0.75,,,,,4,,,,,,,,
mfh7,0.435,0.8,0.65,3,0.75,,,,,4,,,,,,,,
mfh8,0.357,0.6,0.51,3,0.75,,,,,4,,,,,,,,
mfh9,0.317,0.4,0.4,1.9,0.6,,,,,2,,,,,,,,
mfh10,0.2,0.25,0.32,1.4,0.6,,,,,3,,,,,,,,
mfh11,0.2,0.28,0.35,1.3,0.6,,,,,1.8,,,,,,,,
mfh12,0.253,0.29,0.29,1.1,0.5,,,,,1.3,,,,,,,,
ab2,1.3,1.7,0.88,2.8,0.75,,,,,3,,,,,,,,
ab3,0.645,1.4,0.77,3,0.75,,,,,3,,,,,,,,
ab4,1.081,1.2,1.29,3,0.75,,,,,3,,,,,,,,
ab5,0.508,1.2,1.08,3,0.75,,,,,3,,,,,,,,
ab6,0.508,1.1,0.77,3,0.75,,,,,4,,,,,,,,
