,Diameter,Renovated_Losses_W,Renovated_Length_m,Booster_Losses_W,Booster_Length_m,Losses_Diff_W,Length_Diff_m,Renovated_Length_km,Booster_Length_km,Length_Diff_km
0,0.01,3835.734,1607.6,73.68,30.88,-3762.054,-1576.7199999999998,1.6076,0.030879999999999998,-1.57672
1,0.011,1089.908,381.22,1615.022,564.89,525.114,183.66999999999996,0.38122,0.56489,0.18366999999999997
2,0.012,3371.7,1024.21,940.689,285.75,-2431.011,-738.46,1.02421,0.28575,-0.73846
3,0.013,2661.598,721.3,1102.904,298.89,-1558.694,-422.40999999999997,0.7212999999999999,0.29889,-0.42240999999999995
4,0.014,489.192,120.55000000000001,2025.5910000000001,499.16,1536.3990000000001,378.61,0.12055000000000002,0.49916000000000005,0.37861
5,0.015,2817.522,640.2,2270.608,515.93,-546.9139999999998,-124.2700000000001,0.6402,0.51593,-0.12427000000000009
6,0.016,3786.052,801.79,2846.232,602.76,-939.8200000000002,-199.02999999999997,0.80179,0.60276,-0.19902999999999998
7,0.017,4149.25,826.05,4797.867,955.18,648.6170000000002,129.13,0.82605,0.9551799999999999,0.12913
8,0.018,2455.283,462.65,3182.877,599.75,727.594,137.10000000000002,0.46264999999999995,0.59975,0.13710000000000003
9,0.019,3295.807,591.07,5633.936,1010.39,2338.129,419.31999999999994,0.5910700000000001,1.01039,0.4193199999999999
10,0.02,9556.251,1638.8700000000001,4682.584,803.05,-4873.667,-835.8200000000002,1.63887,0.8030499999999999,-0.8358200000000001
11,0.021,5420.62,892.43,6676.542,1099.2,1255.9220000000005,206.7700000000001,0.89243,1.0992,0.2067700000000001
12,0.022,9440.288,1497.27,5361.143,850.3,-4079.1450000000004,-646.97,1.4972699999999999,0.8503,-0.64697
13,0.023,5902.375,904.4399999999999,8831.115,1353.22,2928.74,448.7800000000001,0.9044399999999999,1.35322,0.44878000000000007
14,0.024,8435.6,1252.13,9631.416,1429.63,1195.815999999999,177.5,1.2521300000000002,1.4296300000000002,0.1775
15,0.025,8007.233,1153.78,8852.177,1275.53,844.9439999999995,121.75,1.15378,1.27553,0.12175
16,0.026,10477.461,1468.46,8461.039,1185.85,-2016.4219999999987,-282.6100000000001,1.46846,1.1858499999999998,-0.28261000000000014
