building_type,ceiling_height,age_code
sfh,2.3,1
sfh,2.6,2
sfh,2.8,3
sfh,2.4,4
sfh,2.5,5
sfh,2.6,6
sfh,2.5,7
sfh,2.5,8
sfh,2.5,9
sfh,2.5,10
sfh,2.5,11
sfh,2.5,12
mfh,2.6,1
mfh,3,2
mfh,2.8,3
mfh,2.7,4
mfh,2.6,5
mfh,2.5,6
mfh,2.8,7
mfh,2.7,8
mfh,2.7,9
mfh,2.7,10
mfh,2.7,11
mfh,2.7,12
th,2.9,1
th,2.9,2
th,2.6,3
th,2.6,4
th,2.5,5
th,2.5,6
th,2.5,7
th,2.5,8
th,2.6,9
th,2.6,10
th,2.5,11
th,2.5,12
ab,2.6,1
ab,3,2
ab,2.8,3
ab,2.7,4
ab,2.5,5
ab,2.6,6
ab,2.6,7
ab,2.6,8
ab,2.6,9
ab,2.6,10
ab,2.6,11
ab,2.6,12
non_res,2.6,1
non_res,3,2
non_res,2.8,3
non_res,2.7,4
non_res,2.6,5
non_res,2.5,6
non_res,2.8,7
non_res,2.7,8
non_res,2.7,9
non_res,2.7,10
non_res,2.7,11
non_res,2.7,12
