,full_id,building_usage,yearly_demand_unrenovated,consumer_size,initial_gas_price,renovation_costs,yearly_demand_renovated,npv_savings_30years_ir_0.03,npv_unrenovated_30years_ir_0.03,npv_renovated_30years_ir_0.03
0,w24853838,trade,3368360.1466045496,nr2,0.0985,3905629.991806909,1197392.8826751309,751440.8726756955,-7225669.479439186,-6474228.6067634905
1,w24853840,trade,270688.823253195,nr2,0.0985,399706.81286015175,88019.54120636193,-7852.082763254992,-580670.6775632519,-588522.7603265069
2,w24853841,trade,1189609.3568609958,nr2,0.0985,1719730.5275655687,370411.49455784855,37579.47897649743,-2551901.7112794877,-2514322.2323029903
3,w25538793,trade,112752.73275817276,nr2,0.0985,203988.7457688701,30724.044681390333,-28024.133293472347,-241872.58617085766,-269896.71946433
4,w27689586,office,239232.2588022705,nr2,0.0985,,239232.2588022705,,-513191.3321879722,
5,w28994179,other,602602.7887910821,nr2,0.0985,,602602.7887910821,,-1292679.0454939585,
6,w28994181,trade,324149.90597616514,nr2,0.0985,,324149.90597616514,,-695353.2224682374,
7,w29249266,trade,2697249.5326306587,nr2,0.0985,,2697249.5326306587,,-5786030.227797088,
8,w30213059,ab,354664.9280794791,r2,0.1054,442088.7953155977,186541.77691087977,-56173.96042421437,-814108.3260109635,-870282.2864351779
9,w50930444,other,1082817.2797117848,nr2,0.0985,1687476.827290228,330222.16830016905,-73040.33884531399,-2322815.6816039435,-2395856.0204492575
10,w50930445,other,664237.6418930636,nr2,0.0985,1200660.5809694345,202146.16980193532,-209400.7093183098,-1424895.6308782857,-1634296.3401965955
11,w50930458,other,337265.1957843652,nr2,0.0985,704593.447352357,60554.61203303029,-111005.1335655069,-723487.6098723396,-834492.7434378465
12,w50930471,other,805986.2955036239,nr2,0.0985,1176110.0402739367,258143.60911438576,-900.1439785368275,-1728969.0896436402,-1729869.233622177
13,w50930472,other,1058464.4972369291,nr2,0.0985,,1058464.4972369291,,-2270575.0810121787,
14,w50930478,trade,680901.6527717811,nr2,0.0985,,680901.6527717811,,-1460642.590695741,
15,w50930479,other,605573.605365519,nr2,0.0985,909405.8917485056,185541.01142931575,-8369.018528781133,-1299051.9206369445,-1307420.9391657256
16,w50930480,other,571805.8128687943,nr2,0.0985,868839.2272001839,168700.98991545063,-4115.121268447954,-1226614.6226604865,-1230729.7439289344
17,w50930481,other,219388.45256825408,nr2,0.0985,417661.0840169621,62080.660377160784,-80210.79264626635,-470623.2044283633,-550833.9970746296
18,w50930482,other,231580.2187222324,nr2,0.0985,401477.5909587453,63379.87619939754,-40661.04269753874,-496776.48637122894,-537437.5290687677
19,w50930483,other,154144.6310888841,nr2,0.0985,259406.9395957584,45123.70064816985,-25539.664298722113,-330664.8065531586,-356204.47085188073
20,w50930486,trade,106076.66272902593,nr2,0.0985,189915.5442129527,30466.044901173256,-27718.715554061608,-227551.3516969158,-255270.06725097742
21,w98916060,other,226605.19701500298,nr2,0.0985,,226605.19701500298,,-486104.27171932714,
22,w98916062,trade,44628.266224654115,nr1,0.107,87342.09597641662,11092.043274505519,-9193.484311046763,-103996.11941015506,-113189.60372120183
23,w98916065,other,74365.24956076973,nr2,0.0985,129242.6841240452,20948.500685227787,-14655.242389245366,-159525.31519641462,-174180.55758566
24,w98916067,trade,3034378.024269405,nr2,0.0985,,3034378.024269405,,-6509224.58548447,
25,w98916074,trade,491122.8611791089,nr2,0.0985,,491122.8611791089,,-1053536.8292651149,
26,w98916075,sfh,14372.556497617988,r1,0.1145,70128.02918305535,8538.96409194254,-55581.314877971294,-35839.57511346221,-91420.8899914335
27,w98916076,sfh,30526.14503843407,r1,0.1145,84863.56112795122,13728.213996145805,-42976.04366085166,-76120.35257685152,-119096.39623770319
28,w98916079,trade,503916.8562605286,nr2,0.0985,912453.36147083,133751.88480733606,-118390.48809221806,-1080981.9882612806,-1199372.4763534986
29,w98916080,other,385409.83654958865,nr2,0.0985,653577.6985601792,104082.21116258297,-50085.09444208455,-826765.5392607731,-876850.6337028577
30,w98916086,other,84265.32015590335,nr2,0.0985,170358.1699443321,20686.516731325537,-33971.50122444198,-180762.54483638055,-214734.04606082253
31,w98916091,trade,65522.69205707044,nr2,0.0985,,65522.69205707044,,-140556.61972034647,
32,w98916094,trade,46278.56665361178,nr1,0.107,122603.26499648656,13612.2294499376,-46481.72607259748,-107841.77273687335,-154323.49880947082
33,w98916098,trade,1389797.224493673,nr2,0.0985,,1389797.224493673,,-2981336.6001721057,
34,w98916102,trade,284238.58921225026,nr2,0.0985,570161.5081724942,73425.17962658805,-117933.13792676781,-609737.0855726758,-727670.2234994436
35,w98916109,sfh,38719.86130122445,r1,0.1145,80257.42186469061,9629.8057932929,-7718.1189505508955,-96552.29935732459,-104270.41830787549
36,w98916113,trade,173540.7692960107,nr2,0.0985,288941.8204545273,50271.6825643969,-24509.978552814748,-372272.61503037746,-396782.5935831922
37,w98916116,other,1062734.6846249367,nr2,0.0985,1464573.826716473,358101.17313169746,46977.38413583301,-2279735.3136886386,-2232757.9295528056
38,w98916121,other,80557.30305057266,nr2,0.0985,151921.13020927223,22475.134293848154,-27325.619094417634,-172808.2570342776,-200133.87612869524
