,fid,full_id,osm_id,building_usage,age_code,roof_area,roof_u_value,roof_slope,walls_area,walls_u_value,ground_contact_area,ground_contact_u_value,door_area,door_u_value,windows_area,windows_shgc,window_u_value,windows,available_angles,available_cardinals,volume,building_height,ceiling_height,n_floors,GFA,NFA,n_people,people_id,geometry,dhw_volume_path,dhw_energy_path,space_heating_path,yearly_dhw_volume,yearly_dhw_energy,yearly_space_heating,specific_ued,needs_insulation,insulation_thickness,costs_walls,costs_roof,cost_ground_contact,cost_windows,cost_door,total_cost
0,1,w24853838,24853838,trade,3,11093.842621445656,0.297532366111774,15.720841328083166,5605.23928,0.3098980740191789,10970.362040758133,0.27655838556026313,0.0,0.8,1243.8615072968328,0.65,0.8,"{""north"": {""area"": 310.9653768242082, ""u_value"": 0.8, ""shgc"": 0.65}, ""east"": {""area"": 310.9653768242082, ""u_value"": 0.8, ""shgc"": 0.65}, ""south"": {""area"": 310.9653768242082, ""u_value"": 0.8, ""shgc"": 0.65}, ""west"": {""area"": 310.9653768242082, ""u_value"": 0.8, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],139931.70599365234,10.8840542818923,2.8,3.0,32911.0861222744,27974.42320393324,0,,"MULTIPOLYGON (((470629.6635333601 5549714.491371421, 470686.51344875223 5549712.700262477, 470667.0308065989 5549799.93518231, 470662.2164586884 5549799.750363808, 470659.6825772952 5549811.094476598, 470612.42748454085 5549812.110351298, 470592.4513205835 5549809.4183250265, 470568.34576035244 5549810.140401208, 470547.01852245996 5549806.277382137, 470563.86790728464 5549716.576993696, 470581.87394815416 5549716.010799387, 470598.1851631663 5549715.487351458, 470617.50698612916 5549714.88067801, 470608.8083158871 5549753.577951519, 470614.41528901464 5549754.825779326, 470620.3087634838 5549756.149869661, 470629.6635333601 5549714.491371421)))",building_analysis/results/unrenovated_whole_buildingstock/dhw_volumes\dhw_volume_w24853838.csv,building_analysis/results/unrenovated_whole_buildingstock/dhw_energy\dhw_energy_w24853838.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w24853838.csv,0.0,0.0,1197392.8826751309,42.80313034324782,False,50.0,719880.8807304,1637894.9246302368,214689.98513763666,382679.0263113798,0.0,3905629.9918069094
1,2,w24853840,24853840,trade,2,1102.579556800425,0.2886288905780702,5.0,562.9658,0.30932630852684656,1102.579556800425,0.2807020135881758,0.0,0.8,148.7677671296916,0.65,0.8,"{""north"": {""area"": 49.5892557098972, ""u_value"": 0.8, ""shgc"": 0.65}, ""east"": {""area"": 49.5892557098972, ""u_value"": 0.8, ""shgc"": 0.65}, ""west"": {""area"": 49.5892557098972, ""u_value"": 0.8, ""shgc"": 0.65}}",[  0.6801444  90.6801444 270.6801444],['north' 'east' 'west'],6744.335319519043,5.99322359902518,3.0,1.0,1102.579556800425,937.1926232803613,0,,"MULTIPOLYGON (((470849.2408061371 5549652.634765471, 470842.08862235135 5549681.4718279615, 470807.70613713196 5549682.449067944, 470807.610267912 5549653.128974779, 470849.2408061371 5549652.634765471)))",building_analysis/results/unrenovated_whole_buildingstock/dhw_volumes\dhw_volume_w24853840.csv,building_analysis/results/unrenovated_whole_buildingstock/dhw_energy\dhw_energy_w24853840.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w24853840.csv,0.0,0.0,88019.54120636193,93.91830347349082,False,50.0,72301.697694,162784.84576601477,21577.481926584318,45769.00558280781,0.0,399706.81286015175
2,3,w24853841,24853841,trade,2,5346.710720062256,0.2882160682230573,5.655823768549956,1946.4921,0.3100185918723765,5293.115560323,0.28060879163522257,0.0,0.8,514.3745560611043,0.65,0.8,"{""north"": {""area"": 128.59363901527607, ""u_value"": 0.8, ""shgc"": 0.65}, ""east"": {""area"": 128.59363901527607, ""u_value"": 0.8, ""shgc"": 0.65}, ""south"": {""area"": 128.59363901527607, ""u_value"": 0.8, ""shgc"": 0.65}, ""west"": {""area"": 128.59363901527607, ""u_value"": 0.8, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],36530.28744506836,6.53165877009013,3.0,2.0,10586.231120646,8998.296452549099,0,,"MULTIPOLYGON (((470718.7492404085 5549722.007901133, 470809.2829895527 5549723.636086362, 470808.22205028497 5549782.082985676, 470717.689290953 5549780.454822029, 470718.7492404085 5549722.007901133)))",building_analysis/results/unrenovated_whole_buildingstock/dhw_volumes\dhw_volume_w24853841.csv,building_analysis/results/unrenovated_whole_buildingstock/dhw_energy\dhw_energy_w24853841.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w24853841.csv,0.0,0.0,370411.49455784855,41.164624494330354,False,50.0,249987.980403,789388.3707099915,103586.2715155211,158249.41371534704,0.0,1719730.5275655687
3,4,w25538793,25538793,trade,2,484.38510751724243,0.2889399530071306,6.536972379016968,350.49365,0.30945126480555685,476.3355846153572,0.28154852851836293,0.0,0.8,92.62047126776731,0.65,0.8,"{""north"": {""area"": 23.15511781694183, ""u_value"": 0.8, ""shgc"": 0.65}, ""east"": {""area"": 23.15511781694183, ""u_value"": 0.8, ""shgc"": 0.65}, ""south"": {""area"": 23.15511781694183, ""u_value"": 0.8, ""shgc"": 0.65}, ""west"": {""area"": 23.15511781694183, ""u_value"": 0.8, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],1899.450065612793,3.99732952583127,3.0,1.0,476.3355846153572,404.8852469230536,0,,"MULTIPOLYGON (((471892.4618940799 5549219.53263449, 471892.56818620506 5549239.735119046, 471868.6252715542 5549239.249605056, 471868.52210906823 5549219.658643296, 471892.4618940799 5549219.53263449)))",building_analysis/results/unrenovated_whole_buildingstock/dhw_volumes\dhw_volume_w25538793.csv,building_analysis/results/unrenovated_whole_buildingstock/dhw_energy\dhw_energy_w25538793.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w25538793.csv,0.0,0.0,30724.044681390333,75.88333957554468,False,50.0,45013.8994695,71514.61727384568,9321.88739092254,28495.062797045022,0.0,203988.7457688701
4,5,w27689586,27689586,office,7,3355.3658701181407,0.1662006346992821,16.975485904439424,1842.2718,0.21693038667023887,3224.526559175924,0.3525906921173065,0.0,0.0,592.8766185362934,0.65,1.1904765959442984,"{""north"": {""area"": 148.21915463407336, ""u_value"": 1.1904765959442984, ""shgc"": 0.65}, ""east"": {""area"": 148.21915463407336, ""u_value"": 1.1904765959442984, ""shgc"": 0.65}, ""south"": {""area"": 148.21915463407336, ""u_value"": 1.1904765959442984, ""shgc"": 0.65}, ""west"": {""area"": 148.21915463407336, ""u_value"": 1.1904765959442984, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],23780.24925994873,7.00863390629834,2.8,2.0,6449.053118351848,5481.69515059907,0,,"MULTIPOLYGON (((471928.81783706736 5549261.393160659, 471932.5295572957 5549254.479939657, 471943.92901584203 5549241.83346467, 471960.62827008247 5549233.18423751, 471967.87448675156 5549233.268517864, 471967.874229921 5549231.8564189095, 472012.6505105991 5549231.821794993, 472012.6507555947 5549233.233893908, 472012.116998705 5549280.169565555, 472012.1104073932 5549284.372544316, 471982.8913037998 5549284.325564191, 471982.8863869317 5549286.115732985, 471971.24167565664 5549286.098984261, 471971.24658862303 5549284.308815442, 471960.4101082224 5549284.287849816, 471967.1085534753 5549275.413169553, 471960.3202510396 5549261.716952682, 471928.81783706736 5549261.393160659)))",building_analysis/results/renovated_whole_buildingstock/dhw_volume\dhw_volume_w27689586.csv,building_analysis/results/renovated_whole_buildingstock/dhw_energy\dhw_energy_w27689586.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w27689586.csv,0.0,0.0,239232.2588022705,43.6420217158785,False,,,,,182400.89091374187,0.0,
5,6,w28994179,28994179,other,7,10011.72794520855,0.17146462850104313,10.396263221165835,2507.30576,0.2404054122094333,9807.156169302762,0.3520914826504157,0.0,0.0,516.0613639372717,0.65,1.2469422147252693,"{""east"": {""area"": 172.02045464575724, ""u_value"": 1.2469422147252693, ""shgc"": 0.65}, ""south"": {""area"": 172.02045464575724, ""u_value"": 1.2469422147252693, ""shgc"": 0.65}, ""north"": {""area"": 172.02045464575724, ""u_value"": 1.2469422147252693, ""shgc"": 0.65}}",[ 78.58295715 168.58295715 348.58295715],['east' 'south' 'north'],61051.0984954834,5.75050365924835,2.8,2.0,19614.312338605523,16672.165487814695,0,,"MULTIPOLYGON (((470478.3829356124 5549619.113189187, 470485.81807607686 5549582.279547881, 470490.0509102932 5549561.319209315, 470498.8160603784 5549517.918073205, 470574.9735867827 5549533.209069342, 470545.0845853191 5549681.244493386, 470508.40309219353 5549673.874898859, 470517.85728478426 5549627.034231016, 470478.3829356124 5549619.113189187)))",building_analysis/results/renovated_whole_buildingstock/dhw_volume\dhw_volume_w28994179.csv,building_analysis/results/renovated_whole_buildingstock/dhw_energy\dhw_energy_w28994179.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w28994179.csv,0.0,0.0,602602.7887910821,36.14424228403387,False,,,,,158768.36698453288,0.0,
6,7,w28994181,28994181,trade,5,1685.4939168691635,0.9034472197775377,24.47554192738774,1098.35753,1.057085525147014,1673.531007245183,0.7191956911028031,0.0,0.0,222.38090799442327,0.65,2.123921793790575,"{""north"": {""area"": 55.59522699860582, ""u_value"": 2.123921793790575, ""shgc"": 0.65}, ""east"": {""area"": 55.59522699860582, ""u_value"": 2.123921793790575, ""shgc"": 0.65}, ""south"": {""area"": 55.59522699860582, ""u_value"": 2.123921793790575, ""shgc"": 0.65}, ""west"": {""area"": 55.59522699860582, ""u_value"": 2.123921793790575, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],9379.036514282227,5.51800737313345,2.6,2.0,3347.062014490366,2845.002712316811,0,,"MULTIPOLYGON (((470378.2648114318 5549750.626306448, 470364.4762443365 5549750.758386234, 470329.1037805948 5549751.110425003, 470304.48747648014 5549751.347293476, 470304.3865834533 5549740.918288065, 470313.36920934875 5549740.834999744, 470313.2413618605 5549728.1267615715, 470315.38688113476 5549728.103718617, 470327.49473973684 5549727.9697300745, 470347.36232703755 5549727.7704477385, 470347.3336413953 5549725.17989409, 470378.01472700154 5549724.876230485, 470378.2648114318 5549750.626306448)))",building_analysis/results/renovated_whole_buildingstock/dhw_volume\dhw_volume_w28994181.csv,building_analysis/results/renovated_whole_buildingstock/dhw_energy\dhw_energy_w28994181.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w28994181.csv,0.0,0.0,324149.90597616514,113.9365894355143,False,,,,,68416.38626352171,0.0,
7,8,w29249266,29249266,trade,2,9284.959016919136,1.044663285273209,12.904651812665191,4440.05457,1.3793389032953185,9180.881348936819,0.9468165313158525,0.0,0.0,1173.3163973955134,0.65,2.6740553616696325,"{""north"": {""area"": 293.32909934887834, ""u_value"": 2.6740553616696325, ""shgc"": 0.65}, ""east"": {""area"": 293.32909934887834, ""u_value"": 2.6740553616696325, ""shgc"": 0.65}, ""south"": {""area"": 293.32909934887834, ""u_value"": 2.6740553616696325, ""shgc"": 0.65}, ""west"": {""area"": 293.32909934887834, ""u_value"": 2.6740553616696325, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],111880.22647857666,11.9520247244949,3.0,3.0,27542.644046810456,23411.247439788887,0,,"MULTIPOLYGON (((470533.0932215686 5549715.479119751, 470536.0699058324 5549715.729553696, 470539.2336674372 5549717.480013767, 470542.04328580736 5549721.156004632, 470542.76265519677 5549725.799752448, 470527.7604036173 5549802.814431233, 470526.9797405144 5549805.209310361, 470525.4744118671 5549807.185668827, 470523.48098066554 5549808.842272177, 470521.49102071894 5549809.831720877, 470519.22671468806 5549810.355689173, 470437.4847592481 5549808.83943041, 470434.9562251198 5549808.141813626, 470433.0113091971 5549806.929496147, 470431.0825544517 5549804.760861131, 470429.7441382051 5549801.999654792, 470429.57097825 5549799.143046075, 470430.3286659377 5549796.48142499, 470444.4595961799 5549723.8187860865, 470445.2534313634 5549721.223681212, 470446.7136904484 5549718.858386907, 470449.2284248614 5549717.054324988, 470451.71879713016 5549716.01760571, 470533.0932215686 5549715.479119751)))",building_analysis/results/renovated_whole_buildingstock/dhw_volume\dhw_volume_w29249266.csv,building_analysis/results/renovated_whole_buildingstock/dhw_energy\dhw_energy_w29249266.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w29249266.csv,0.0,0.0,2697249.5326306587,115.21169641078217,False,,,,,360975.5377721016,0.0,
8,9,w30213059,30213059,ab,5,685.2812064401804,0.22327198189792602,5.0,1122.22503,0.2994122771708533,685.2812064401804,0.291662027893502,2.0,0.8,237.40173027294202,0.75,0.8,"{""north"": {""area"": 59.350432568235505, ""u_value"": 0.8, ""shgc"": 0.75}, ""east"": {""area"": 59.350432568235505, ""u_value"": 0.8, ""shgc"": 0.75}, ""south"": {""area"": 59.350432568235505, ""u_value"": 0.8, ""shgc"": 0.75}, ""west"": {""area"": 59.350432568235505, ""u_value"": 0.8, ""shgc"": 0.75}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],8702.844497680664,9.55144940889799,2.5,3.0,2055.843619320541,1747.46707642246,62,"['w30213059_0' 'w30213059_1' 'w30213059_2' 'w30213059_3' 'w30213059_4'
 'w30213059_5' 'w30213059_6' 'w30213059_7' 'w30213059_8' 'w30213059_9'
 'w30213059_10' 'w30213059_11' 'w30213059_12' 'w30213059_13'
 'w30213059_14' 'w30213059_15' 'w30213059_16' 'w30213059_17'
 'w30213059_18' 'w30213059_19' 'w30213059_20' 'w30213059_21'
 'w30213059_22' 'w30213059_23' 'w30213059_24' 'w30213059_25'
 'w30213059_26' 'w30213059_27' 'w30213059_28' 'w30213059_29'
 'w30213059_30' 'w30213059_31' 'w30213059_32' 'w30213059_33'
 'w30213059_34' 'w30213059_35' 'w30213059_36' 'w30213059_37'
 'w30213059_38' 'w30213059_39' 'w30213059_40' 'w30213059_41'
 'w30213059_42' 'w30213059_43' 'w30213059_44' 'w30213059_45'
 'w30213059_46' 'w30213059_47' 'w30213059_48' 'w30213059_49'
 'w30213059_50' 'w30213059_51' 'w30213059_52' 'w30213059_53'
 'w30213059_54' 'w30213059_55' 'w30213059_56' 'w30213059_57'
 'w30213059_58' 'w30213059_59' 'w30213059_60' 'w30213059_61']","MULTIPOLYGON (((471172.1848550915 5549419.141571635, 471171.8614687978 5549376.446672323, 471187.91128203523 5549376.326727085, 471188.2345400475 5549419.021626882, 471172.1848550915 5549419.141571635)))",building_analysis/results/unrenovated_whole_buildingstock/dhw_volumes\dhw_volume_w30213059.csv,building_analysis/results/unrenovated_whole_buildingstock/dhw_energy\dhw_energy_w30213059.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w30213059.csv,2850858.231539326,105039.99182253738,81501.78508834237,46.63995458798495,False,50.0,144127.3606029,101174.91731882824,13410.953210034331,73037.60302295962,2749.98,442088.79531559773
9,10,w50930444,50930444,other,2,3436.445842370391,0.29756894077703394,5.0,3468.22235,0.3045537862888345,3436.445842370391,0.2786827782492258,0.0,0.8,834.6250761467364,0.65,0.8,"{""north"": {""area"": 208.6562690366841, ""u_value"": 0.8, ""shgc"": 0.65}, ""east"": {""area"": 208.6562690366841, ""u_value"": 0.8, ""shgc"": 0.65}, ""south"": {""area"": 208.6562690366841, ""u_value"": 0.8, ""shgc"": 0.65}, ""west"": {""area"": 208.6562690366841, ""u_value"": 0.8, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],35905.31675720215,10.4112425584059,3.0,3.0,10309.337527111173,8762.936898044496,0,,"MULTIPOLYGON (((470452.5536299104 5549339.381338073, 470443.5773316021 5549303.238875297, 470478.09215363883 5549294.708830007, 470461.78463860555 5549228.863723915, 470478.19938915235 5549224.80353219, 470494.5067744655 5549290.659805836, 470503.2568878133 5549288.487769577, 470512.23995721014 5549324.63029087, 470452.5536299104 5549339.381338073)))",building_analysis/results/unrenovated_whole_buildingstock/dhw_volumes\dhw_volume_w50930444.csv,building_analysis/results/unrenovated_whole_buildingstock/dhw_energy\dhw_energy_w50930444.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w50930444.csv,0.0,0.0,330222.16830016905,37.68396054225384,False,50.0,445423.7964105,507356.86416756455,67251.24513518855,256775.7821921849,0.0,1687476.8272902279
10,11,w50930445,50930445,other,4,2080.838581085205,0.2967457525103489,40.70926917619394,2511.87954,0.3045338802288978,1934.9460599422455,0.2710631741380999,0.0,0.8,463.4655676530029,0.65,0.8,"{""north"": {""area"": 115.86639191325072, ""u_value"": 0.8, ""shgc"": 0.65}, ""east"": {""area"": 115.86639191325072, ""u_value"": 0.8, ""shgc"": 0.65}, ""south"": {""area"": 115.86639191325072, ""u_value"": 0.8, ""shgc"": 0.65}, ""west"": {""area"": 115.86639191325072, ""u_value"": 0.8, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],20847.866035461426,8.98159493582589,2.7,3.0,5804.838179826736,4934.112452852726,0,,"MULTIPOLYGON (((470364.5785534321 5549247.058936913, 470439.6724766519 5549229.653166824, 470442.69120035827 5549242.6233733455, 470453.94414786686 5549290.761684315, 470436.03523477534 5549294.919173105, 470424.78207218857 5549246.769780377, 470367.60454153107 5549260.017943753, 470364.5785534321 5549247.058936913)))",building_analysis/results/unrenovated_whole_buildingstock/dhw_volumes\dhw_volume_w50930445.csv,building_analysis/results/unrenovated_whole_buildingstock/dhw_energy\dhw_energy_w50930445.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w50930445.csv,0.0,0.0,202146.16980193532,40.969104724206616,False,50.0,322600.6893222,405409.7807528305,37866.89439306974,142587.0574158523,0.0,1200660.5809694345
11,14,w50930458,50930458,other,2,2323.112471804023,0.29734752807948484,5.0,714.55674,0.30510141345914576,2323.112471804023,0.280135244504912,0.0,0.8,171.95753713243434,0.65,0.8,"{""north"": {""area"": 42.989384283108585, ""u_value"": 0.8, ""shgc"": 0.65}, ""east"": {""area"": 42.989384283108585, ""u_value"": 0.8, ""shgc"": 0.65}, ""south"": {""area"": 42.989384283108585, ""u_value"": 0.8, ""shgc"": 0.65}, ""west"": {""area"": 42.989384283108585, ""u_value"": 0.8, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],31.178009033203125,2.52999877929687,3.0,1.0,2323.112471804023,1974.6456010334193,0,,"MULTIPOLYGON (((470148.4166493528 5549306.47006903, 470173.027421818 5549299.750192313, 470176.14504413377 5549311.107457527, 470184.65094562084 5549308.7805961305, 470181.5334022125 5549297.434444648, 470207.1298166852 5549290.442369995, 470218.7009282869 5549332.418543611, 470192.6841950415 5549339.67976474, 470186.0839688915 5549315.632981529, 470177.1352442816 5549318.073502204, 470183.7426604203 5549342.120234674, 470159.99627470615 5549348.612857058, 470148.4166493528 5549306.47006903)))",building_analysis/results/unrenovated_whole_buildingstock/dhw_volumes\dhw_volume_w50930458.csv,building_analysis/results/unrenovated_whole_buildingstock/dhw_energy\dhw_energy_w50930458.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w50930458.csv,0.0,0.0,60554.61203303029,30.666065850671828,False,50.0,91770.52211820001,342984.32533714594,45463.31107320473,52903.43216725931,0.0,704593.447352357
12,15,w50930471,50930471,other,2,2911.543177127838,0.2981475803270944,11.921031281203032,2003.49621,0.30473670552851034,2779.102902326733,0.28032166164644734,0.0,0.8,482.13984228287666,0.65,0.8,"{""north"": {""area"": 120.53496057071916, ""u_value"": 0.8, ""shgc"": 0.65}, ""east"": {""area"": 120.53496057071916, ""u_value"": 0.8, ""shgc"": 0.65}, ""south"": {""area"": 120.53496057071916, ""u_value"": 0.8, ""shgc"": 0.65}, ""west"": {""area"": 120.53496057071916, ""u_value"": 0.8, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],25084.335357666016,8.00513317307315,3.0,2.0,5558.205804653466,4724.4749339554455,0,,"MULTIPOLYGON (((471098.3677336937 5549259.983959234, 471098.36137420946 5549219.144213426, 471168.2443971141 5549219.133529369, 471168.25022240466 5549259.973273256, 471138.73792188236 5549259.976966721, 471138.7387521436 5549245.566847183, 471133.5386471642 5549245.561586331, 471133.5378910073 5549259.982824516, 471098.3677336937 5549259.983959234)))",building_analysis/results/unrenovated_whole_buildingstock/dhw_volumes\dhw_volume_w50930471.csv,building_analysis/results/unrenovated_whole_buildingstock/dhw_energy\dhw_energy_w50930471.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w50930471.csv,0.0,0.0,258143.60911438576,54.63963990137241,False,50.0,257309.01825030003,429860.23467115406,54387.04379853416,148332.27357577806,0.0,1176110.0402739367
13,16,w50930472,50930472,other,6,3810.17954670079,1.1712656521206855,5.0,2400.27617,1.2443145163664622,3810.17954670079,0.8195778986970575,0.0,0.0,427.904560869047,0.65,2.2817287771211605,"{""north"": {""area"": 106.97614021726174, ""u_value"": 2.2817287771211605, ""shgc"": 0.65}, ""east"": {""area"": 106.97614021726174, ""u_value"": 2.2817287771211605, ""shgc"": 0.65}, ""south"": {""area"": 106.97614021726174, ""u_value"": 2.2817287771211605, ""shgc"": 0.65}, ""west"": {""area"": 106.97614021726174, ""u_value"": 2.2817287771211605, ""shgc"": 0.65}}",[  0.  90. 180. 270.],['north' 'east' 'south' 'west'],40645.87552642822,8.60075378417969,2.5,3.0,11430.53864010237,9715.957844087014,0,,"MULTIPOLYGON (((471254.5816420245 5549272.806264553, 471254.2974771668 5549214.678113387, 471338.8344672583 5549214.257264255, 471332.0900401153 5549250.374321202, 471294.6104470643 5549250.553340742, 471294.7217659657 5549272.601547327, 471254.5816420245 5549272.806264553)))",building_analysis/results/renovated_whole_buildingstock/dhw_volume\dhw_volume_w50930472.csv,building_analysis/results/renovated_whole_buildingstock/dhw_energy\dhw_energy_w50930472.csv,building_analysis/results/renovated_whole_buildingstock/space_heating\space_heating_w50930472.csv,0.0,0.0,1058464.4972369291,108.94082850319228,False,,,,,131646.56977240831,0.0,
