,time,G(i),H_sun,T2m,WS10m,Int
0,20200101:0010,0.0,0.0,-1.16,1.38,0.0
1,20200101:0110,0.0,0.0,-1.5,1.45,0.0
2,20200101:0210,0.0,0.0,-1.98,1.66,0.0
3,20200101:0310,0.0,0.0,-2.1,1.38,0.0
4,20200101:0410,0.0,0.0,-1.96,1.24,0.0
5,20200101:0510,0.0,0.0,-1.99,1.31,0.0
6,20200101:0610,0.0,0.0,-2.27,1.52,0.0
7,20200101:0710,0.0,0.0,-2.66,1.66,0.0
8,20200101:0810,14.59,4.78,-2.43,1.45,0.0
9,20200101:0910,22.34,10.75,-0.67,1.1,0.0
10,20200101:1010,31.46,14.87,1.39,1.24,0.0
11,20200101:1110,27.82,16.78,2.36,1.59,0.0
12,20200101:1210,25.08,16.31,2.77,1.52,0.0
13,20200101:1310,26.9,13.49,3.13,1.31,0.0
14,20200101:1410,18.7,8.59,2.94,1.03,0.0
15,20200101:1510,0.0,0.0,1.97,1.66,0.0
16,20200101:1610,0.0,0.0,0.37,1.86,0.0
17,20200101:1710,0.0,0.0,-0.73,1.72,0.0
18,20200101:1810,0.0,0.0,-1.63,1.52,0.0
19,20200101:1910,0.0,0.0,-1.33,1.17,0.0
20,20200101:2010,0.0,0.0,-1.91,1.31,0.0
21,20200101:2110,0.0,0.0,-2.3,1.38,0.0
22,20200101:2210,0.0,0.0,-2.41,1.31,0.0
23,20200101:2310,0.0,0.0,-1.75,1.03,0.0
24,20200102:0010,0.0,0.0,-1.44,0.9,0.0
25,20200102:0110,0.0,0.0,-1.63,0.97,0.0
26,20200102:0210,0.0,0.0,-2.19,1.03,0.0
27,20200102:0310,0.0,0.0,-2.83,1.17,0.0
28,20200102:0410,0.0,0.0,-3.12,1.24,0.0
29,20200102:0510,0.0,0.0,-3.03,1.24,0.0
30,20200102:0610,0.0,0.0,-2.96,1.17,0.0
31,20200102:0710,0.0,0.0,-2.08,1.72,0.0
32,20200102:0810,10.03,4.81,-1.69,1.66,0.0
33,20200102:0910,25.08,10.79,-1.02,1.59,0.0
34,20200102:1010,25.08,14.93,-0.09,1.79,0.0
35,20200102:1110,38.76,16.86,0.78,1.93,0.0
36,20200102:1210,40.13,16.4,1.49,1.79,0.0
37,20200102:1310,38.3,13.6,2.11,1.72,0.0
38,20200102:1410,22.34,8.71,2.16,1.52,0.0
39,20200102:1510,0.0,0.0,1.99,1.72,0.0
40,20200102:1610,0.0,0.0,1.24,1.93,0.0
41,20200102:1710,0.0,0.0,1.11,1.93,0.0
42,20200102:1810,0.0,0.0,1.18,2.07,0.0
43,20200102:1910,0.0,0.0,1.3,2.28,0.0
44,20200102:2010,0.0,0.0,1.54,2.41,0.0
45,20200102:2110,0.0,0.0,1.59,2.62,0.0
46,20200102:2210,0.0,0.0,1.8,2.62,0.0
47,20200102:2310,0.0,0.0,1.81,2.76,0.0
48,20200103:0010,0.0,0.0,1.83,2.9,0.0
49,20200103:0110,0.0,0.0,1.8,3.03,0.0
50,20200103:0210,0.0,0.0,1.93,2.97,0.0
51,20200103:0310,0.0,0.0,1.95,2.97,0.0
52,20200103:0410,0.0,0.0,2.0,2.97,0.0
53,20200103:0510,0.0,0.0,1.97,3.03,0.0
54,20200103:0610,0.0,0.0,2.12,3.1,0.0
55,20200103:0710,0.0,0.0,3.35,3.72,0.0
56,20200103:0810,3.19,4.84,3.71,3.86,0.0
57,20200103:0910,25.54,10.84,4.52,4.07,0.0
58,20200103:1010,48.34,15.0,5.36,4.28,0.0
59,20200103:1110,21.43,16.95,5.93,4.41,0.0
60,20200103:1210,19.61,16.51,6.22,4.55,0.0
61,20200103:1310,44.69,13.71,6.42,4.62,0.0
62,20200103:1410,15.96,8.84,6.67,4.55,0.0
63,20200103:1510,0.0,0.0,6.84,4.55,0.0
64,20200103:1610,0.0,0.0,6.86,4.76,0.0
65,20200103:1710,0.0,0.0,7.15,5.24,0.0
66,20200103:1810,0.0,0.0,7.4,5.1,0.0
67,20200103:1910,0.0,0.0,7.92,5.31,0.0
68,20200103:2010,0.0,0.0,7.92,4.83,0.0
69,20200103:2110,0.0,0.0,7.83,4.14,0.0
70,20200103:2210,0.0,0.0,7.63,3.52,0.0
71,20200103:2310,0.0,0.0,7.12,3.45,0.0
72,20200104:0010,0.0,0.0,6.25,3.31,0.0
73,20200104:0110,0.0,0.0,5.31,2.9,0.0
74,20200104:0210,0.0,0.0,4.58,2.97,0.0
75,20200104:0310,0.0,0.0,4.11,2.69,0.0
76,20200104:0410,0.0,0.0,3.67,2.28,0.0
77,20200104:0510,0.0,0.0,3.15,2.14,0.0
78,20200104:0610,0.0,0.0,2.27,2.34,0.0
79,20200104:0710,0.0,0.0,2.21,2.62,0.0
80,20200104:0810,11.4,4.88,2.48,2.97,0.0
81,20200104:0910,35.11,10.9,3.05,3.24,0.0
82,20200104:1010,25.54,15.07,3.73,3.52,0.0
83,20200104:1110,29.18,17.05,4.34,3.72,0.0
84,20200104:1210,22.34,16.62,4.83,4.21,0.0
85,20200104:1310,41.95,13.84,4.98,4.07,0.0
86,20200104:1410,18.24,8.97,4.93,4.0,0.0
87,20200104:1510,2.74,2.39,4.97,4.0,0.0
88,20200104:1610,0.0,0.0,5.03,3.86,0.0
89,20200104:1710,0.0,0.0,5.03,3.79,0.0
90,20200104:1810,0.0,0.0,5.13,3.93,0.0
91,20200104:1910,0.0,0.0,5.24,4.07,0.0
92,20200104:2010,0.0,0.0,5.23,3.93,0.0
93,20200104:2110,0.0,0.0,5.19,3.66,0.0
94,20200104:2210,0.0,0.0,5.15,3.24,0.0
95,20200104:2310,0.0,0.0,5.08,2.69,0.0
96,20200105:0010,0.0,0.0,5.05,2.21,0.0
97,20200105:0110,0.0,0.0,5.05,1.86,0.0
98,20200105:0210,0.0,0.0,5.01,1.59,0.0
99,20200105:0310,0.0,0.0,5.0,1.38,0.0
100,20200105:0410,0.0,0.0,4.93,1.24,0.0
101,20200105:0510,0.0,0.0,4.85,1.24,0.0
102,20200105:0610,0.0,0.0,4.8,1.38,0.0
103,20200105:0710,0.0,0.0,4.67,1.52,0.0
104,20200105:0810,9.12,4.92,4.67,1.38,0.0
105,20200105:0910,30.55,10.96,4.87,1.31,0.0
106,20200105:1010,32.38,15.16,5.24,1.38,0.0
107,20200105:1110,36.02,17.15,5.7,1.45,0.0
108,20200105:1210,36.48,16.74,6.04,1.66,0.0
109,20200105:1310,27.82,13.97,6.15,1.72,0.0
110,20200105:1410,17.78,9.11,6.12,1.79,0.0
111,20200105:1510,1.37,2.54,5.91,1.66,0.0
112,20200105:1610,0.0,0.0,5.51,1.66,0.0
113,20200105:1710,0.0,0.0,5.26,1.72,0.0
114,20200105:1810,0.0,0.0,5.11,1.72,0.0
115,20200105:1910,0.0,0.0,4.67,1.52,0.0
116,20200105:2010,0.0,0.0,4.36,1.59,0.0
117,20200105:2110,0.0,0.0,4.03,1.59,0.0
118,20200105:2210,0.0,0.0,3.82,1.45,0.0
119,20200105:2310,0.0,0.0,3.65,1.31,0.0
120,20200106:0010,0.0,0.0,3.27,1.1,0.0
121,20200106:0110,0.0,0.0,2.97,1.03,0.0
122,20200106:0210,0.0,0.0,2.59,1.1,0.0
123,20200106:0310,0.0,0.0,2.11,1.1,0.0
124,20200106:0410,0.0,0.0,1.73,1.03,0.0
125,20200106:0510,0.0,0.0,1.5,0.83,0.0
126,20200106:0610,0.0,0.0,1.48,0.69,0.0
127,20200106:0710,0.0,0.0,0.3,1.24,0.0
128,20200106:0810,14.14,4.98,-0.24,1.38,0.0
129,20200106:0910,38.3,11.03,1.41,1.03,0.0
130,20200106:1010,43.78,15.25,2.7,1.17,0.0
131,20200106:1110,39.67,17.26,3.66,1.38,0.0
132,20200106:1210,35.11,16.87,4.44,1.45,0.0
133,20200106:1310,27.36,14.11,4.79,1.45,0.0
134,20200106:1410,19.61,9.26,4.82,1.52,0.0
135,20200106:1510,1.82,2.69,4.03,1.59,0.0
136,20200106:1610,0.0,0.0,2.7,1.93,0.0
137,20200106:1710,0.0,0.0,1.69,2.07,0.0
138,20200106:1810,0.0,0.0,1.21,2.14,0.0
139,20200106:1910,0.0,0.0,0.61,2.14,0.0
140,20200106:2010,0.0,0.0,0.53,2.28,0.0
141,20200106:2110,0.0,0.0,0.54,2.48,0.0
142,20200106:2210,0.0,0.0,0.68,2.69,0.0
143,20200106:2310,0.0,0.0,0.83,2.83,0.0
144,20200107:0010,0.0,0.0,0.86,2.76,0.0
145,20200107:0110,0.0,0.0,0.84,2.69,0.0
146,20200107:0210,0.0,0.0,1.09,2.83,0.0
147,20200107:0310,0.0,0.0,1.47,2.83,0.0
148,20200107:0410,0.0,0.0,2.25,2.69,0.0
149,20200107:0510,0.0,0.0,2.78,2.62,0.0
150,20200107:0610,0.0,0.0,3.17,2.62,0.0
151,20200107:0710,0.0,0.0,2.93,2.21,0.0
152,20200107:0810,14.14,5.03,3.21,2.14,0.0
153,20200107:0910,21.43,11.11,3.7,2.07,0.0
154,20200107:1010,32.38,15.35,4.43,2.14,0.0
155,20200107:1110,34.2,17.38,5.13,2.07,0.0
156,20200107:1210,62.47,17.0,5.62,2.55,0.0
157,20200107:1310,51.07,14.26,5.82,2.41,0.0
158,20200107:1410,21.43,9.41,5.76,2.28,0.0
159,20200107:1510,3.65,2.84,5.25,2.0,0.0
160,20200107:1610,0.0,0.0,4.72,2.07,0.0
161,20200107:1710,0.0,0.0,4.6,2.07,0.0
162,20200107:1810,0.0,0.0,4.42,2.21,0.0
163,20200107:1910,0.0,0.0,4.44,2.48,0.0
164,20200107:2010,0.0,0.0,4.12,2.69,0.0
165,20200107:2110,0.0,0.0,3.93,2.9,0.0
166,20200107:2210,0.0,0.0,3.73,2.9,0.0
167,20200107:2310,0.0,0.0,3.48,2.9,0.0
168,20200108:0010,0.0,0.0,3.04,2.76,0.0
169,20200108:0110,0.0,0.0,2.73,2.83,0.0
170,20200108:0210,0.0,0.0,2.78,2.9,0.0
171,20200108:0310,0.0,0.0,3.0,2.9,0.0
172,20200108:0410,0.0,0.0,3.07,3.03,0.0
173,20200108:0510,0.0,0.0,3.34,3.03,0.0
174,20200108:0610,0.0,0.0,3.58,3.1,0.0
175,20200108:0710,0.0,0.0,4.02,3.59,0.0
176,20200108:0810,6.38,5.1,4.4,3.52,0.0
177,20200108:0910,11.4,11.2,4.87,3.45,0.0
178,20200108:1010,20.52,15.45,5.41,3.31,0.0
179,20200108:1110,15.96,17.5,5.93,3.17,0.0
180,20200108:1210,10.94,17.14,6.46,3.17,0.0
181,20200108:1310,25.54,14.41,6.86,3.24,0.0
182,20200108:1410,30.1,9.57,7.27,3.24,0.0
183,20200108:1510,0.91,3.01,7.53,3.1,0.0
184,20200108:1610,0.0,0.0,7.65,2.97,0.0
185,20200108:1710,0.0,0.0,7.74,3.03,0.0
186,20200108:1810,0.0,0.0,7.82,3.03,0.0
187,20200108:1910,0.0,0.0,6.92,2.55,0.0
188,20200108:2010,0.0,0.0,7.04,2.55,0.0
189,20200108:2110,0.0,0.0,7.16,2.62,0.0
190,20200108:2210,0.0,0.0,7.26,2.69,0.0
191,20200108:2310,0.0,0.0,7.34,2.76,0.0
