,time,G(i),H_sun,T2m,WS10m,Int
0,20190101:0010,0.0,0.0,6.06,1.45,0.0
1,20190101:0110,0.0,0.0,5.93,1.66,0.0
2,20190101:0210,0.0,0.0,5.8,1.72,0.0
3,20190101:0310,0.0,0.0,5.85,2.14,0.0
4,20190101:0410,0.0,0.0,5.8,2.55,0.0
5,20190101:0510,0.0,0.0,5.68,2.97,0.0
6,20190101:0610,0.0,0.0,5.41,3.24,0.0
7,20190101:0710,0.0,0.0,6.08,3.45,0.0
8,20190101:0810,11.86,4.78,6.05,3.45,0.0
9,20190101:0910,23.26,10.75,6.16,3.59,0.0
10,20190101:1010,20.06,14.87,6.11,3.79,0.0
11,20190101:1110,49.7,16.78,6.21,4.0,0.0
12,20190101:1210,54.72,16.31,6.23,3.93,0.0
13,20190101:1310,41.95,13.49,6.33,3.79,0.0
14,20190101:1410,15.05,8.59,6.35,3.86,0.0
15,20190101:1510,0.0,0.0,6.35,4.0,0.0
16,20190101:1610,0.0,0.0,6.4,4.07,0.0
17,20190101:1710,0.0,0.0,6.55,4.21,0.0
18,20190101:1810,0.0,0.0,6.2,4.69,0.0
19,20190101:1910,0.0,0.0,5.69,4.97,0.0
20,20190101:2010,0.0,0.0,4.82,4.48,0.0
21,20190101:2110,0.0,0.0,4.3,4.48,0.0
22,20190101:2210,0.0,0.0,3.9,4.48,0.0
23,20190101:2310,0.0,0.0,3.52,4.55,0.0
24,20190102:0010,0.0,0.0,3.0,4.41,0.0
25,20190102:0110,0.0,0.0,2.67,4.41,0.0
26,20190102:0210,0.0,0.0,2.64,4.41,0.0
27,20190102:0310,0.0,0.0,2.26,4.28,0.0
28,20190102:0410,0.0,0.0,2.48,4.34,0.0
29,20190102:0510,0.0,0.0,2.84,4.34,0.0
30,20190102:0610,0.0,0.0,3.02,4.14,0.0
31,20190102:0710,0.0,0.0,2.65,3.86,0.0
32,20190102:0810,10.49,4.81,2.46,3.79,0.0
33,20190102:0910,20.52,10.79,2.86,4.07,0.0
34,20190102:1010,35.57,14.93,3.43,4.21,0.0
35,20190102:1110,55.18,16.86,3.95,5.1,0.0
36,20190102:1210,59.28,16.4,4.36,5.24,0.0
37,20190102:1310,30.1,13.6,4.31,4.69,0.0
38,20190102:1410,19.61,8.71,4.16,4.21,0.0
39,20190102:1510,0.0,0.0,3.5,3.79,0.0
40,20190102:1610,0.0,0.0,2.69,3.52,0.0
41,20190102:1710,0.0,0.0,2.03,3.24,0.0
