,south G(i) [kWh/m2],east G(i) [kWh/m2],north G(i) [kWh/m2],west G(i) [kWh/m2],T2m
0,0.0,0.0,0.0,0.0,6.06
1,0.0,0.0,0.0,0.0,5.93
2,0.0,0.0,0.0,0.0,5.8
3,0.0,0.0,0.0,0.0,5.85
4,0.0,0.0,0.0,0.0,5.8
5,0.0,0.0,0.0,0.0,5.68
6,0.0,0.0,0.0,0.0,5.41
7,0.0,0.0,0.0,0.0,6.08
8,35.89,35.64,11.86,11.86,6.05
9,30.52,30.52,23.26,23.26,6.16
10,26.33,26.33,20.06,20.06,6.11
11,82.3,66.81,49.7,49.7,6.21
12,125.3,54.72,54.72,82.0,6.23
13,84.74,41.95,41.95,68.54,6.33
14,19.75,15.05,15.05,19.75,6.35
15,0.0,0.0,0.0,0.0,6.35
16,0.0,0.0,0.0,0.0,6.4
17,0.0,0.0,0.0,0.0,6.55
18,0.0,0.0,0.0,0.0,6.2
19,0.0,0.0,0.0,0.0,5.69
20,0.0,0.0,0.0,0.0,4.82
21,0.0,0.0,0.0,0.0,4.3
22,0.0,0.0,0.0,0.0,3.9
23,0.0,0.0,0.0,0.0,3.52
24,0.0,0.0,0.0,0.0,3.0
25,0.0,0.0,0.0,0.0,2.67
26,0.0,0.0,0.0,0.0,2.64
27,0.0,0.0,0.0,0.0,2.26
28,0.0,0.0,0.0,0.0,2.48
29,0.0,0.0,0.0,0.0,2.84
30,0.0,0.0,0.0,0.0,3.02
31,0.0,0.0,0.0,0.0,2.65
32,23.68,23.6,10.49,10.49,2.46
33,679.31,440.99,20.52,20.52,2.86
34,46.68,46.68,35.57,35.57,3.43
35,560.93,117.11,55.18,55.18,3.95
36,163.42,59.28,59.28,93.9,4.36
37,710.39,30.1,30.1,342.74,4.31
38,544.15,19.61,19.61,419.38,4.16
39,0.0,0.0,0.0,0.0,3.5
40,0.0,0.0,0.0,0.0,2.69
41,0.0,0.0,0.0,0.0,2.03
42,0.0,0.0,0.0,0.0,1.41
43,0.0,0.0,0.0,0.0,1.09
44,0.0,0.0,0.0,0.0,0.71
45,0.0,0.0,0.0,0.0,-0.01
46,0.0,0.0,0.0,0.0,-0.67
47,0.0,0.0,0.0,0.0,-1.46
48,0.0,0.0,0.0,0.0,-2.46
49,0.0,0.0,0.0,0.0,-3.17
