n_hour,V_TE0052,V_TE0102,V_TE0203,V_TE0504,V_TE1005
1,6.1,6.1,6.1,5.9,6.6
2,6.1,6.1,6.1,5.9,6.6
3,5.9,6,6.1,6,6.6
4,5.8,5.9,6.1,6,6.7
5,5.8,5.9,6,6,6.7
6,5.8,5.8,6,6,6.7
7,5.8,5.8,6,6,6.7
8,5.9,5.8,6,6,6.7
9,5.9,5.9,6,6.1,6.7
10,6,5.9,6,6.1,6.7
11,6.3,6,6,6.1,6.7
12,6.6,6.3,6,6.1,6.7
13,6.9,6.4,6.1,6.1,6.8
14,7,6.6,6.2,6.1,6.8
15,6.8,6.6,6.3,6.1,6.8
16,6.6,6.5,6.4,6.1,6.8
17,6.5,6.4,6.4,6.2,6.8
18,6.4,6.4,6.4,6.2,6.8
19,6.1,6.3,6.4,6.2,6.8
20,5.6,6,6.3,6.2,6.8
21,5.5,5.8,6.2,6.2,6.8
22,5.2,5.6,6.1,6.3,6.8
23,5,5.4,6,6.3,6.9
24,4.7,5.2,5.9,6.3,6.9
25,4.2,4.9,5.8,6.3,6.9
26,4.1,4.7,5.6,6.3,6.9
27,3.8,4.5,5.5,6.2,6.9
28,3.5,4.2,5.4,6.2,6.9
29,3.3,4.1,5.2,6.2,6.9
30,3,3.8,5.1,6.2,6.9
31,2.7,3.6,4.9,6.1,6.9
32,2.4,3.4,4.8,6.1,6.9
33,2.4,3.2,4.6,6.1,6.9
34,2.6,3.2,4.4,6,6.9
35,3,3.3,4.4,6,7
36,3.7,3.7,4.4,5.9,7
37,4.4,4.1,4.4,5.9,7
38,5.3,4.7,4.6,5.8,7
39,5,4.9,4.8,5.8,7
40,4.2,4.6,4.9,5.7,7
41,3.2,4,4.9,5.7,7
42,2.4,3.4,4.7,5.7,7
43,1.7,2.9,4.5,5.7,7
44,1.6,2.6,4.2,5.7,7
45,1.6,2.5,4,5.7,7
46,1.5,2.4,3.9,5.6,7
47,1.4,2.2,3.7,5.6,7
48,1.3,2.1,3.6,5.5,6.9
49,1.2,2,3.5,5.5,6.9
50,1.1,1.9,3.4,5.4,6.9
51,1,1.8,3.3,5.4,6.9
52,1,1.8,3.2,5.3,6.9
53,1,1.7,3.1,5.3,6.9
54,1,1.7,3.1,5.2,6.9
55,1,1.7,3,5.2,6.9
56,0.9,1.7,3,5.1,6.9
57,0.9,1.6,2.9,5,6.9
58,0.9,1.6,2.9,5,6.9
59,0.9,1.6,2.8,5,6.9
60,0.9,1.6,2.8,4.9,6.9
61,1,1.6,2.8,4.9,6.9
62,1.5,1.8,2.8,4.8,6.8
63,2.5,2.4,2.9,4.8,6.8
64,2.9,2.8,3,4.8,6.8
65,2.8,2.9,3.2,4.7,6.8
66,2.6,2.8,3.3,4.7,6.8
67,2.4,2.7,3.3,4.7,6.8
68,2.5,2.7,3.3,4.7,6.8
69,2.4,2.7,3.3,4.7,6.7
70,1.9,2.5,3.3,4.7,6.7
71,1.4,2.2,3.3,4.7,6.7
72,1.4,2,3.2,4.7,6.7
73,1.3,1.9,3.1,4.7,6.7
74,1.2,1.9,3,4.7,6.7
75,1.1,1.8,2.9,4.7,6.7
76,1.1,1.7,2.9,4.6,6.7
77,1,1.6,2.8,4.6,6.6
78,1,1.6,2.7,4.6,6.6
79,0.9,1.5,2.7,4.6,6.6
80,0.9,1.5,2.6,4.5,6.6
81,0.9,1.5,2.6,4.5,6.6
82,0.9,1.4,2.6,4.5,6.6
83,0.9,1.4,2.5,4.4,6.6
84,0.9,1.4,2.5,4.4,6.6
85,2.1,1.9,2.5,4.4,6.6
86,3,2.6,2.7,4.4,6.5
87,3.1,2.9,2.9,4.3,6.5
88,3.1,3,3.1,4.3,6.5
89,3,3,3.2,4.3,6.5
90,2.9,3,3.2,4.3,6.5
91,2.8,2.9,3.3,4.3,6.5
92,2.8,2.9,3.3,4.4,6.5
93,2.9,3,3.3,4.4,6.5
94,2.9,3,3.4,4.4,6.4
95,3,3.1,3.4,4.4,6.4
96,3,3.1,3.4,4.4,6.4
97,3,3.1,3.5,4.4,6.4
98,3.1,3.2,3.5,4.4,6.4
99,3.1,3.2,3.5,4.5,6.4
100,3.1,3.2,3.6,4.5,6.4
101,3.2,3.3,3.6,4.5,6.4
102,3.2,3.3,3.6,4.5,6.4
103,3.2,3.3,3.6,4.5,6.4
104,3.2,3.3,3.7,4.5,6.4
105,3.2,3.3,3.7,4.5,6.3
106,3.4,3.4,3.7,4.5,6.3
107,3.8,3.6,3.7,4.6,6.3
108,4.4,3.9,3.8,4.6,6.3
109,5.4,4.5,4,4.6,6.3
110,5.7,4.9,4.2,4.6,6.3
111,5.6,5.1,4.4,4.6,6.3
112,5.5,5.1,4.6,4.6,6.3
113,5.4,5.1,4.7,4.7,6.3
114,5.3,5.1,4.8,4.7,6.3
115,5.2,5,4.8,4.8,6.3
116,5.2,5,4.9,4.8,6.3
117,5.1,5,4.9,4.9,6.3
118,5.1,5,4.9,4.9,6.3
119,5,5,4.9,5,6.3
120,5,5,5,5,6.3
121,4.9,4.9,5,5,6.3
122,4.9,4.9,5,5.1,6.3
123,5,4.9,5,5.1,6.3
124,5,4.9,5,5.1,6.3
125,5,4.9,5,5.1,6.3
126,4.9,4.9,5,5.2,6.3
127,4.9,4.9,5,5.2,6.3
128,4.9,4.9,5,5.2,6.3
129,4.9,4.9,5,5.2,6.3
130,5,4.9,5,5.2,6.3
131,5.4,5.1,5.1,5.3,6.3
132,5.7,5.3,5.1,5.3,6.3
133,6.3,5.7,5.2,5.3,6.4
134,6.4,5.9,5.4,5.3,6.4
135,6.4,6,5.5,5.3,6.4
136,6.2,6,5.6,5.4,6.4
