,time,G(i),H_sun,T2m,WS10m,Int
0,20150101:0010,0.0,0.0,-1.73,1.03,0.0
1,20150101:0110,0.0,0.0,-1.7,1.55,0.0
2,20150101:0210,0.0,0.0,-1.67,2.07,0.0
3,20150101:0310,0.0,0.0,-1.64,2.59,0.0
4,20150101:0410,0.0,0.0,-1.17,3.1,0.0
5,20150101:0510,0.0,0.0,-0.71,3.6,0.0
6,20150101:0610,0.0,0.0,-0.24,4.11,0.0
7,20150101:0710,0.91,2.55,0.29,4.29,0.0
8,20150101:0810,26.9,9.55,0.82,4.48,0.0
9,20150101:0910,39.67,14.84,1.35,4.66,0.0
10,20150101:1010,53.81,18.0,1.74,5.02,0.0
11,20150101:1110,52.67,18.72,2.12,5.37,0.0
12,20150101:1210,51.47,16.93,2.51,5.72,0.0
13,20150101:1310,86.53,12.81,2.28,5.33,0.0
14,20150101:1410,4.79,6.74,2.04,4.94,0.0
15,20150101:1510,0.0,0.0,1.81,4.55,0.0
16,20150101:1610,0.0,0.0,1.6,4.15,0.0
17,20150101:1710,0.0,0.0,1.39,3.74,0.0
18,20150101:1810,0.0,0.0,1.19,3.34,0.0
19,20150101:1910,0.0,0.0,0.62,3.59,0.0
20,20150101:2010,0.0,0.0,0.05,3.83,0.0
21,20150101:2110,0.0,0.0,-0.52,4.08,0.0
22,20150101:2210,0.0,0.0,-0.91,3.58,0.0
23,20150101:2310,0.0,0.0,-1.3,3.08,0.0
24,20150102:0010,0.0,0.0,-1.69,2.58,0.0
25,20150102:0110,0.0,0.0,-0.81,2.42,0.0
26,20150102:0210,0.0,0.0,0.08,2.26,0.0
27,20150102:0310,0.0,0.0,0.96,2.1,0.0
28,20150102:0410,0.0,0.0,0.62,1.87,0.0
29,20150102:0510,0.0,0.0,0.27,1.65,0.0
30,20150102:0610,0.0,0.0,-0.07,1.42,0.0
31,20150102:0710,5.02,2.57,0.88,2.14,0.0
32,20150102:0810,32.83,9.58,1.84,2.86,0.0
33,20150102:0910,17.33,14.89,2.79,3.59,0.0
34,20150102:1010,36.02,18.07,4.55,3.36,0.0
35,20150102:1110,106.15,18.81,6.3,3.14,0.0
