,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-6610544.263601893,-1414835.4894965468,27974.42320393324,-50.57603794660614,27974.42320393324
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-531237.8634990521,-113699.28899519221,937.1926232803613,-121.31901827953148,937.1926232803613
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-2334656.915428656,-499679.8036637318,8998.296452549099,-55.53048916522183,8998.296452549099
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-221281.83991587948,-47360.306172958546,404.8852469230536,-116.972170591237,404.8852469230536
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-469503.0718992585,-100486.37178155413,5481.69515059907,-18.3312586747135,5481.69515059907
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1182632.567568216,-253115.3957841046,16672.165487814695,-15.181914788999716,16672.165487814695
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-636157.4202977887,-136154.91542801767,2845.002712316811,-47.85756963906046,2845.002712316811
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-5293462.293041371,-1132944.280510114,23411.247439788887,-48.39316159567832,23411.247439788887
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-744767.5043752549,-159372.64448530646,1747.46707642246,-91.20208708686265,1747.46707642246
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2125073.1054229233,-454823.19268047134,8762.936898044496,-51.90305464620748,8762.936898044496
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1303593.4823391514,-279004.3072315622,4934.112452852726,-56.545996853041316,4934.112452852726
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-661896.7118324155,-141663.8208502537,1974.6456010334193,-71.74139034169714,1974.6456010334193
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-1581781.0003642514,-338543.96955619124,4724.4749339554455,-71.65748031025196,4724.4749339554455
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2077279.7758841622,-444594.12589016743,9715.957844087014,-45.75916579966851,9715.957844087014
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1336297.2838117906,-286003.8063831988,6019.835157379508,-47.510238886291866,6019.835157379508
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1188462.9163461376,-254363.24831155292,4489.048651921749,-56.66306338708553,4489.048651921749
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1122192.2453762477,-240179.53007866757,4441.97852948606,-54.07039419131467,4441.97852948606
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-430558.7922620177,-92151.24130719539,1370.623297881335,-67.23309128747468,1370.623297881335
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-454485.630932639,-97272.23273433826,1573.369959426485,-61.824132430871714,1573.369959426485
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-302515.1297544082,-64746.43003948056,704.9254127380437,-91.84862521553168,704.9254127380437
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-208179.78000727124,-44556.1105417037,509.32494937628496,-87.48071461307117,509.32494937628496
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-444721.94778219785,-95182.54013436509,2713.01504517002,-35.0836757443784,2713.01504517002
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-95142.87258223935,-20363.1512526405,151.14776481509907,-134.72346929874215,151.14776481509907
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-145944.83739834593,-31236.147467753864,222.67857759937178,-140.27459580755823,222.67857759937178
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-5955090.717408582,-1274550.6805774448,43210.64675020873,-29.49621855801749,43210.64675020873
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-963848.6596998862,-206289.71471466217,4745.314506876469,-43.47229554874104,4745.314506876469
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-32786.97694434742,-7016.078426626147,67.06430839556852,-104.61717408972424,67.06430839556852
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-69636.88149292153,-14901.58189238733,98.82164086105185,-150.79269846712722,98.82164086105185
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-988957.397219918,-211663.66450203385,3334.9361924076916,-63.46857999379625,3334.9361924076916
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-594496.188718355,-756382.5343043813,-161886.34558602632,2976.303781049745,-54.39174139977367,2976.303781049745
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-129979.58776117284,-165374.1300017171,-35394.542240544266,294.4025758753764,-120.22497471464766,294.4025758753764
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-128590.95739814063,-27521.947195327753,1116.7099465291947,-24.64556466150204,1116.7099465291947
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-77544.98685809471,-98661.14332671193,-21116.15646861722,150.05011938810347,-140.72735533119067,150.05011938810347
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-2727533.7761039855,-583766.0911644492,15131.85493721813,-38.57862063748874,15131.85493721813
34,w98916102,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-438439.1417877663,-557829.8322123955,-119390.6904246292,1892.1415951219387,-63.098179719967035,1892.1415951219387
35,w98916109,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-69427.1486342374,-88328.5586653965,-18901.410031159103,81.43322088830173,-232.10932620588977,81.43322088830173
36,w98916113,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-267687.31918562605,-340580.84261780273,-72893.52343217668,559.2398283889517,-130.3439414216385,559.2398283889517
37,w98916116,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-1639272.4308349062,-2085660.1929160983,-446387.7620811921,6987.1012714248145,-63.88740405220496,6987.1012714248145
38,w98916121,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-124259.95679234069,-158096.99509389247,-33837.03830155179,458.57296650111675,-73.78768652615153,458.57296650111675
39,w98916126,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-299427.15913235256,-380963.70971250505,-81536.55058015249,1235.1179318586364,-66.015194563206,1235.1179318586364
40,w99055014,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-228573.52136756424,-290802.2306639114,-62228.70929634714,379.03616306802724,-164.1761798996965,379.03616306802724
41,w99055018,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-123360.54067509662,-156945.21478074795,-33584.67410565133,363.825429549627,-92.30985900910004,363.825429549627
42,w99055022,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-14562.107420004644,-18526.61364959734,-3964.5062295926964,32.828185592684896,-120.76531669408214,32.828185592684896
43,w99055023,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-42476.63689203258,-54040.8210251116,-11564.184133079027,57.57688737055287,-200.84767796936197,57.57688737055287
44,w99055025,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-550994.7543324071,-701035.2910232181,-150040.53669081093,2922.078992408514,-51.34718708173612,2922.078992408514
45,w99055028,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-78526.84674000934,-99905.63238633433,-21378.785646324992,168.94065034445376,-126.54613086155227,168.94065034445376
46,w99055030,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-179434.74944746352,-228296.3509353003,-48861.60148783677,502.22660109587014,-97.28995115196929,502.22660109587014
47,w99055036,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-506767.1058461794,-644764.0793936598,-137996.97354748042,2513.4158389533286,-54.904155296859685,2513.4158389533286
48,w99055038,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-133060.0618054206,-169293.44320954476,-36233.38140412414,337.97397138923407,-107.20760908062736,337.97397138923407
49,w99055039,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-482320.79842720146,-613660.8354858836,-131340.03705868218,2475.299022556655,-53.060271046778574,2475.299022556655
50,w99055040,trade,35391.70019666166,39324.111329624066,44239.62524582707,nr1,-59302.80743519024,-75451.4639965916,-16148.65656140136,101.95110847079195,-158.39608615955166,101.95110847079195
51,w99055041,ab,64982.981209910264,72203.31245545585,81228.72651238783,r2,-107258.14753265315,-136458.97553119017,-29200.827998537017,189.90211718752977,-153.76778537809022,189.90211718752977
52,w99055043,sfh,86320.99151306404,95912.21279229339,107901.23939133005,r2,-142477.760645754,-181267.06176590244,-38789.30112014845,190.2007592998445,-203.93872907204616,190.2007592998445
53,w99055048,sfh,24285.63485393199,26984.0387265911,30357.04356741499,r1,-43545.67201477638,-55400.89894005107,-11855.226925274692,47.74609960326925,-248.29728551194464,47.74609960326925
54,w99055050,trade,65308.77244341692,72565.3027149077,81635.96555427114,nr2,-100739.0383573933,-128171.13142545341,-27432.0930680601,194.95880112051967,-140.7071284312121,194.95880112051967
55,w99055053,ab,49059.40863841541,54510.454042683785,61324.260798019255,r1,-87966.6078591905,-111915.35063352356,-23948.742774333063,122.33706042193808,-195.76032554431444,122.33706042193808
56,w99055057,ab,87681.8017174346,97424.2241304829,109602.25214679325,r2,-144723.8561456332,-184124.65252156442,-39400.79637593121,303.91877080444243,-129.64252346652123,303.91877080444243
57,w99055067,sfh,33001.382887256914,36668.203208063234,41251.72860907114,r1,-59173.5568736789,-75283.44592247038,-16109.889048791476,194.8848727118224,-82.66361993428438,194.8848727118224
58,w99055068,ab,132493.30677667502,147214.7853074167,165616.63347084375,r2,-218687.82226898547,-278225.1686650456,-59537.34639606011,348.37368724122643,-170.90081305375486,348.37368724122643
59,w99055094,other,66091.27134448045,73434.74593831161,82614.08918060057,nr2,-101946.04598990016,-129706.8174556169,-27760.771465716738,263.70872883694244,-105.27058238895802,263.70872883694244
