,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-8708205.874061478,-3512497.0999561325,27974.42320393324,-125.56101959100522,27974.42320393324
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-699810.5600650912,-282271.9855612313,937.1926232803613,-301.1888682747235,937.1926232803613
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-3075491.5562393474,-1240514.444474423,8998.296452549099,-137.8610330317581,8998.296452549099
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-291499.11737050297,-117577.58362758203,404.8852469230536,-290.3973027447134,404.8852469230536
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-618486.0497969515,-249469.34967924713,5481.69515059907,-45.509526309937854,5481.69515059907
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1557906.1966892479,-628389.0249051364,16672.165487814695,-37.69090616119494,16672.165487814695
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-838023.2494270498,-338020.74455727875,2845.002712316811,-118.81209922714399,2845.002712316811
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-6973186.71447321,-2812668.7019419535,23411.247439788887,-120.14176985552876,23411.247439788887
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-981097.546252099,-395702.6863621506,1747.46707642246,-226.4435717852044,1747.46707642246
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2799402.4941859823,-1129152.5814435303,8762.936898044496,-128.85549611746123,8762.936898044496
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1717250.4967251676,-692661.3216175784,4934.112452852726,-140.38215144794816,4934.112452852726
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-871930.1473764614,-351697.25639429956,1974.6456010334193,-178.1065200814976,1974.6456010334193
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-2083712.633874039,-840475.6030659787,4724.4749339554455,-177.8982034649747,4724.4749339554455
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2736443.3585332655,-1103757.7085392708,9715.957844087014,-113.60256253180444,9715.957844087014
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1760331.8868092278,-710038.409380636,6019.835157379508,-117.94980939141239,6019.835157379508
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1565586.63500887,-631486.9669742852,4489.048651921749,-140.67278301916986,4489.048651921749
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1478286.9175868807,-596274.2022893006,4441.97852948606,-134.23617388765044,4441.97852948606
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-567183.9495197607,-228776.39856493834,1370.623297881335,-166.91413236486895,1370.623297881335
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-598703.2660466114,-241489.86784831062,1573.369959426485,-153.48574974466717,1573.369959426485
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-398509.4002659957,-160740.70055106806,704.9254127380437,-228.02511818480951,704.9254127380437
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-274239.5044689353,-110615.83500336777,509.32494937628496,-217.18126146937627,509.32494937628496
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-585841.3654870318,-236301.957839199,2713.01504517002,-87.0993908640084,2713.01504517002
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-125333.66223075573,-50553.94090115688,151.14776481509907,-334.467009571727,151.14776481509907
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-192256.13499314766,-77547.44506255559,222.67857759937178,-348.2483402695059,222.67857759937178
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-7844763.441255652,-3164223.4044245156,43210.64675020873,-73.22786494532694,43210.64675020873
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1269697.6565635337,-512138.71157830965,4745.314506876469,-107.92513559136404,4745.314506876469
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-43190.95884306438,-17420.060325343104,67.06430839556852,-259.7515838468587,67.06430839556852
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-91734.09575470664,-36998.796154172436,98.82164086105185,-374.39973503571537,98.82164086105185
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-1302773.912745059,-525480.1800271749,3334.9361924076916,-157.56828608099966,3334.9361924076916
