,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA,npv_per_nfa,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-8911416.865674661,-3715708.0915693156,27974.42320393324,-132.8251905135575,0.18076817261943368
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-716141.0419012859,-298602.46739742596,937.1926232803613,-318.6137619737741,0.18076817261943368
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-3147259.920226117,-1312282.8084611928,8998.296452549099,-145.83680537547085,0.18076817261943368
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-298301.41689716774,-124379.88315424681,404.8852469230536,-307.19786433187716,0.18076817261943368
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-632918.7774214237,-263902.07730371936,5481.69515059907,-48.14242128639326,0.18076817261943368
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1594260.8336429433,-664743.6618588319,16672.165487814695,-39.87146494825029,0.18076817261943368
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-857579.0038469377,-357576.49897716666,2845.002712316811,-125.68582006235641,0.18076817261943368
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-7135910.036296916,-2975392.0237656594,23411.247439788887,-127.0924170708133,0.18076817261943368
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-1003992.0216614367,-418597.16177148826,1747.46707642246,-239.54509210466523,0.18076817261943368
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2864728.161148267,-1194478.2484058149,8762.936898044496,-136.3102647324061,0.18076817261943368
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1757323.524549095,-732734.3494415057,4934.112452852726,-148.50377984755193,0.18076817261943368
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-892277.1387577251,-372044.2477755633,1974.6456010334193,-188.4106431963569,0.18076817261943368
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-2132337.266397681,-889100.2355896209,4724.4749339554455,-188.19027469053466,0.18076817261943368
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2800299.837861252,-1167614.1878672573,9715.957844087014,-120.17489233733653,0.18076817261943368
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1801410.2436441667,-751116.7662155749,6019.835157379508,-124.77364355979196,0.18076817261943368
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1602120.4994072914,-668020.8313727067,4489.048651921749,-148.81122553366154,0.18076817261943368
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1512783.5928786788,-630770.8775810987,4441.97852948606,-142.0022346785362,0.18076817261943368
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-580419.5131336509,-242011.96217882854,1370.623297881335,-176.5707343169511,0.18076817261943368
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-612674.3510364337,-255460.95283813297,1573.369959426485,-162.365469931339,0.18076817261943368
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-407808.8462789157,-170040.14656398806,704.9254127380437,-241.21721744081373,0.18076817261943368
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-280639.0410036233,-117015.37153805574,509.32494937628496,-229.74600337437187,0.18076817261943368
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-599512.3106312257,-249972.90298339294,2713.01504517002,-92.13841383903109,0.18076817261943368
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-128258.39531042337,-53478.67398082452,151.14776481509907,-353.8171672352922,0.19636745655105992
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-196742.5424576343,-82033.85252704223,222.67857759937178,-368.3957990545098,0.18076817261943368
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-8027825.507187828,-3347285.4703566916,43210.64675020873,-77.46436867068005,0.18076817261943368
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1299326.781502776,-541767.836517552,4745.314506876469,-114.169005180262,0.18076817261943368
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-44198.8447040735,-18427.946186352223,67.06430839556852,-274.780231500455,0.19637529188733546
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-93874.76362965643,-39139.46402912223,98.82164086105185,-396.06166916570703,0.19637529188733546
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-1333174.8911423734,-555881.1584244893,3334.9361924076916,-166.68419614444412,0.18076817261943368
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-594496.188718355,-1019649.7904439019,-425153.6017255469,2976.303781049745,-142.8461719642055,0.18076817261943368
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-129979.58776117284,-222934.4139419756,-92954.82618080276,294.4025758753764,-315.7405328550912,0.18076817261943368
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-173348.45374844523,-72279.44354563236,1116.7099465291947,-64.72535126089049,0.18076817261943368
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-77544.98685809471,-133001.23886461198,-55456.25200651727,150.05011938810347,-369.5848575973479,0.19636745655105992
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-3676881.891238805,-1533114.2062992686,15131.85493721813,-101.31700394037213,0.18076817261943368
34,w98916102,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-438439.1417877663,-751988.6376565044,-313549.4958687381,1892.1415951219387,-165.7114333711011,0.18076817261943368
35,w98916109,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-69427.1486342374,-119072.28452361393,-49645.13588937653,81.43322088830173,-609.6422976744652,0.19637529188733546
36,w98916113,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-267687.31918562605,-459123.748968933,-191436.42978330696,559.2398283889517,-342.3154433309832,0.18076817261943368
37,w98916116,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-1639272.4308349062,-2811597.151168869,-1172324.7203339627,6987.1012714248145,-167.78413175839106,0.18076817261943368
38,w98916121,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-124259.95679234069,-213124.39223038297,-88864.43543804229,458.57296650111675,-193.78472332565178,0.18076817261943368
39,w98916126,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-299427.15913235256,-513562.3168934365,-214135.15776108392,1235.1179318586364,-173.37223615468685,0.18076817261943368
40,w99055014,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-228573.52136756424,-392019.14389756805,-163445.6225300038,379.03616306802724,-431.21379555720523,0.18076817261943368
41,w99055018,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-123360.54067509662,-211571.72211748137,-88211.18144238475,363.825429549627,-242.454689194155,0.18076817261943368
