,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA,npv_per_nfa
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-6676095.9579296475,-1480387.1838243017,27974.42320393324,-52.919310365482616
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-536505.7417031451,-118967.16719928518,937.1926232803613,-126.9399312842181
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-2357807.916371651,-522830.8046067266,8998.296452549099,-58.10330959463061
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-223476.1221038555,-49554.58836093458,404.8852469230536,-122.39168687307635
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-474158.77355222846,-105142.07343452412,5481.69515059907,-19.180576545383705
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1194359.8271522915,-264842.65536818013,16672.165487814695,-15.885318290641225
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-642465.7052281694,-142463.20035839843,2845.002712316811,-50.07489087501937
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-5345953.496236172,-1185435.4837049148,23411.247439788887,-50.63529770268425
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-752152.792158723,-166757.9322687746,1747.46707642246,-95.42836859059652
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2146145.8245631354,-475895.9118206834,8762.936898044496,-54.30780996801227
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1316520.2184858948,-291931.0433783056,4934.112452852726,-59.16586745191054
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-668460.2335638234,-148227.34258166153,1974.6456010334193,-75.06528893290402
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-1597466.3086376176,-354229.2778295574,4724.4749339554455,-74.9774912093751
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2097878.5652534044,-465192.9152594097,9715.957844087014,-47.879264476483826
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1349548.3184598382,-299254.84103124635,6019.835157379508,-49.71146770761658
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1200247.9910246555,-266148.3229900708,4489.048651921749,-59.28835787425325
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1133320.1646689016,-251307.44937132148,4441.97852948606,-56.575565978793215
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-434828.3133808596,-96420.76242603728,1370.623297881335,-70.34811284404793
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-458992.41614838765,-101779.01795008691,1573.369959426485,-64.68854787794905
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-305514.9401367953,-67746.24042186764,704.9254127380437,-96.10412562476694
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-210244.13912205622,-46620.46965648868,509.32494937628496,-91.53384241942146
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-449131.91404509346,-99592.5063972607,2713.01504517002,-36.70916111378196
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-96086.33143407934,-21306.610104480496,151.14776481509907,-140.96543293607508
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-147392.06034828155,-32683.370417689483,222.67857759937178,-146.773752419468
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-6014142.781933888,-1333602.745102751,43210.64675020873,-30.862827691795864
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-973406.4071711116,-215847.4621858875,4745.314506876469,-45.48643970238462
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-33112.10023297299,-7341.201715251715,67.06430839556852,-109.46510731089278
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-70327.41700520857,-15592.117404674369,98.82164086105185,-157.78039373579784
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-998764.1287719142,-221470.39605403005,3334.9361924076916,-66.40918544655489
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-594496.188718355,-763882.999425926,-169386.81070757098,2976.303781049745,-56.91180174082503
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-129979.58776117284,-167014.01833576552,-37034.43057459268,294.4025758753764,-125.79519885135018
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-129866.09523801395,-28797.085035201075,1116.7099465291947,-25.787434888266414
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-77544.98685809471,-99639.49016949601,-22094.503311401306,150.05011938810347,-147.24748904900264
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-2754580.6353685474,-610812.9504290111,15131.85493721813,-40.36603264855936
34,w98916102,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-438439.1417877663,-563361.4025627263,-124922.26077495998,1892.1415951219387,-66.02162390860045
35,w98916109,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-69427.1486342374,-89204.44519563671,-19777.296561399315,81.43322088830173,-242.86521330805445
36,w98916113,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-267687.31918562605,-343958.1214618608,-76270.80227623472,559.2398283889517,-136.3829942083244
37,w98916116,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-1639272.4308349062,-2106342.0844496572,-467069.65361475106,6987.1012714248145,-66.84741432400992
38,w98916121,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-124259.95679234069,-159664.72166575643,-35404.76487341574,458.57296650111675,-77.20639344170655
39,w98916126,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-299427.15913235256,-384741.43445849064,-85314.27532613807,1235.1179318586364,-69.07378892779495
40,w99055014,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-228573.52136756424,-293685.8932148559,-65112.37184729168,379.03616306802724,-171.78406229171776
41,w99055018,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-123360.54067509662,-158501.52003115806,-35140.979356061434,363.825429549627,-96.58747438177102
42,w99055022,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-14562.107420004644,-18710.327859268957,-4148.2204392643125,32.828185592684896,-126.36155073366773
43,w99055023,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-42476.63689203258,-54576.702374634406,-12100.065482601829,57.57688737055287,-210.15490824865756
44,w99055025,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-550994.7543324071,-707986.9200083152,-156992.1656759081,2922.078992408514,-53.726188129674014
45,w99055028,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-78526.84674000934,-100896.31987206366,-22369.47313205432,168.94065034445376,-132.41024635838156
46,w99055030,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-179434.74944746352,-230560.19064590512,-51125.44119844161,502.22660109587014,-101.79755729163828
47,w99055036,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-506767.1058461794,-651157.7099572804,-144390.604111101,2513.4158389533286,-57.4479566306983
