,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,consumer_size_renovated,consumer_size_unrenovated,npv_unrenovated_25years_ir_0.05_gas,npv_renovated_25years_ir_0.05_dh,savings_npv_25years_ir_0.05,operator_selling_price,NFA,npv_per_nfa
0,w24853838,trade,1197392.8826751309,1496741.1033439136,3368360.1466045496,3742622.385116166,nr2,nr2,-5195708.774105346,-5874396.8542852355,-678688.0801798897,0.08136760542010116,27974.42320393324,-24.261021406313226
1,w24853840,trade,88019.54120636193,110024.4265079524,270688.823253195,300765.35917021666,nr2,nr2,-417538.5745038599,-551704.3422415023,-134165.76773764234,0.08136760542010116,937.1926232803613,-143.15708895364045
2,w24853841,trade,370411.49455784855,463014.36819731066,1189609.3568609958,1321788.1742899953,nr2,nr2,-1834977.1117649244,-2361812.0613620137,-526834.9495970893,0.08136760542010116,8998.296452549099,-58.5482988224781
3,w25538793,trade,30724.044681390333,38405.05585173791,112752.73275817276,125280.81417574751,nr1,nr2,-173921.53374292093,-265010.36470751883,-91088.8309645979,0.08838917543097283,404.8852469230536,-224.9744382064602
4,w27689586,office,239232.2588022705,299040.3235028381,239232.2588022705,265813.6208914117,nr2,nr2,-369016.70011770434,-342936.6081693482,26080.09194835613,0.08136760542010116,5481.69515059907,4.75766915741492
5,w28994179,other,602602.7887910821,753253.4859888526,602602.7887910821,669558.6542123135,nr2,nr2,-929517.1717841114,-863823.9570868547,65693.21469725668,0.08136760542010116,16672.165487814695,3.9402928638916377
6,w28994181,trade,324149.90597616514,405187.3824702064,324149.90597616514,360166.56219573907,nr2,nr2,-500002.504869771,-464665.0491468928,35337.45572287822,0.08136760542010116,2845.002712316811,12.420886479261517
7,w29249266,trade,2697249.5326306587,3371561.915788323,2697249.5326306587,2996943.9251451762,nr2,nr2,-4160518.012531257,-3866475.2435048237,294042.7690264331,0.08136760542010116,23411.247439788887,12.559893264238836
8,w30213059,ab,186541.77691087977,233177.2211385997,354664.9280794791,394072.1423105323,r2,r2,-585394.8598899484,-756773.1971059891,-171378.3372160407,0.08136760542010116,1747.46707642246,-98.07242695919555
9,w50930444,other,330222.16830016905,412777.7103752113,1082817.2797117848,1203130.310790872,nr2,nr2,-1670249.912742452,-2269863.728052444,-599613.8153099918,0.08136760542010116,8762.936898044496,-68.4261249723023
10,w50930445,other,202146.16980193532,252682.71225241915,664237.6418930636,738041.8243256261,nr2,nr2,-1024589.1751075892,-1568001.899186768,-543412.7240791789,0.08136760542010116,4934.112452852726,-110.13383445790686
11,w50930458,other,60554.61203303029,75693.26504128786,337265.1957843652,374739.10642707243,nr2,nr2,-520232.89098216186,-836917.1469306934,-316684.25594853156,0.08136760542010116,1974.6456010334193,-160.37523684391604
12,w50930471,other,258143.60911438576,322679.5113929822,805986.2955036239,895540.3283373598,nr2,nr2,-1243237.0308080602,-1622136.9671362443,-378899.9363281841,0.08136760542010116,4724.4749339554455,-80.19937487761415
13,w50930472,other,1058464.4972369291,1323080.6215461614,1058464.4972369291,1176071.663596588,nr2,nr2,-1632685.6499939947,-1517296.3143324296,115389.33566156519,0.08136760542010116,9715.957844087014,11.876269690876583
14,w50930478,trade,680901.6527717811,851127.0659647263,680901.6527717811,756557.3919686456,nr2,nr2,-1050293.4774285918,-976064.4507873607,74229.02664123115,0.08136760542010116,6019.835157379508,12.330740742997978
15,w50930479,other,185541.01142931575,231926.26428664467,605573.605365519,672859.5615172433,nr2,nr2,-934099.6680345847,-1234127.766308042,-300028.09827345726,0.08136760542010116,4489.048651921749,-66.83556395518593
16,w50930480,other,168700.98991545063,210876.23739431327,571805.8128687943,635339.7920764381,nr2,nr2,-882012.7152975801,-1166800.371706598,-284787.65640901786,0.08136760542010116,4441.97852948606,-64.11279444927168
17,w50930481,other,62080.660377160784,77600.82547145098,219388.45256825408,243764.94729806008,nr2,nr2,-338407.55095482233,-533635.4483894355,-195227.8974346132,0.08136760542010116,1370.623297881335,-142.43731135782542
18,w50930482,other,63379.87619939754,79224.84524924692,231580.2187222324,257311.35413581377,nr2,nr2,-357213.39819830074,-518268.8514348051,-161055.45323650434,0.08136760542010116,1573.369959426485,-102.36337122847526
19,w50930483,other,45123.70064816985,56404.62581021231,154144.6310888841,171271.81232098234,nr2,nr2,-237768.69971492764,-340849.8915314181,-103081.19181649043,0.08136760542010116,704.9254127380437,-146.22992724309157
20,w50930486,trade,30466.044901173256,38082.55612646657,106076.66272902593,117862.95858780658,nr1,nr2,-163623.66946556754,-249626.22679698808,-86002.55733142054,0.08838917543097283,509.32494937628496,-168.85596795668178
