,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-5387060.833697865,-191352.05959251896,27974.42320393324,-6.8402504029328695,27974.42320393324
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-432916.0465032208,-15377.471999360889,937.1926232803613,-16.408016471082185,937.1926232803613
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-1902557.2370004486,-67580.12523552426,8998.296452549099,-7.510324381053227,8998.296452549099
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-180326.8665158165,-6405.332772895577,404.8852469230536,-15.820118963516787,404.8852469230536
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-382607.16653173405,-13590.46641402971,5481.69515059907,-2.4792452043861775,5481.69515059907
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-963750.234679006,-34233.062894894625,16672.165487814695,-2.053306327838144,16672.165487814695
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-518417.029868764,-18414.524998992973,2845.002712316811,-6.472586096059365,2845.002712316811
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-4313745.170804136,-153227.15827287966,23411.247439788887,-6.545023227274104,23411.247439788887
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-606925.4955483439,-21530.635658395477,1747.46707642246,-12.321053683297164,1747.46707642246
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-1731763.322121816,-61513.40937936399,8762.936898044496,-7.019725246805223,8762.936898044496
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1062323.632025221,-37734.45691763167,4934.112452852726,-7.6476686087312356,4934.112452852726
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-539392.4781501992,-19159.58716803731,1974.6456010334193,-9.702797888395898,1974.6456010334193
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-1289024.040194046,-45787.00938598579,4724.4749339554455,-9.691449319988621,4724.4749339554455
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-1692815.6101931778,-60129.960199183086,9715.957844087014,-6.188783562474726,9715.957844087014
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1088974.5946390457,-38681.11721045384,6019.835157379508,-6.42561070182063,6019.835157379508
