,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA_x,npv_per_nfa,NFA_y
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-7613245.365871549,-2417536.591766203,27974.42320393324,-86.41953309072318,27974.42320393324
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-611817.1274835336,-194278.55297967367,937.1926232803613,-207.29842313489402,937.1926232803613
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-2688782.5318943514,-853805.420129427,8998.296452549099,-94.88522906883726,8998.296452549099
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-254846.3296081418,-80924.79586522086,404.8852469230536,-199.87094239716816,404.8852469230536
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-540718.2743001372,-171701.57418243284,5481.69515059907,-31.32271486561385,5481.69515059907
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1362016.7350126256,-432499.56322851416,16672.165487814695,-25.9414149616388,16672.165487814695
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-732651.1008653329,-232648.59599556186,2845.002712316811,-81.77447247707748,2845.002712316811
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-6096385.662797826,-1935867.6502665696,23411.247439788887,-82.68964117548221,23411.247439788887
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-857735.3883789227,-272340.5284889743,1747.46707642246,-155.84873223850911,1747.46707642246
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2447408.61370226,-777158.700959808,8762.936898044496,-88.68701326985885,8762.936898044496
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1501325.2529060727,-476736.0777984834,4934.112452852726,-96.62043221630503,4934.112452852726
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-762294.5816715626,-242061.69068940077,1974.6456010334193,-122.58487830055134,1974.6456010334193
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-1821708.8322293751,-578471.801421315,4724.4749339554455,-122.4415008033505,4724.4749339554455
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2392365.892540253,-759680.242546258,9715.957844087014,-78.18891917162733,9715.957844087014
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1538989.6350022438,-488696.157573652,6019.835157379508,-81.18098665452263,6019.835157379508
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1368731.4432189276,-434631.77518434287,4489.048651921749,-96.8204643980141,4489.048651921749
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1292408.699049023,-410395.98375144287,4441.97852948606,-92.3903573660285,4441.97852948606
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-495866.84533264115,-157459.29437781882,1370.623297881335,-114.88152479329243,1370.623297881335
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-523422.9566549801,-166209.55845667934,1573.369959426485,-105.63920930412642,1573.369959426485
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-348401.2537953834,-110632.55408045574,704.9254127380437,-156.94221272395487,704.9254127380437
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-239756.92200341422,-76133.25253784668,509.32494937628496,-149.4787416777419,509.32494937628496
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-512178.2977381313,-162638.89009029855,2713.01504517002,-59.947655056260935,2713.01504517002
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-109574.34137015611,-34794.62004055726,151.14776481509907,-230.2026767191824,151.14776481509907
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-168082.05386562526,-53373.363935033194,222.67857759937178,-239.68791479824762,222.67857759937178
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-6858371.262603488,-2177831.225772351,43210.64675020873,-50.40033856382468,43210.64675020873
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1110047.2289801128,-352488.28399488877,4745.314506876469,-74.28133235091067,4745.314506876469
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-37760.1737964133,-11989.275278692025,67.06430839556852,-178.7728162046364,67.06430839556852
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-80199.54850598959,-25464.248905455388,98.82164086105185,-257.6788715870382,98.82164086105185
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-1138964.5120274106,-361670.77930952644,3334.9361924076916,-108.4490852127562,3334.9361924076916
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-594496.188718355,-871112.2102042102,-276616.0214858552,2976.303781049745,-92.93944497436095,2976.303781049745
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-129979.58776117284,-190458.42197940318,-60478.834218230346,294.4025758753764,-205.4290253351304,294.4025758753764
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-148095.90125502835,-47026.89105221548,1116.7099465291947,-42.11200159753035,1116.7099465291947
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-77544.98685809471,-113626.27073832019,-36081.283880225485,150.05011938810347,-240.46154729741684,150.05011938810347
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-3141251.771887742,-997484.0869482057,15131.85493721813,-65.91948515808235,15131.85493721813
34,w98916102,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-438439.1417877663,-642442.6213163141,-204003.4795285478,1892.1415951219387,-107.8161803823148,1892.1415951219387
35,w98916109,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-69427.1486342374,-101726.41814624741,-32299.26951201001,81.43322088830173,-396.6350484443377,81.43322088830173
36,w98916113,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-267687.31918562605,-392240.8531535654,-124553.53396793932,559.2398283889517,-222.71935517674228,559.2398283889517
37,w98916116,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-1639272.4308349062,-2402017.468656876,-762745.03782197,6987.1012714248145,-109.16473201002144,6987.1012714248145
38,w98916121,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-124259.95679234069,-182077.47611404245,-57817.519321701766,458.57296650111675,-126.08139499117414,458.57296650111675
39,w98916126,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-299427.15913235256,-438749.07751599187,-139321.9183836393,1235.1179318586364,-112.80049847060693,1235.1179318586364
40,w99055014,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-228573.52136756424,-334911.7178107838,-106338.19644321958,379.03616306802724,-280.5489470516158,379.03616306802724
41,w99055018,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-123360.54067509662,-180750.99136756995,-57390.45069247333,363.825429549627,-157.741724550469,363.825429549627
42,w99055022,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-14562.107420004644,-21336.76893893708,-6774.661518932435,32.828185592684896,-206.36722367141826,32.828185592684896
43,w99055023,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-42476.63689203258,-62237.84515031,-19761.208258277424,57.57688737055287,-343.214250730478,57.57688737055287
44,w99055025,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-550994.7543324071,-807369.7819530017,-256375.0276205946,2922.078992408514,-87.7371995372645,2922.078992408514
45,w99055028,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-78526.84674000934,-115059.52648674867,-36532.67974673933,168.94065034445376,-216.24564409011512,168.94065034445376
46,w99055030,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-179434.74944746352,-262924.8162475101,-83490.06680004657,502.22660109587014,-166.2398340069389,502.22660109587014
47,w99055036,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-506767.1058461794,-742563.2359126788,-235796.13006649935,2513.4158389533286,-93.81500920464194,2513.4158389533286
48,w99055038,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-133060.0618054206,-194972.2247658373,-61912.162960416696,337.97397138923407,-183.1861865158675,337.97397138923407
49,w99055039,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-482320.79842720146,-706742.1872815894,-224421.38885438791,2475.299022556655,-90.66435481503582,2475.299022556655
50,w99055040,trade,35391.70019666166,39324.111329624066,44239.62524582707,nr1,-59302.80743519024,-86896.0989767709,-27593.291541580656,101.95110847079195,-270.65219746468847,101.95110847079195
51,w99055041,ab,64982.981209910264,72203.31245545585,81228.72651238783,r2,-107258.14753265315,-157157.35674211325,-49899.209209460096,189.90211718752977,-262.76278510462447,189.90211718752977
52,w99055043,sfh,86320.99151306404,95912.21279229339,107901.23939133005,r2,-142477.760645754,-208762.02668711432,-66284.26604136033,190.2007592998445,-348.49632717220453,190.2007592998445
53,w99055048,sfh,24285.63485393199,26984.0387265911,30357.04356741499,r1,-43545.67201477638,-63804.22251202746,-20258.550497251083,47.74609960326925,-424.29749582862155,47.74609960326925
