,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,NFA,npv_per_nfa,operator_selling_price
0,w24853838,trade,3363349.9875081507,3737055.541675723,4204187.484385188,nr2,-5187980.583993886,-5910180.86462228,-722200.2806283943,27974.42320393324,-25.816449381764272,0.11221183382246458
1,w24853840,trade,272349.6863526429,302610.7626140477,340437.1079408036,nr2,-420100.46236703516,-478581.14996822615,-58480.68760119099,937.1926232803613,-62.39985905618517,0.11221183382246458
2,w24853841,trade,1188350.4419802595,1320389.379978066,1485438.0524753244,nr2,-1833035.2306099986,-2088205.5298267226,-255170.299216724,8998.296452549099,-28.35762308591618,0.11221183382246458
3,w25538793,trade,112230.46580400888,124700.51756000987,140288.0822550111,nr2,-173115.9349120151,-197214.78700880843,-24098.85209679333,404.8852469230536,-59.52020302032194,0.11221183382246458
4,w27689586,office,818145.3088975507,909050.3432195007,1022681.6361219384,nr2,-1261992.3567903403,-1437669.8134556152,-175677.45666527492,5481.69515059907,-32.048016505638024,0.11221183382246458
5,w28994179,other,2201757.672994403,2446397.414438226,2752197.091243004,nr2,-3396219.870242344,-3868995.529991738,-472775.6597493938,8336.082743907347,-56.714367440142645,0.11221183382246458
6,w28994181,trade,420750.2233605851,467500.24817842786,525937.7792007313,nr2,-649008.874370234,-739355.0858897209,-90346.21151948697,1422.5013561584055,-63.51221468320785,0.11221183382246458
7,w29249266,trade,2692049.9258480393,2991166.584275599,3365062.407310049,nr2,-4152497.5986186927,-4730551.984613036,-578054.3859943431,23411.247439788887,-24.691310767657058,0.11221183382246458
8,w30213059,ab,433572.30468412075,481747.0052045786,541965.3808551509,r2,-715636.0227866818,-815218.4876560742,-99582.46486939245,1747.46707642246,-56.98674739741868,0.11221183382246458
9,w50930444,other,1098863.243386893,1220959.15931877,1373579.0542336162,nr2,-1695000.8748210697,-1930955.903495979,-235955.02867490938,8762.936898044496,-26.92647812259885,0.11221183382246458
10,w50930445,other,688308.3291655973,764787.0324062193,860385.4114569966,nr2,-1061718.304896968,-1209516.324826064,-147798.0199290961,4934.112452852726,-29.954327417820526,0.11221183382246458
11,w50930458,other,322603.8818012126,358448.7575569029,403254.8522515157,nr2,-497617.75649929856,-566889.3502477861,-69271.59374848759,1974.6456010334193,-35.08051961943688,0.11221183382246458
12,w50930471,other,741559.2688132944,823954.7431258826,926949.086016618,nr2,-1143858.0887427644,-1303090.4951318274,-159232.406389063,7086.712400933168,-22.469150345101557,0.11221183382246458
13,w50930472,other,1142425.6414889656,1269361.8238766284,1428032.051861207,nr2,-1762196.0452271104,-2007505.074006383,-245309.0287792727,6477.305229391343,-37.87208107256724,0.11221183382246458
14,w50930478,trade,845863.988064798,939848.8756275532,1057329.9850809975,nr2,-1304748.5284250907,-1486377.9193070203,-181629.39088192955,6019.835157379508,-30.17182134286125,0.11221183382246458
15,w50930479,other,601355.6698929445,668172.9665477161,751694.5873661806,nr2,-927593.4859787384,-1056720.4680552979,-129126.98207655945,4489.048651921749,-28.76488808408894,0.11221183382246458
16,w50930480,other,567543.7161703141,630604.1290781267,709429.6452128926,nr2,-875438.4143770856,-997305.0748820652,-121866.66050497955,4441.97852948606,-27.435220520770862,0.11221183382246458
17,w50930481,other,209694.20956148568,232993.56617942854,262117.7619518571,nr2,-323454.14298882755,-368481.0410380712,-45026.89804924367,1370.623297881335,-32.85140280253866,0.11221183382246458
18,w50930482,other,244449.91309214005,271611.0145468223,305562.391365175,nr2,-377064.9523811837,-429554.82006977557,-52489.86768859188,786.6849797132425,-66.72285481759823,0.11221183382246458
19,w50930483,other,141593.14798462993,157325.71998292214,176991.4349807874,nr2,-218407.98766085977,-248811.78494313994,-30403.797282280168,1057.3881191070657,-28.7536777961486,0.11221183382246458
20,w50930486,trade,79565.05589646377,88405.61766273752,99456.31987057971,nr2,-122729.41165455856,-139814.1354894434,-17084.723834884848,509.32494937628496,-33.54385811220647,0.11221183382246458
21,w98916060,other,674562.9876004758,749514.4306671954,843203.7345005947,nr2,-1040516.0614714932,-1185362.5926847162,-144846.531213223,5426.03009034004,-26.694752664769265,0.11221183382246458
22,w98916062,trade,44636.284751773725,49595.871946415245,55795.355939717156,nr1,-74793.15728116504,-85204.8460496604,-10411.688768495354,151.14776481509907,-68.88417292331185,0.12189508851780416
23,w98916065,other,73750.5768182926,81945.08535365843,92188.22102286573,nr2,-113760.55480777535,-129596.7560572737,-15836.20124949835,222.67857759937178,-71.11686009594408,0.11221183382246458
24,w98916067,trade,3131751.8703745524,3479724.300416169,3914689.83796819,nr2,-4830739.577425657,-5503209.611184676,-672470.0337590193,36008.87229184061,-18.675120628851154,0.11221183382246458
25,w98916074,trade,489677.5280019927,544086.1422244363,612096.9100024909,nr2,-755329.512874938,-860476.2414205649,-105146.72854562697,4745.314506876469,-22.158010473965025,0.11221183382246458
26,w98916075,sfh,28006.37749434393,31118.1972159377,35007.97186792991,r1,-50217.197780739174,-57205.04100635951,-6987.843225620338,67.06430839556852,-104.1961572824045,0.12189995230239276
27,w98916076,sfh,45724.46230850625,50804.9581205625,57155.57788563281,r1,-81986.83916289908,-93395.50400190424,-11408.664839005156,98.82164086105185,-115.44702900699967,0.12189995230239276
28,w98916079,trade,505098.5125556637,561220.569506293,631373.1406945796,nr2,-779116.4422006573,-887574.4643712688,-108458.02217061142,3334.9361924076916,-32.521768307749554,0.11221183382246458
29,w98916080,other,425989.1748285403,473321.30536504474,532486.4685356753,nr2,-657089.9776146738,-748561.1307056317,-91471.1530909579,1488.1518905248724,-61.46627482944362,0.11221183382246458
30,w98916086,other,84011.4414641592,93346.046071288,105014.301830199,nr2,-129587.97888063698,-147627.45940652877,-18039.48052589179,294.4025758753764,-61.27487326581031,0.11221183382246458
31,w98916091,trade,203377.83561937796,225975.37291041994,254222.29452422244,nr2,-313711.1113404388,-357381.7166902944,-43670.605349855614,1488.9465953722595,-29.329866823690406,0.11221183382246458
32,w98916094,trade,59712.69870596085,66347.44300662317,74640.87338245106,nr2,-92107.07260766481,-104928.96980025343,-12821.897192588614,150.05011938810347,-85.45076301755466,0.11221183382246458
33,w98916098,trade,1160795.6547794726,1289772.9497549694,1450994.5684743407,nr2,-1790531.86297811,-2039785.419922108,-249253.55694399797,17023.336804370396,-14.641874258165837,0.11221183382246458
34,w98916102,trade,277707.36496159376,308563.7388462153,347134.2062019922,nr2,-428364.7026934216,-487995.82572633174,-59631.12303291011,2270.5699141463265,-26.262623608896806,0.11221183382246458
35,w98916109,sfh,33514.377689912006,37238.19743323556,41892.97211239,r1,-60093.38884661524,-68455.52768976372,-8362.138843148481,81.43322088830173,-102.68706987064222,0.12189995230239276
36,w98916113,trade,173096.7032610543,192329.6702900603,216370.87907631785,nr2,-267002.34558016673,-304170.7901771566,-37168.444596989895,559.2398283889517,-66.46244189020675,0.11221183382246458
37,w98916116,other,1097332.4309481357,1219258.2566090396,1371665.5386851695,nr2,-1692639.5906135067,-1928265.9133324597,-235626.32271895302,6987.1012714248145,-33.7230438726565,0.11221183382246458
38,w98916121,other,77767.01189391078,86407.7909932342,97208.76486738847,nr2,-119955.92170880284,-136654.55789653558,-16698.636187732744,458.57296650111675,-36.41434931313614,0.11221183382246458
39,w98916126,trade,197017.6638222169,218908.51535801878,246272.07977777114,nr2,-303900.52132837055,-346205.4294198932,-42304.90809152264,988.0943454869091,-42.81464445652282,0.11221183382246458
40,w99055014,mfh,103886.00234658027,115428.89149620029,129857.50293322533,r2,-171469.82115630823,-195330.25704516645,-23860.43588885822,379.03616306802724,-62.950288689409,0.11221183382246458
41,w99055018,mfh,46056.25658478869,51173.618427542984,57570.320730985855,r1,-82581.76718591659,-94073.21768280589,-11491.450496889302,363.825429549627,-31.58506680281904,0.12189995230239276
42,w99055022,sfh,3919.133173535123,4354.592415039026,4898.916466918904,r0,-8622.960466791696,-9822.866047858852,-1199.9055810671562,32.828185592684896,-36.551078270208485,0.1495802908164732
43,w99055023,sfh,8184.319552772025,9093.688391968917,10230.399440965031,r1,-14675.000141140225,-16717.06152357714,-2042.0613824369157,57.57688737055287,-35.466685951510954,0.12189995230239276
44,w99055025,trade,452573.54328285396,502859.4925365044,565716.9291035674,nr2,-698096.4705134103,-795275.9912822319,-97179.52076882159,2922.078992408514,-33.256979370267366,0.11221183382246458
45,w99055028,ab,43972.00169238011,48857.77965820012,54965.00211547513,r1,-78844.5669650493,-89815.97710922519,-10971.410144175898,168.94065034445376,-64.94239321209103,0.12189995230239276
46,w99055030,other,110345.01742019283,122605.57491132537,137931.27177524104,nr2,-170207.6233643943,-193901.61977951322,-23693.99641511892,502.22660109587014,-47.17790010210146,0.11221183382246458
47,w99055036,other,330483.5217773499,367203.9130859443,413104.4022216873,nr2,-509772.13215359935,-580735.6932034836,-70963.56104988424,2513.4158389533286,-28.2339117745975,0.11221183382246458
48,w99055038,other,79961.51759265392,88846.13065850436,99951.8969908174,nr2,-123340.95538024015,-140510.81003686826,-17169.854656628115,506.9609570838511,-33.868199151652284,0.11221183382246458
49,w99055039,other,338564.5603338267,376182.844815363,423205.70041728334,nr2,-522237.16591018706,-594935.9398683123,-72698.77395812527,1650.1993483711033,-44.05454045893641,0.11221183382246458
50,w99055040,trade,35473.87847194902,39415.4205243878,44342.34808993628,nr1,-59440.50645523286,-67715.00743835254,-8274.500983119673,101.95110847079195,-81.1614616773906,0.12189508851780416
51,w99055041,ab,64844.60917431788,72049.56574924209,81055.76146789735,r2,-107029.75653039948,-121923.20324115173,-14893.44671075225,189.90211718752977,-78.42696506666569,0.11221183382246458
52,w99055043,sfh,30697.895353485233,34108.772614983594,38372.36919185654,r1,-55043.258726685766,-62702.65988022573,-7659.401153539962,190.2007592998445,-40.27008715283412,0.12189995230239276
53,w99055048,sfh,11355.003677738081,12616.670753042312,14193.754597172601,r1,-20360.236364062177,-23193.411969954115,-2833.175605891938,47.74609960326925,-59.338367519719796,0.12189995230239276
54,w99055050,trade,65293.88007878503,72548.75564309447,81617.35009848129,nr2,-100716.06682637603,-114736.39141089893,-14020.324584522896,194.95880112051967,-71.91429421981216,0.11221183382246458
55,w99055053,ab,48626.33010181447,54029.255668682745,60782.91262726809,r1,-87190.07078182392,-99322.77775034802,-12132.7069685241,122.33706042193808,-99.17441964584269,0.12189995230239276
56,w99055057,ab,88130.71220600387,97923.01356222652,110163.39025750483,r2,-145464.80872299167,-165706.58490969453,-20241.77618670286,303.91877080444243,-66.60258638558228,0.11221183382246458
57,w99055067,sfh,65633.5027744247,72926.11419380523,82041.87846803087,r2,-108331.87078512252,-123406.50980998157,-15074.639024859047,194.8848727118224,-77.35150920179433,0.11221183382246458
58,w99055068,ab,112371.73345026825,124857.48161140917,140464.6668128353,r2,-185476.00834094587,-211285.4386890783,-25809.430348132417,348.37368724122643,-74.0854757215376,0.11221183382246458
59,w99055094,other,66222.21643354537,73580.24048171708,82777.7705419317,nr2,-102148.0293047979,-116367.69228063167,-14219.662975833766,263.70872883694244,-53.92185172841257,0.11221183382246458
60,w99055100,sfh,25305.08095882124,28116.75662091249,31631.351198526547,r1,-45373.60305249687,-51687.44848243812,-6313.845429941255,85.6876405166462,-73.68443560672777,0.12189995230239276
61,w99055110,sfh,43008.0077694763,47786.675299418115,53760.00971184538,r1,-77116.0651802088,-87846.95016524679,-10730.884985037992,94.65369866762775,-113.36994894112925,0.12189995230239276
62,w99055113,education,153920.91133503173,171023.23481670194,192401.13916878967,nr2,-237423.6111147068,-270474.5055424663,-33050.894427759515,801.3236896117684,-41.245372945073264,0.11221183382246458
63,w99055118,other,23804.901196266306,26449.890218073673,29756.126495332883,nr1,-39887.81165673046,-45440.4517072772,-5552.640050546739,54.3237798044458,-102.21380158993128,0.12189508851780416
64,w99055131,th,72717.48895532465,80797.20995036072,90896.8611941558,r2,-120024.3973630562,-136726.07943788284,-16701.682074826647,500.74276516167447,-33.35381604451976,0.11221183382246458
65,w99055135,ab,137665.55382486942,152961.72647207713,172081.94228108675,r2,-227224.91346796486,-258843.80385691219,-31618.89038894733,442.04770180433985,-71.5282315910389,0.11221183382246458
66,w99055142,sfh,30160.239219850773,33511.376910945306,37700.29902481347,r1,-54079.207434932585,-61604.458544544555,-7525.251109611971,64.54166975589469,-116.59523433579402,0.12189995230239276
67,w99055146,sfh,35989.67270290303,39988.52522544781,44987.090878628784,r1,-64531.74861871184,-73511.49584378813,-8979.747225076288,149.08371188635937,-60.23291955543201,0.12189995230239276
68,w99055147,sfh,28466.509789067404,31629.455321186004,35583.13723633425,r1,-51042.243949387754,-58144.89432345925,-7102.650374071498,57.659734526090325,-123.18215531945668,0.12189995230239276
69,w99055152,other,264839.6090606733,294266.232289637,331049.5113258416,nr2,-408516.13860657567,-465384.2137981317,-56868.07519155601,1635.3717537612654,-34.77379076699995,0.11221183382246458
70,w99055158,trade,145250.08944325574,161388.98827028414,181562.61180406966,nr2,-224048.83424376594,-255237.87366780077,-31189.039424034825,567.1104306213557,-54.99641293823937,0.11221183382246458
71,w99055160,ab,116945.43298399536,129939.36998221706,146181.79122999418,r2,-193025.16244598586,-219885.0756506567,-26859.913204670855,362.3993257842958,-74.11689617948733,0.11221183382246458
72,w99055171,sfh,42322.031949022065,47024.47994335785,52902.53993627758,r1,-75886.06735362402,-86445.79519808327,-10559.727844459252,150.93386064656082,-69.96261673307875,0.12189995230239276
73,w99055172,sfh,26412.615881368278,29347.350979298084,33015.76985171034,r1,-47359.48288525468,-53949.668245528635,-6590.1853602739575,71.28885925472714,-92.44341162377296,0.12189995230239276
74,w99055173,ab,98421.64722994015,109357.3858110446,123027.05903742518,r2,-162450.58879178867,-185055.97691685308,-22605.388125064404,413.9677898917347,-54.60663529154384,0.11221183382246458
75,w99055181,other,52953.38491255124,58837.094347279155,66191.73114068905,nr2,-81680.80449653318,-93051.29807766702,-11370.493581133836,184.62117180265486,-61.58824294154073,0.11221183382246458
76,w99055182,sfh,30043.601375413575,33381.77930601508,37554.50171926697,r1,-53870.06843778793,-61366.2173555414,-7496.148917753468,84.81555104400032,-88.38177463310521,0.12189995230239276
77,w99055185,education,56500.13393526559,62777.92659473955,70625.16741908199,nr2,-87151.67881365234,-99283.75330341484,-12132.074489762497,136.9722994968528,-88.57319716707578,0.11221183382246458
78,w99055186,sfh,17129.93248807537,19033.258320083743,21412.415610094213,r1,-30715.04723872685,-34989.11955373101,-4274.072315004163,41.49024544628337,-103.01390770362454,0.12189995230239276
79,w99055192,ab,57855.20117670868,64283.556863009646,72319.00147088585,r2,-95493.33668299574,-108781.46296884942,-13288.12628585368,160.51305735595523,-82.78532914855523,0.11221183382246458
80,w99055193,other,37532.54048549063,41702.82276165626,46915.67560686328,nr1,-62890.028130789855,-71644.72472794227,-8754.696597152419,133.23216011486946,-65.71008523470863,0.12189508851780416
81,w99055199,ab,161560.63669589665,179511.81855099628,201950.7958698708,r2,-266665.1219066437,-303772.2116682168,-37107.08976157312,594.2030242990702,-62.448503700137074,0.11221183382246458
82,w99055201,sfh,20863.46598522469,23181.62887247188,26079.332481530862,r1,-37409.50781597311,-42615.13033810245,-5205.622522129335,119.5810925271362,-43.532153889194795,0.12189995230239276
83,w99055202,ab,152053.7668206543,168948.629800727,190067.20852581787,r2,-250973.48645583782,-285897.04759913596,-34923.56114329814,635.4450178422034,-54.95921781224905,0.11221183382246458
84,w99055209,other,70112.01985770148,77902.24428633497,87640.02482212684,nr2,-108148.06638539504,-123202.97313156158,-15054.90674616654,191.61494707558305,-78.56854058586615,0.11221183382246458
85,w99055216,education,109886.46289732688,122096.06988591875,137358.07862165858,nr2,-169500.30120935032,-193095.8338290489,-23595.532619698584,463.1840371862054,-50.94202460654512,0.11221183382246458
86,w99055219,other,278876.1015267074,309862.33502967487,348595.12690838426,nr2,-430167.4834418223,-490049.5651553456,-59882.08171352331,773.0541430711745,-77.46169172009729,0.11221183382246458
87,w99055224,ab,97386.85393587021,108207.61548430023,121733.56741983775,r2,-160742.6029509632,-183110.3207595879,-22367.7178086247,318.955577952601,-70.128003254261,0.11221183382246458
88,w99055226,ab,68882.92431873608,76536.58257637343,86103.6553984201,r2,-113695.22791196329,-129516.19091389919,-15820.963001935903,262.56915004737675,-60.2544624876199,0.11221183382246458
89,w99055235,trade,454766.4550460432,505296.0611622702,568458.068807554,nr2,-701479.0455329866,-799129.4425105439,-97650.39697755722,1694.7837025728077,-57.61820628161379,0.11221183382246458
90,w99055245,ab,103965.14712697687,115516.8301410854,129956.43390872108,r2,-171600.4541678163,-195479.06795279073,-23878.61378497444,424.4345906373113,-56.2598202684645,0.11221183382246458
91,w99055249,sfh,42198.85213670418,46887.613485226866,52748.565170880225,r1,-75665.19819626832,-86194.19156900904,-10528.993372740719,70.42309986636974,-149.51050710235486,0.12189995230239276
92,w99055257,trade,36776.369579875674,40862.632866528525,45970.46197484459,nr1,-61622.978021453564,-70201.29309024097,-8578.315068787408,137.79457132667304,-62.25437610637491,0.12189508851780416
93,w99055287,mfh,59613.906337197506,66237.67370799722,74517.38292149687,r2,-98396.18069011833,-112088.24466518301,-13692.06397506468,226.3710821658373,-60.48504006812144,0.11221183382246458
94,w99055292,trade,26525.467723892125,29472.741915435694,33156.83465486515,nr1,-44446.42941190789,-50633.658387521915,-6187.2289756140235,58.725108856521544,-105.35917422870675,0.12189508851780416
95,w99055300,other,254576.4883248694,282862.7648054104,318220.6104060867,nr2,-392685.2345061124,-447349.5459790398,-54664.311472927395,847.1402418442303,-64.52805423801234,0.11221183382246458
96,w99389931,mfh,99885.52168356317,110983.91298173685,124856.90210445395,r2,-164866.79776208493,-187808.40714661687,-22941.60938453194,488.4274571448564,-46.97035158227803,0.11221183382246458
97,w99389943,ab,753433.5986085004,837148.4428983338,941791.9982606255,r2,-1243585.4830138825,-1416633.378495844,-173047.89548196155,2856.129719105386,-60.58824790918973,0.11221183382246458
98,w99389949,ab,580449.5002005128,644943.8891116809,725561.875250641,r2,-958065.2806102207,-1091382.356764995,-133317.0761547743,2886.5421926505865,-46.18573617049921,0.11221183382246458
99,w99389956,education,89443.69768775851,99381.88631973168,111804.62210969813,nr2,-137967.25547093706,-157173.18521671375,-19205.929745776695,671.7147096479312,-28.59239118917492,0.11221183382246458
100,w99389960,ab,148936.37280444131,165484.85867160145,186170.46600555163,r2,-245828.0483567715,-280035.6094771213,-34207.56112034983,693.6997662768932,-49.31176682376989,0.11221183382246458
101,w99389971,education,310171.75703434105,344635.2855937123,387714.69629292627,nr2,-478441.15515008697,-545043.2425942087,-66602.08744412172,1612.9015118613836,-41.29333809555363,0.11221183382246458
102,w99389974,education,52128.9162673466,57921.01807482955,65161.145334183246,nr2,-80409.0583686191,-91602.51670538416,-11193.458336765063,117.56442073537036,-95.211274522934,0.11221183382246458
103,w99389975,mfh,231350.57731323762,257056.19701470845,289188.221641547,r2,-381857.4323802092,-434993.8077642269,-53136.37538401771,1082.0712234761565,-49.106171785362676,0.11221183382246458
104,w99389979,ab,58149.28603004769,64610.317811164095,72686.60753755961,r2,-95978.74064568347,-109334.41205436872,-13355.671408685244,163.53384786918758,-81.66915646336766,0.11221183382246458
105,w99389992,other,58546.07010034079,65051.189000378654,73182.58762542598,nr2,-90307.5433950737,-102878.93454175655,-12571.391146682843,2055.490491580963,-6.1160054975558,0.11221183382246458
106,w99390006,education,83193.87810957021,92437.6423439669,103992.34763696276,nr2,-128326.88419065643,-146190.81222087913,-17863.928030222698,431.6004564465955,-41.38996556513862,0.11221183382246458
107,w99390011,ab,484169.36215911823,537965.9579545758,605211.7026988978,r2,-799149.3758881822,-910352.9236636183,-111203.54777543608,2874.346682216227,-38.68828644208431,0.11221183382246458
108,w99390014,trade,162623.15526497437,180692.3947388604,203278.94408121795,nr2,-250846.85660310442,-285766.35317802185,-34919.49657491743,587.280543653667,-59.459651698439835,0.11221183382246458
109,w99390021,other,217663.0061235635,241847.7845817372,272078.7576544544,nr2,-335746.0430276001,-382484.05265749333,-46738.00962989323,1293.7586996998637,-36.12575485732841,0.11221183382246458
110,w99390022,education,574754.7680048286,638616.408894254,718443.4600060357,nr2,-886561.4901933351,-1009976.5544261022,-123415.0642327671,5590.431437242403,-22.07612518250365,0.11221183382246458
111,w99390025,education,25792.4872334772,28658.319148308,32240.6090418465,nr1,-43218.23747325307,-49234.4942279034,-6016.256754650327,475.7887667253613,-12.644806215282253,0.12189508851780416
112,w99390027,mfh,30471.532898927206,33857.25877658578,38089.41612365901,r1,-54637.37659669697,-62240.298280696916,-7602.921683999943,116.0190749399364,-65.53165234196196,0.12189995230239276
113,w99390046,mfh,106966.72504118257,118851.91671242507,133708.4063014782,r2,-176554.7311301593,-201122.74440851677,-24568.01327835745,1095.085822885856,-22.43478343424618,0.11221183382246458
