u,v,MW,Diameter,Length,Losses [W],mass_flow_kg_s,velocity_m_s,Re_supply,Re_return,f_supply,f_return,dp_supply_Pa,dp_return_Pa,dp_total_Pa,dp_minor_supply_Pa,dp_minor_return_Pa,flow_regime_supply,flow_regime_return,V_dot_m3_s
36140666,1685779940,2.4309164690966925,0.13,141.62,2143.419,23.26235855594921,1.7738099301590526,418691.25785112876,255868.2197881497,0.014240747215835627,0.015363147693442833,12523.28318488834,13351.714071334642,25874.99725622298,466.310828270287,462.0935828996089,turbulent,turbulent,0.023422848891848314
36140666,60121881,29.340451033383903,0.359,146.89,2964.975,280.7698663481713,2.8073828277932535,1829951.3608695026,1118309.4660435102,0.011164773282638044,0.011886270331919817,10061.31990493945,10539.835244764443,20601.155149703893,1168.0585558032346,1157.4948089663567,turbulent,turbulent,0.28270693777849026
36140666,318841599,7.073736078803577,0.201,178.54,3088.921,67.69125434261797,2.1591384327895278,787988.7265723809,481551.1881380032,0.012777408244985057,0.013702059588789528,13760.240790044498,14573.01831636639,28333.259106410886,690.9113268416069,684.6628281621319,turbulent,turbulent,0.0681582659794969
60120202,9290858120,2.628684202154606,0.134,285.54,4364.764,25.154872747890966,1.8053132470517563,439238.9312962083,268425.19709922146,0.014122757719459637,0.015228113977298794,24709.868129394792,26365.42741608312,51075.295545477915,483.0215136881654,478.65313937849,turbulent,turbulent,0.025328419809643045
60120202,155463474,0.11549578574400474,0.039,70.99,649.629,1.1052228300861697,0.9363984244380474,66308.42924799043,40522.030088969164,0.020327787319092495,0.022418845293121648,8144.040013602311,8887.315913273147,17031.355926875458,129.95191546257254,128.77664977996298,turbulent,turbulent,0.0011128479203287292
60120202,155463502,0.2914335319210338,0.056,59.47,651.137,2.7888376260386005,1.1460068568370252,116524.89010874652,71210.02799570242,0.018096848683611572,0.019808632264533044,6429.080719887203,6955.320277476732,13384.400997363935,194.64164617227655,192.88133624272578,turbulent,turbulent,0.002808078215349203
60120204,743319361,0.612075957769225,0.075,22.9,283.983,5.857186198748565,1.341857953165615,182730.5943755317,111669.2813785047,0.016575522620310243,0.018044160110825536,2517.7980950877322,2692.663681645828,5210.46177673356,266.85443554605837,264.4410439524596,turbulent,turbulent,0.005897595763333337
60120204,60121892,5.716244803227261,0.184,150.33,2534.864,54.70090720791638,2.0820872470510596,695601.0133143615,425091.7343558737,0.01304844618251529,0.014008238501911005,12057.969621109629,12781.003732413432,24838.973353523063,642.4793667808327,636.6688795027159,turbulent,turbulent,0.05507829658357533
60120205,99758771,0.3734065276154027,0.061,136.28,1550.049,3.573268206845959,1.2375022185888613,137062.6991729799,83760.97704246466,0.017538467016722088,0.01915406625015424,15048.592473075094,16265.478516901898,31314.070989976994,226.96208324639744,224.90947211909247,turbulent,turbulent,0.0035979206948297125
60120207,60121867,21.910762167471873,0.318,260.31,5097.39,209.6723652389653,2.6719418074685266,1542757.1726844735,942800.9874534595,0.011467004835407971,0.012224592493083889,17611.113795408975,18535.556647723777,36146.67044313275,1058.0722575496561,1048.5032103402098,turbulent,turbulent,0.2111189248492055
60120207,7645650137,3.1643367037556045,0.145,90.45,1418.075,30.280734007230667,1.8559677898157014,488631.98973079445,298610.0019991682,0.013858266104908794,0.01492841638834514,7865.8081062404835,8357.518403344618,16223.326509585102,510.5075934520862,505.8906391489492,turbulent,turbulent,0.030489645118303238
60120207,1685748306,2.088723066538247,0.122,128.76,1908.223,19.987780541035853,1.7305531891511776,383343.621699433,234266.7734568545,0.014467272076276308,0.015620731397770324,11738.884997402485,12525.116756258929,24264.001753661414,443.8449069239185,439.8308399849903,turbulent,turbulent,0.02012567909526857
60120211,743371401,11.709520175726128,0.246,23.27,425.981,112.05282464809693,2.386121948473407,1065788.9214342237,651318.862965774,0.012163359848852183,0.013007534853047117,2461.931769147506,2550.9532021256723,5012.884971273179,843.8137691704933,836.1824436768333,turbulent,turbulent,0.11282589309784007
60120212,743334065,10.66235952422882,0.237,21.52,389.942,102.03214855721359,2.340886628751461,1007330.9687732919,615594.3714715407,0.012274199853643801,0.013132831793585504,2320.667461681486,2404.2543004767413,4724.9217621582275,812.1235391645054,804.7788153701543,turbulent,turbulent,0.10273608293063793
60121856,99389956,0.4346145266562751,0.065,152.78,1785.998,4.158990685705982,1.268531556677874,149712.50979570433,91491.45735224124,0.017233889040801656,0.018802503334054907,16339.346731156249,17643.80942491189,33983.156156068144,238.48654810747172,236.32971144402563,turbulent,turbulent,0.004187684156771902
60121856,99390122,0.033766230289682966,0.024,69.74,469.838,0.32312182095390396,0.7229093555171997,31502.030366574683,19251.341599479172,0.02399901073855205,0.026764317799866377,9079.509591430548,10025.2850054156,19104.79459684615,77.45135625198529,76.75089777278154,turbulent,turbulent,0.00032535108457119785
60121858,7404078687,0.3263692573499799,0.058,84.65,941.647,3.123150788038085,1.1964016592101276,125993.59244593783,76996.48750564153,0.017829092943765987,0.019492812907364952,9412.231594701849,10177.850505325803,19590.082100027652,212.13647595868562,210.21794540577687,turbulent,turbulent,0.0031446978516271123
