u,v,MW,Diameter,Length,Losses [W],mass_flow_kg_s,velocity_m_s,Re_supply,Re_return,f_supply,f_return,dp_supply_Pa,dp_return_Pa,dp_total_Pa,dp_minor_supply_Pa,dp_minor_return_Pa,flow_regime_supply,flow_regime_return,V_dot_m3_s
36140666,1685779940,2.0325725512474127,0.121,141.62,2093.002,19.450455035860408,1.7119814959995643,376121.2714147004,229853.09183492282,0.014513167892232087,0.015674262672239737,12731.666529059481,13591.444517841832,26323.111046901315,434.36964637706916,430.44127227702563,turbulent,turbulent,0.019584646504648397
36140666,60121881,28.9207988940467,0.357,146.89,2960.862,276.7540564023608,2.798321465161007,1813883.0346919354,1108489.8819539587,0.011179686482784635,0.0119030826734565,10057.844780413052,10537.388804626517,20595.23358503957,1160.5304618209504,1150.0347979398439,turbulent,turbulent,0.2786634221859991
36140666,318841599,6.5453789067779615,0.194,178.54,3057.498,62.635204849549865,2.14464336506782,755440.5138455955,461660.509525722,0.012871606012868686,0.01380720775858299,14139.860011334036,14981.373417061794,29121.23342839583,681.6657964636523,675.5009129777819,turbulent,turbulent,0.06306733407846
60120202,9290858120,2.758924769302882,0.137,285.54,4396.174,26.401193964620884,1.8126855572101757,450906.50482026977,275555.4182606828,0.014055174011417707,0.015152130076340423,24262.91205346622,25882.326783118002,50145.23883658422,486.9745732107193,482.5704480221005,turbulent,turbulent,0.026583339574548122
60120202,155463474,0.15180111578546204,0.043,70.99,684.06,1.452642256320211,1.012422534565349,79044.87511261375,48305.45443495358,0.019600461643437653,0.021560612844536208,8344.640842881583,9081.08041668224,17425.721259563823,151.9095030481398,150.53565622826616,turbulent,turbulent,0.001462664242831052
60120202,155463502,0.30593454560451844,0.057,59.47,656.37,2.9276033072202723,1.1611880525544915,120176.86575438413,73441.80257813525,0.01798741901438662,0.019680653554794262,6450.222965983272,6974.943542471845,13425.166508455117,199.83265300813315,198.02539638933473,turbulent,turbulent,0.0029478012607951454
60120204,743319361,0.648755495772368,0.076,22.9,285.494,6.208186562415005,1.3850887947049406,191132.55574520997,116803.84021649405,0.016445979397873227,0.017890222127975818,2632.5901565131003,2813.134789685356,5445.724946198456,284.3259955245145,281.7545937562197,turbulent,turbulent,0.006251017728667125
60120204,60121892,5.901442672240805,0.186,150.33,2542.982,56.47313561952923,2.1035655741322636,710415.5482109367,434145.10864993156,0.013004637245354996,0.013957812172249028,12144.033856746282,12868.619749505271,25012.65360625155,655.8030712581362,649.8720863899555,turbulent,turbulent,0.056862751852253667
60120205,99758771,0.3387289420930598,0.059,136.28,1527.426,3.2414252831871755,1.1999745436871359,128548.64509897235,78557.91674864087,0.017755327973437783,0.019408237574612026,14800.30401643469,16012.119909338351,30812.42392577304,213.40539907518846,211.47539257144516,turbulent,turbulent,0.003263788339419817
60120207,60121867,22.99935099653106,0.325,260.31,5125.504,220.08948322039294,2.6851750903654814,1584526.2181428205,968326.6489122848,0.011417226358169314,0.012169383837988665,17354.915480723943,18261.187260629515,35616.10274135346,1068.5788057378174,1058.9147388783394,turbulent,turbulent,0.22160791201620686
60120207,7645650137,2.8225874232459596,0.138,90.45,1395.824,27.010405964076167,1.8277339539207584,457968.4132654765,279871.0515783109,0.014019197164466042,0.015110374377022659,8077.179028600501,8588.940856655401,16666.119885255903,495.09358181665533,490.6160295288099,turbulent,turbulent,0.027196754614644842
60120207,1685748306,1.7080543564759694,0.113,128.76,1859.166,16.345017765320282,1.6495616486629914,338446.83205424866,206829.70276262725,0.014787852927792163,0.01598893105111236,11728.70587151636,12534.172529337813,24262.878400854173,403.27234314106835,399.6252083993282,turbulent,turbulent,0.01645778437860775
60120211,743371401,12.450026464905132,0.253,23.27,429.215,119.13900923354193,2.3985732327396003,1101836.012709125,673347.756333138,0.012095037322512388,0.012931620906294744,2433.5239470732567,2519.872200392794,4953.396147466051,852.6431400611472,844.9319630580278,turbulent,turbulent,0.11996096628336514
60120212,743334065,11.149908309994617,0.241,21.52,391.75,106.69768717698199,2.3673417723923516,1035908.6580556923,633058.606382666,0.012220106592626796,0.01307130191707867,2341.12341543818,2424.2162102981874,4765.339625736367,830.5834238342685,823.0717516045671,turbulent,turbulent,0.10743380976805572
60121856,99389956,0.361411071461688,0.06,152.78,1725.192,3.4584791527434255,1.2380058656508206,134870.63791638063,82421.37703679163,0.01759867656371088,0.019222251337233594,17192.025457172655,18587.49221225066,35779.517669423316,227.14686198177117,225.0925797432265,turbulent,turbulent,0.003482339694639419
60121856,99390122,0.01332732011886452,0.017,69.74,350.304,0.12753416381688537,0.5686810246618442,17553.394667681696,10727.13069747321,0.027617813178445638,0.03112264390666331,9098.372726029833,10154.245125595911,19252.617851625742,47.92904892976757,47.495585781442585,turbulent,turbulent,0.0001284140402378577
