u,v,MW,Diameter,Length,Losses [W],mass_flow_kg_s,velocity_m_s,Re_supply,Re_return,f_supply,f_return,dp_supply_Pa,dp_return_Pa,dp_total_Pa,dp_minor_supply_Pa,dp_minor_return_Pa,flow_regime_supply,flow_regime_return,V_dot_m3_s
36140666,1685779940,3.548095800056689,0.151,141.62,5298.146,33.95306985700181,1.9644262250573352,919625.7833798944,666050.5647476589,0.012740045176211147,0.013258921955828515,11684.436996954932,11947.404834630634,23631.841831585567,558.6788794791629,549.9259208806482,turbulent,turbulent,0.03488593820436715
36140666,60121881,46.11678917685217,0.432,146.89,7303.518,441.3089873382983,3.1195061725319153,4177996.429549246,3025966.5743467193,0.0101168507739646,0.01044525759765853,9486.121676708713,9595.591876461309,19081.713553170022,1408.8426979995857,1386.7700149962354,turbulent,turbulent,0.453434052536515
36140666,318841599,9.527577372553855,0.226,178.54,7522.604,91.17298921104168,2.3548317703439423,1649934.8431580744,1194986.106243508,0.011614153669435094,0.012047390886620615,13079.289563214628,13325.142212789726,26404.431776004356,802.8059447417533,790.2281877241315,turbulent,turbulent,0.09367798790859312
60120202,9290858120,4.422661102255954,0.166,285.54,10999.286,42.32211581106176,2.0261041499727277,1042721.4858831303,755204.1788068041,0.012477297692457942,0.012977136650630182,21853.295172722414,22349.203694901054,44202.498867623464,594.3117805117056,585.0005525406784,turbulent,turbulent,0.04348492560705221
60120202,155463474,0.20498784428088185,0.048,70.99,1703.05,1.9616061653672903,1.1231555668187017,167139.7005546,121053.03478660574,0.01719322349716977,0.018103355731033083,7922.480940736692,8201.651490704493,16124.132431441185,182.62937580175367,179.7680767192546,turbulent,turbulent,0.0020155017426854776
60120202,155463502,0.4733666247860638,0.067,59.47,1658.916,4.52982416063219,1.331196936005926,276513.01678205124,200268.0376259996,0.01565575843134081,0.01642196219022215,6198.398433431756,6387.528720909638,12585.927154341392,256.5520123057832,252.53254920352362,turbulent,turbulent,0.004654282113812324
60120204,743319361,0.9918555789752436,0.091,22.9,720.915,9.491440947131517,1.512028357616774,426579.3194142729,308955.4487710334,0.014480971920014926,0.015146441098819775,2341.2421716519902,2395.4947523894903,4736.736924041481,330.9868039974431,325.8011528148796,turbulent,turbulent,0.00975222045448556
60120204,60121892,9.04415636630541,0.222,150.33,6302.585,86.546950873736,2.316628494753925,1594438.7359254912,1154792.3510970306,0.011671090841577879,0.012109469215139852,11011.229548885258,11217.100817373495,22228.330366258753,776.9688268227,764.7958662485402,turbulent,turbulent,0.08892484811163309
60120205,99758771,0.5780021027502217,0.073,136.28,3938.492,5.531120600480591,1.3692349579681595,309884.10979079833,224437.4723530606,0.015328107368620903,0.016066842707833495,13216.1624864964,13623.196679076655,26839.359165573056,271.42307348465187,267.1706218310157,turbulent,turbulent,0.005683089401987495
60120207,60121867,35.348103712696634,0.387,260.31,12607.594,338.2593656717381,2.9794662546515958,3574768.351897474,2589071.0359083056,0.010347008633856741,0.010690721537008771,16192.910181378053,16426.666482563694,32619.57666394175,1285.1912164867229,1265.0558114762985,turbulent,turbulent,0.34755311898370767
60120207,7645650137,4.804795374467325,0.171,90.45,3515.611,45.97890310495048,2.0743257398170964,1099693.1889465323,796466.6528324365,0.012377111918925056,0.012868012977867644,7420.062715193647,7569.174675431789,14989.237390625436,622.9378500660054,613.1781304643647,turbulent,turbulent,0.0472421839668529
60120207,1685748306,2.9908644728390725,0.141,128.76,4713.775,28.620712658747102,1.8991216691026123,830176.3750497776,601265.7033275579,0.012953042280711103,0.013489049418292617,10816.023550410928,11065.861087968524,21881.88463837945,522.1513257816979,513.9706532977344,turbulent,turbulent,0.029407073274468506
60120211,743371401,19.132923201668344,0.301,23.27,1058.552,183.09017417864445,2.6658924060891334,2487754.849670751,1801787.8059998255,0.010911750801365576,0.011294657379418807,2475.509000884552,2486.6923058225902,4962.201306707142,1028.9068104737175,1012.7866759123355,turbulent,turbulent,0.18812061852209291
60120212,743334065,17.228779727181355,0.288,21.52,967.819,164.86870552326653,2.622187987124689,2341287.678646043,1695707.111285659,0.01101264207073837,0.011402377136762603,2360.6861504478934,2371.2592311843455,4731.945381632238,995.4477141970458,979.8517914775833,turbulent,turbulent,0.16939851085461086
60121856,99389956,0.5794860355417002,0.073,152.78,4415.342,5.545320914274643,1.3727502611888567,310679.6902737908,225013.68154551252,0.015322657641351085,0.016060544593655805,14854.257025893863,15312.722694761493,30166.979720655356,272.81853771314735,268.54422298026043,turbulent,turbulent,0.005697679872645621
60121856,99390122,0.04502164038624396,0.027,69.74,1203.154,0.43082909460520535,0.7796291464094636,65260.48535246849,47265.7290718457,0.020727892474270412,0.022010310589939647,7940.154562975627,8293.949682281525,16234.104245257153,87.99681238286624,86.61814480855848,turbulent,turbulent,0.00044266622235753975
60121858,7404078687,0.4994182582909273,0.069,84.65,2390.516,4.779122088908395,1.3242211338783003,283274.88625764387,205165.40682156073,0.015574796973588885,0.016336510320414912,8338.513347673714,8597.071039472112,16935.584387145827,253.8702649186768,249.8928174084027,turbulent,turbulent,0.004910429559594078
60121858,99390082,0.01723916316265909,0.019,102.71,1349.301,0.16496806854219226,0.6028416622631231,35510.38067608508,25718.84078411096,0.02364742990803634,0.025271331739266763,11262.188563472911,11843.457891954946,23105.646455427857,52.613515855919026,51.78920703930779,turbulent,turbulent,0.0001695006038951707
60121862,60121858,0.5166574214535864,0.07,106.32,3020.339,4.944090157450587,1.3310699303003213,288866.6340660434,209215.30065122567,0.015518560739914396,0.016275473002897074,10333.002147017976,10654.890023132493,20987.89217015047,256.5030608484696,252.48436468066018,turbulent,turbulent,0.005079930163489247
60121862,155463254,0.24599262631964824,0.052,142.19,3544.37,2.3539964241114664,1.1484436278809609,185144.78957044054,134093.44744582596,0.016849981148513608,0.01773010337197173,14853.986902122291,15375.158589468161,30229.145491590454,190.94582701841665,187.95423206138253,turbulent,turbulent,0.0024186730133893557
60121862,155463268,0.20756520466995357,0.049,83.84,2031.611,1.9862699011478808,1.0913314539017969,165787.28554668798,120073.53117103463,0.01719410558830623,0.018110335082458354,8626.921723578766,8935.22147187752,17562.143195456287,172.42655514660993,169.7251061498449,turbulent,turbulent,0.002040843120238503
60121862,155463286,0.2773995609473622,0.054,65.89,1671.563,2.654541253084805,1.2009157210863828,201050.31523371403,145613.22488366163,0.01660709592067108,0.017460390708883878,7260.334344287382,7503.226014429943,14763.560358717325,208.7929676572239,205.52175718428015,turbulent,turbulent,0.0027274753801669158
60121865,1720869637,0.8331478642632547,0.084,31.47,961.22,7.972706835055069,1.490588594059076,388182.13842087024,281145.806471336,0.014736946223750616,0.015421260082550575,3281.587775200356,3365.4656382955063,6647.0534134958625,321.66691520038535,316.6272809942637,turbulent,turbulent,0.008191758775883108
60121865,353900173,0.11451129566535209,0.038,101.81,2163.87,1.095801872395714,1.0010952848385943,117939.01079828179,85418.81509592873,0.018404478781809768,0.019432784359352414,12069.05800882499,12535.753943457077,24604.811952282067,145.09138904652286,142.81820678033594,turbulent,turbulent,0.0011259092790616486
60121865,160025467,0.11748480661338571,0.039,26.49,571.071,1.1242565226161314,0.9750946480459546,117898.92579893602,85389.78302991379,0.018378589780879636,0.019410716243246633,3001.584152459742,3112.8737800933623,6114.457932553105,137.65257891409158,135.49594230499497,turbulent,turbulent,0.0011551457272943747
60121867,60121871,33.21526027703832,0.378,240.77,11594.761,317.849380641515,2.934596131743582,3439050.9417752214,2490775.9910197323,0.0104026343057292,0.010750619366226408,15015.384673715906,15233.501388720377,30248.886062436282,1246.7732859073947,1227.2397840083152,turbulent,turbulent,0.3265823649542428
60121867,7404841890,0.8025778184677885,0.083,125.48,3814.968,7.680170511653478,1.4707039142964717,378444.1611330777,274092.9536813716,0.014798217653697123,0.015488917068703508,11989.190246367047,12337.788153515301,24326.978399882348,313.1419872752762,308.2359151992522,turbulent,turbulent,0.007891184950196589
60121867,8389446364,0.8920558911177666,0.087,133.65,4137.136,8.53642001069633,1.4878112588403776,401296.6754837145,290644.17523717025,0.014639730242937299,0.015318174936606309,12332.544003568255,12687.277532022737,25019.821535590992,320.46934188630536,315.448470354095,turbulent,turbulent,0.008770960099746703
60121867,99055018,0.24665630004664152,0.052,79.81,1989.424,2.360347368867383,1.1515420616598946,185644.2993905761,134455.223728974,0.016843155014552566,0.01772222147845524,8463.331014995043,8755.663343213124,17218.99435820817,191.97753825199248,188.96977922281457,turbulent,turbulent,0.0024251984518026534
60121867,99055216,0.12978812952086813,0.04,53.2,1162.686,1.2419916700561544,1.02402196283012,126989.47596484017,91973.72856655843,0.01813491206678264,0.01913694048250025,6254.557721256368,6488.484731625322,12743.04245288169,151.81313525039852,149.43464174300794,turbulent,turbulent,0.0012761156747946503
60121867,160025437,0.06176529650524921,0.03,41.64,769.757,0.5910554689497531,0.8663558287301024,80577.91484188018,58359.57044328821,0.019866185896634764,0.02104814960282896,5102.520645157281,5315.039033994751,10417.559679152033,108.66343011132774,106.96097358420117,turbulent,turbulent,0.0006072948529242394
60121868,321680288,1.7089656838804708,0.113,82.84,2817.968,16.35373860172699,1.6895487822212578,591899.056252963,428690.3518972295,0.013694490742389922,0.014292454955477521,7328.210784837354,7510.605442329239,14838.816227166593,413.2684754159019,406.79369716983865,turbulent,turbulent,0.016803061304118565
60121868,6957423253,0.6216400245021361,0.075,173.34,5064.301,5.948708368441493,1.3951172948481292,324392.2383008745,234945.16728963898,0.01520636133903277,0.015933475361892494,16787.097089564515,17300.949942154148,34088.04703171866,281.7813541748172,277.36661680506916,turbulent,turbulent,0.006112150489227576
60121868,160032066,0.10870877592090421,0.038,52.95,1125.399,1.0402753676641552,0.9503677550992969,111962.80177172771,81090.47038319455,0.018560318355224252,0.01961271688588082,5767.016046685918,5991.240168378933,11758.256215064852,130.7597833415418,128.71113784592848,turbulent,turbulent,0.0010688571709333407
