u,v,MW,Diameter,Length,Losses [W],mass_flow_kg_s,velocity_m_s,Re_supply,Re_return,f_supply,f_return,dp_supply_Pa,dp_return_Pa,dp_total_Pa,dp_minor_supply_Pa,dp_minor_return_Pa,flow_regime_supply,flow_regime_return,V_dot_m3_s
36140666,1685779940,2.4309164690966925,0.13,141.62,2143.419,23.26235855594921,1.7738099301590526,418691.25785112876,255868.2197881497,0.016928642597359565,0.0176291269048471,14798.998062860337,15252.861717148811,30051.85978000915,466.310828270287,462.0935828996089,turbulent,turbulent,0.023422848891848314
36140666,60121881,29.340451033383903,0.359,146.89,2964.975,280.7698663481713,2.8073828277932535,1829951.3608695026,1118309.4660435102,0.01335519638981172,0.013754782499211232,11806.093816969998,12014.731639715224,23820.825456685223,1168.0585558032346,1157.4948089663567,turbulent,turbulent,0.28270693777849026
36140666,318841599,7.073736078803577,0.201,178.54,3088.921,67.69125434261797,2.1591384327895278,787988.7265723809,481551.1881380032,0.01523056187979556,0.015779306290697927,16269.440814218073,16678.50767333921,32947.94848755728,690.9113268416069,684.6628281621319,turbulent,turbulent,0.0681582659794969
60120202,9290858120,2.628684202154606,0.134,285.54,4364.764,25.154872747890966,1.8053132470517563,439238.9312962083,268425.19709922146,0.016796453709163585,0.017483216394347266,29296.45269922949,30198.95055151607,59495.403250745556,483.0215136881654,478.65313937849,turbulent,turbulent,0.025328419809643045
60120202,155463474,0.11549578574400474,0.039,70.99,649.629,1.1052228300861697,0.9363984244380474,66308.42924799043,40522.030088969164,0.023805360841918838,0.025323669162251053,9515.049073378948,10022.165348141587,19537.214421520534,129.95191546257254,128.77664977996298,turbulent,turbulent,0.0011128479203287292
60120202,155463502,0.2914335319210338,0.056,59.47,651.137,2.7888376260386005,1.1460068568370252,116524.89010874652,71210.02799570242,0.021304804016576532,0.022492589973193686,7534.234574253054,7871.592531072419,15405.827105325472,194.64164617227655,192.88133624272578,turbulent,turbulent,0.002808078215349203
60120204,743319361,0.612075957769225,0.075,22.9,283.983,5.857186198748565,1.341857953165615,182730.5943755317,111669.2813785047,0.0195893258036695,0.02057123655674844,2927.070328735232,3032.7351615863236,5959.805490321556,266.85443554605837,264.4410439524596,turbulent,turbulent,0.005897595763333337
60120204,60121892,5.716244803227261,0.184,150.33,2534.864,54.70090720791638,2.0820872470510596,695601.0133143615,425091.7343558737,0.015549067822687519,0.01612402620159994,14245.649407948978,14615.269639521368,28860.919047470346,642.4793667808327,636.6688795027159,turbulent,turbulent,0.05507829658357533
60120205,99758771,0.3734065276154027,0.061,136.28,1550.049,3.573268206845959,1.2375022185888613,137062.6991729799,83760.97704246466,0.020719650762615487,0.02182085404501589,17736.987624077014,18498.779435494987,36235.767059572,226.96208324639744,224.90947211909247,turbulent,turbulent,0.0035979206948297125
60120207,60121867,21.910762167471873,0.318,260.31,5097.39,209.6723652389653,2.6719418074685266,1542757.1726844735,942800.9874534595,0.013712047115319426,0.014137139192300682,20851.914566581105,21271.41932368759,42123.333890268696,1058.0722575496561,1048.5032103402098,turbulent,turbulent,0.2111189248492055
60120207,7645650137,3.1643367037556045,0.145,90.45,1418.075,30.280734007230667,1.8559677898157014,488631.98973079445,298610.0019991682,0.016480530445120788,0.017140812277535358,9257.579782452998,9521.132047087836,18778.711829540836,510.5075934520862,505.8906391489492,turbulent,turbulent,0.030489645118303238
60120207,1685748306,2.088723066538247,0.122,128.76,1908.223,19.987780541035853,1.7305531891511776,383343.621699433,234266.7734568545,0.017196054821298472,0.017920395745458347,13869.328825425426,14304.297285362602,28173.626110788027,443.8449069239185,439.8308399849903,turbulent,turbulent,0.02012567909526857
