,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-6740816.873608492,-1545108.0995031465,0.1277920859151245
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-541706.8567093997,-124168.28220553981,0.1277920859151245
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-2380665.509837058,-545688.3980721335,0.1277920859151245
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-225642.5947468587,-51721.061003937764,0.1277920859151245
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-478755.4705132731,-109738.77039556875,0.1277920859151245
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1205938.4596570425,-276421.2878729311,0.1277920859151245
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-648694.041219241,-148691.53634946997,0.1277920859151245
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-5397779.444759568,-1237261.4322283114,0.1277920859151245
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-709761.1976217132,-124366.33773176477,0.1277920859151245
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2166951.4756234786,-496701.56288102665,0.1277920859151245
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1329283.1258178237,-304693.95071023447,0.1277920859151245
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-674940.5715763049,-154707.680594143,0.1277920859151245
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-1612952.8269430245,-369715.79613496433,0.1277920859151245
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2118216.2929586135,-485530.64296461875,0.1277920859151245
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1362631.4142502483,-312337.93682165653,0.1277920859151245
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1211883.7058960905,-277784.03786150576,0.1277920859151245
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1144307.0527059957,-262294.3374084156,0.1277920859151245
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-439043.7241212744,-100636.17316645209,0.1277920859151245
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-463442.08398569375,-106228.68578739301,0.1277920859151245
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-308476.7319989591,-70708.03228403145,0.1277920859151245
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-212282.3352902715,-48658.66582470396,0.1277920859151245
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-453485.98997820885,-103946.58233037608,0.1277920859151245
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-97017.8332270169,-22238.111897418057,0.13881982936972914
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-148820.94171392487,-34112.2517833328,0.1277920859151245
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-6072446.441785833,-1391906.404954696,0.1277920859151245
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-982843.0231809425,-225284.07819571847,0.1277920859151245
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-31245.890678240914,-5474.99216051964,0.138825368475159
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-66363.73917591602,-11628.439575381824,0.138825368475159
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-1008446.5733276313,-231152.84060974722,0.1277920859151245
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-594496.188718355,-771288.4063442651,-176792.21762591007,0.1277920859151245
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-129979.58776117284,-168633.12331358637,-38653.53555241354,0.1277920859151245
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-131125.07243852242,-30056.06223570954,0.1277920859151245
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-77544.98685809471,-100605.43779550088,-23060.450937406174,0.13881982936972914
