electricity_multiplier,gas_multiplier,renovation_cost_multiplier,average_savings
0.1,0.1,0.0,-24458.770254146875
0.1,0.1,0.1,-37300.63673407024
0.1,0.1,0.2,-50142.50321399363
0.1,0.1,0.30000000000000004,-62984.36969391701
0.1,0.1,0.4,-75826.23617384037
0.1,0.1,0.5,-88668.10265376374
0.1,0.1,0.6000000000000001,-101509.96913368712
0.1,0.1,0.7000000000000001,-114351.8356136105
0.1,0.1,0.8,-127193.70209353385
0.1,0.1,0.9,-140035.56857345725
0.1,0.1,1.0,-152877.4350533806
0.1,0.5,0.0,9745.169931651233
0.1,0.5,0.1,-3096.696548272143
0.1,0.5,0.2,-15938.563028195518
0.1,0.5,0.30000000000000004,-28780.429508118898
0.1,0.5,0.4,-41622.295988042264
0.1,0.5,0.5,-54464.162467965645
0.1,0.5,0.6000000000000001,-67306.02894788903
0.1,0.5,0.7000000000000001,-80147.8954278124
0.1,0.5,0.8,-92989.76190773578
0.1,0.5,0.9,-105831.62838765915
0.1,0.5,1.0,-118673.49486758251
0.1,0.75,0.0,31122.632547775047
0.1,0.75,0.1,18280.766067851673
0.1,0.75,0.2,5438.899587928301
0.1,0.75,0.30000000000000004,-7402.966891995078
0.1,0.75,0.4,-20244.83337191845
0.1,0.75,0.5,-33086.69985184182
0.1,0.75,0.6000000000000001,-45928.566331765214
0.1,0.75,0.7000000000000001,-58770.43281168858
0.1,0.75,0.8,-71612.29929161194
0.1,0.75,0.9,-84454.16577153534
0.1,0.75,1.0,-97296.03225145869
0.1,1.0,0.0,52500.09516389886
0.1,1.0,0.1,39658.2286839755
0.1,1.0,0.2,26816.362204052115
0.1,1.0,0.30000000000000004,13974.49572412874
0.1,1.0,0.4,1132.6292442053675
0.1,1.0,0.5,-11709.237235718005
0.1,1.0,0.6000000000000001,-24551.10371564139
0.1,1.0,0.7000000000000001,-37392.97019556476
0.1,1.0,0.8,-50234.836675488135
0.1,1.0,0.9,-63076.7031554115
0.1,1.0,1.0,-75918.56963533488
0.1,1.25,0.0,73877.55778002267
0.1,1.25,0.1,61035.69130009929
0.1,1.25,0.2,48193.82482017593
0.1,1.25,0.30000000000000004,35351.958340252546
0.1,1.25,0.4,22510.09186032918
0.1,1.25,0.5,9668.225380405804
0.1,1.25,0.6000000000000001,-3173.6410995175816
0.1,1.25,0.7000000000000001,-16015.507579440953
0.1,1.25,0.8,-28857.374059364323
0.1,1.25,0.9,-41699.2405392877
0.1,1.25,1.0,-54541.10701921107
0.1,1.5,0.0,95255.0203961465
0.1,1.5,0.1,82413.15391622313
0.1,1.5,0.2,69571.28743629975
0.1,1.5,0.30000000000000004,56729.42095637637
0.1,1.5,0.4,43887.554476453006
0.1,1.5,0.5,31045.687996529632
0.1,1.5,0.6000000000000001,18203.821516606244
0.1,1.5,0.7000000000000001,5361.9550366828735
0.1,1.5,0.8,-7479.911443240497
0.1,1.5,0.9,-20321.777923163867
0.1,1.5,1.0,-33163.644403087244
0.1,2.0,0.0,138009.94562839414
0.1,2.0,0.1,125168.07914847076
0.1,2.0,0.2,112326.21266854739
0.1,2.0,0.30000000000000004,99484.34618862401
0.1,2.0,0.4,86642.47970870064
0.1,2.0,0.5,73800.61322877726
0.1,2.0,0.6000000000000001,60958.746748853875
0.1,2.0,0.7000000000000001,48116.88026893051
0.1,2.0,0.8,35275.013789007135
0.1,2.0,0.9,22433.147309083768
0.1,2.0,1.0,9591.280829160394
0.1,3.0,0.0,223519.79609288942
0.1,3.0,0.1,210677.92961296602
0.1,3.0,0.2,197836.06313304265
0.1,3.0,0.30000000000000004,184994.19665311926
0.1,3.0,0.4,172152.33017319586
0.1,3.0,0.5,159310.46369327256
0.1,3.0,0.6000000000000001,146468.59721334916
0.1,3.0,0.7000000000000001,133626.7307334258
0.1,3.0,0.8,120784.8642535024
0.1,3.0,0.9,107942.99777357903
0.1,3.0,1.0,95101.13129365566
0.1,4.0,0.0,309029.6465573847
0.1,4.0,0.1,296187.78007746127
0.1,4.0,0.2,283345.91359753796
0.1,4.0,0.30000000000000004,270504.0471176146
0.1,4.0,0.4,257662.1806376912
0.1,4.0,0.5,244820.31415776786
0.1,4.0,0.6000000000000001,231978.44767784447
0.1,4.0,0.7000000000000001,219136.58119792107
0.1,4.0,0.8,206294.71471799767
0.1,4.0,0.9,193452.8482380743
0.1,4.0,1.0,180610.9817581509
0.1,5.0,0.0,394539.4970218799
0.1,5.0,0.1,381697.6305419565
0.1,5.0,0.2,368855.7640620332
0.1,5.0,0.30000000000000004,356013.8975821097
0.1,5.0,0.4,343172.0311021864
0.1,5.0,0.5,330330.164622263
0.1,5.0,0.6000000000000001,317488.2981423397
0.1,5.0,0.7000000000000001,304646.43166241626
