,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,27974.42320393324,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-1231322.153964209,-6979035.360756357,-5747713.206792148,0.1609805985089156
1,w24853840,937.1926232803613,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-90513.65899805847,-632905.5719675759,-542391.9129695175,0.1609805985089156
2,w24853841,8998.296452549099,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-380907.4581377957,-2703530.1440801746,-2322622.685942379,0.1609805985089156
3,w25538793,404.8852469230536,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-34321.08084185861,-295800.34713378106,-261479.26629192245,0.17487232528379665
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-246011.13341180288,-563637.0723917934,-317625.9389799905,0.1609805985089156
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-619678.114522741,-1419746.9579972555,-800068.8434745145,0.1609805985089156
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-333335.00324651395,-763705.1329749299,-430370.1297284159,0.1609805985089156
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-2773678.675020838,-6354786.088186401,-3581107.413165563,0.1609805985089156
8,w30213059,1747.46707642246,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-205265.28696572076,-940911.1848294517,-735645.897863731,0.1609805985089156
9,w50930444,8762.936898044496,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-339579.3289247525,-2574505.6948393164,-2234926.365914564,0.1609805985089156
10,w50930445,4934.112452852726,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-207874.17464854405,-1754489.096772234,-1546614.92212369,0.1609805985089156
11,w50930458,1974.6456010334193,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-62270.48481731089,-892780.9800667828,-830510.4952494719,0.1609805985089156
12,w50930471,4724.4749339554455,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-265458.3549024314,-1860283.8401910653,-1594825.485288634,0.1609805985089156
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1088457.0999959963,-2493768.3297400367,-1405311.2297440404,0.1609805985089156
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-700195.6516190612,-1604221.0029552158,-904025.3513361545,0.1609805985089156
15,w50930479,4489.048651921749,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-190798.4932492935,-1405296.1010458628,-1214497.6077965694,0.1609805985089156
16,w50930480,4441.97852948606,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-173481.2936373079,-1322433.173802486,-1148951.880165178,0.1609805985089156
17,w50930481,1370.623297881335,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-63839.7751992198,-590907.1166547074,-527067.3414554875,0.1609805985089156
18,w50930482,1573.369959426485,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-65175.805543017166,-576739.0935735521,-511563.2880305349,0.1609805985089156
19,w50930483,704.9254127380437,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-50406.585262119304,-391652.3264961447,-341245.7412340254,0.17487232528379665
20,w50930486,509.32494937628496,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-34032.87558093554,-280157.6557423776,-246124.7801614421,0.17487232528379665
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-233026.27176522184,-533887.4049584888,-300861.1331932669,0.1609805985089156
22,w98916062,151.14776481509907,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-12390.650966481764,-121372.99215370671,-108982.34118722496,0.17487232528379665
23,w98916065,222.67857759937178,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-23401.059104985583,-191206.50479223835,-167805.44568725277,0.17487232528379665
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-3120360.0245540906,-7149069.0874711145,-4028709.062917024,0.1609805985089156
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-505039.2966568161,-1157097.512875412,-652058.2162185959,0.1609805985089156
26,w98916075,67.06430839556852,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-10207.266749256378,-98043.3625175789,-87836.09576832253,0.17487930293425843
27,w98916076,98.82164086105185,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-16410.367901858375,-127942.14030569649,-111531.77240383811,0.17487930293425843
28,w98916079,3334.9361924076916,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-137541.87224647545,-1286523.9955446848,-1148982.1232982094,0.1609805985089156
29,w98916080,2976.303781049745,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-107031.48005335232,-941021.5141563517,-833990.0341029994,0.1609805985089156
