,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
0,w24853838,27974.42320393324,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-1846983.2309463136,-5899295.064893275,-4052311.833946961,0.0928663828498012,-144.85774396153414
1,w24853840,937.1926232803613,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-135770.4884970877,-553534.5928687507,-417764.10437166295,0.0928663828498012,-445.761195718128
2,w24853841,8998.296452549099,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-571361.1872066937,-2369514.281357289,-1798153.0941505951,0.0928663828498012,-199.83261316548445
3,w25538793,404.8852469230536,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-51481.62126278791,-265704.36139745486,-214222.74013466696,0.10088023314648455,-529.0949516255872
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-347911.12843757373,21105.57168013061,0.0928663828498012,3.8501906983689302
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-876354.289749926,53162.88203418546,0.0928663828498012,3.1887208697059175
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-471405.32023447455,28597.184635296464,0.0928663828498012,10.05172491101371
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-3922561.0010682405,237957.01146301627,0.0928663828498012,10.164217523009619
8,w30213059,1747.46707642246,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-307897.93044858123,-760923.6104515513,-453025.68000297004,0.0928663828498012,-259.24704740671666
9,w50930444,8762.936898044496,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-509368.99338712863,-2276730.263850963,-1767361.2704638345,0.0928663828498012,-201.6859519846859
