,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05736842105263158,npv_DH_25years_ir_0.05736842105263158,savings_npv_25years_ir_0.05736842105263158,operator_selling_price
0,w24853838,27974.42320393324,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-1717954.401535665,-6943537.14932387,-5225582.747788206,0.17089343680909488
1,w24853840,937.1926232803613,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-126285.66648800232,-630296.1224467529,-504010.45595875056,0.17089343680909488
2,w24853841,8998.296452549099,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-531446.3336656648,-2692548.8314792,-2161102.4978135354,0.17089343680909488
3,w25538793,404.8852469230536,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-47885.154756540025,-294810.892846458,-246925.73808991798,0.18564058617840762
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-343237.47697620746,-556544.7325029331,-213307.25552672567,0.17089343680909488
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-864581.816344554,-1401882.0437190614,-537300.2273745075,0.17089343680909488
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-465072.71404937224,-754095.3030981608,-289022.58904878853,0.17089343680909488
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-3869867.4208505834,-6274822.748182591,-2404955.3273320077,0.17089343680909488
8,w30213059,1747.46707642246,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-286388.417596433,-934993.801737456,-648605.384141023,0.17089343680909488
9,w50930444,8762.936898044496,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-473784.86687551544,-2564715.84514201,-2090930.9782664948,0.17089343680909488
10,w50930445,4934.112452852726,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-290028.36678713735,-1748496.2204325446,-1458467.8536454071,0.17089343680909488
11,w50930458,1974.6456010334193,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-86880.47488892055,-890985.7627640391,-804105.2878751185,0.17089343680909488
12,w50930471,4724.4749339554455,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-370370.45728514076,-1852630.8496406167,-1482260.392355476,0.17089343680909488
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1518627.4849361803,-2462388.8242658162,-943761.339329636,0.17089343680909488
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-976920.7820734653,-1584034.8208051927,-607114.0387317274,0.17089343680909488
15,w50930479,4489.048651921749,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-266204.1856623041,-1399795.5054198056,-1133591.3197575016,0.17089343680909488
16,w50930480,4441.97852948606,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-242043.0356335302,-1317431.8217019883,-1075388.786068458,0.17089343680909488
17,w50930481,1370.623297881335,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-89069.96633127656,-589066.6577378203,-499996.6914065437,0.17089343680909488
