,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.1,npv_DH_25years_ir_0.1,savings_npv_25years_ir_0.1,operator_selling_price
0,w24853838,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-1189527.9296534876,-2606505.3219190906,-1416977.392265603,0.23094256263800966
1,w24853840,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-87441.39382750994,-191602.44386512254,-104161.0500376126,0.23094256263800966
2,w24853841,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-367978.48443600326,-806318.0814203855,-438339.59698438225,0.23094256263800966
3,w25538793,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-33156.13554572066,-72652.05095215078,-39495.91540643012,0.25087161626667037
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-237660.88611084624,-520764.8757271122,-283103.9896162659,0.23094256263800966
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-598644.6538354404,-1311756.064958497,-713111.4111230565,0.23094256263800966
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-322020.7603804632,-705615.0635694733,-383594.3031890101,0.23094256263800966
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-2679532.9241818134,-5871418.949508683,-3191886.0253268695,0.23094256263800966
8,w30213059,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-198298.05794362415,-434492.04618255317,-236193.988238929,0.23094256263800966
9,w50930444,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-328053.1376687329,-718833.2681309071,-390780.1304621742,0.23094256263800966
10,w50930445,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-200818.39330351033,-440035.24241529865,-239216.84911178832,0.23094256263800966
11,w50930458,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-60156.86524016511,-131816.31594319595,-71659.45070303083,0.23094256263800966
12,w50930471,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-256448.0191473015,-561931.426778492,-305483.40763119055,0.23094256263800966
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1051512.0811450218,-2304083.634560066,-1252571.553415044,0.23094256263800966
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-676429.2197141827,-1482198.3722569633,-805769.1525427806,0.23094256263800966
15,w50930479,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-184322.30422001655,-403888.84945124004,-219566.54523122348,0.23094256263800966
16,w50930480,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-167592.89466986552,-367231.2023813348,-199638.30771146927,0.23094256263800966
17,w50930481,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-61672.88989139665,-135138.24409896997,-73465.35420757331,0.23094256263800966
18,w50930482,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-62963.5719470187,-137966.3993385568,-75002.8273915381,0.23094256263800966
19,w50930483,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-48695.65679031358,-106702.4030409034,-58006.74625058982,0.25087161626667037
