,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.09052631578947369,npv_DH_25years_ir_0.09052631578947369,savings_npv_25years_ir_0.09052631578947369,operator_selling_price,savings/NFA [€/m2]
0,w24853838,27974.42320393324,trade,1197460.8634512746,1330512.0705014162,1496826.079314093,nr2,-1281832.1433818825,-5697482.412204119,-4415650.268822237,0.11830262358085035,-157.8459808315687
1,w24853840,937.1926232803613,trade,88132.8528706944,97925.39207854934,110166.066088368,nr2,-94342.56028376595,-538838.7373604154,-444496.17707664944,0.11830262358085035,-474.28475858124455
2,w24853841,8998.296452549099,trade,370264.7062278559,411405.2291420621,462830.8827848198,nr2,-396352.9969863003,-2306868.1153771714,-1910515.1183908712,0.11830262358085035,-212.3196461091974
3,w25538793,404.8852469230536,trade,30691.75479818213,34101.94977575792,38364.69349772766,nr1,-35689.387657255036,-260045.0871440557,-224355.69948680064,0.12851147942285265,-554.1216954477926
4,w27689586,5481.69515059907,office,247077.21277456047,274530.2364161783,308846.5159682006,nr2,-264485.8992041066,-1691160.747109986,-1426674.8479058794,0.11830262358085035,-260.2616177497511
5,w28994179,8336.082743907347,other,755590.8194729006,839545.3549698895,944488.5243411257,nr2,-808828.6049308797,-4035509.773137122,-3226681.1682062424,0.11830262358085035,-387.0740331319948
6,w28994181,1422.5013561584055,trade,126963.50101552144,141070.5566839127,158704.37626940178,nr2,-135909.15712179002,-863430.6568585369,-727521.4997367469,0.11830262358085035,-511.4381765522424
7,w29249266,23411.247439788887,trade,2692049.9258480393,2991166.584275599,3365062.407310049,nr2,-2881727.688865919,-3461075.594298667,-579347.9054327477,0.11830262358085035,-24.74656281869498
8,w30213059,1747.46707642246,ab,196743.8254561325,218604.25050681387,245929.7818201656,r2,-225359.21509809117,-855467.2999352278,-630108.0848371367,0.11830262358085035,-360.5836661181275
9,w50930444,8762.936898044496,other,331711.8078293086,368568.67536589847,414639.75978663575,nr2,-355083.71972126956,-2160262.6908590808,-1805178.9711378112,0.11830262358085035,-206.0015942304284
10,w50930445,4934.112452852726,other,203585.9606969704,226206.62299663379,254482.450871213,nr2,-217930.31933462937,-1555601.5146392244,-1337671.195304595,0.11830262358085035,-271.1067508263217
11,w50930458,1974.6456010334193,other,59309.24989752737,65899.1665528082,74136.56237190921,nr2,-63488.089873271,-808999.8615666875,-745511.7716934165,0.11830262358085035,-377.54206187847444
12,w50930471,7086.712400933168,other,741559.2688132944,823954.7431258826,926949.086016618,nr2,-793808.4124503208,-953397.1351616518,-159588.72271133098,0.11830262358085035,-22.5194298403187
13,w50930472,6477.305229391343,other,397621.5839708261,441801.75996758457,497026.97996353265,nr2,-425637.3989269525,-2091399.1212506292,-1665761.7223236766,0.11830262358085035,-257.16894037432974
14,w50930478,6019.835157379508,trade,260294.65487875984,289216.28319862206,325368.3185984498,nr2,-278634.6222727009,-1664795.9191884492,-1386161.2969157482,0.11830262358085035,-230.2656568953555
15,w50930479,4489.048651921749,other,185266.7973649304,205851.99707214488,231583.496706163,nr2,-198320.41548257988,-1206348.0464580173,-1008027.6309754375,0.11830262358085035,-224.55261885921055
16,w50930480,4441.97852948606,other,168030.88689118178,186700.98543464643,210038.6086139772,nr2,-179870.08884557703,-1175813.5837826538,-995943.4949370767,0.11830262358085035,-224.21168592462962
17,w50930481,1370.623297881335,other,60575.174758398076,67305.74973155341,75718.96844799758,nr2,-64843.20988370157,-491897.7191783722,-427054.5092946706,0.11830262358085035,-311.57686430312225
18,w50930482,786.6849797132425,other,73977.36742213568,82197.07491348409,92471.7092776696,nr2,-79189.70075661581,-522184.9688991085,-442995.26814249274,0.11830262358085035,-563.1164691919892
19,w50930483,1057.3881191070657,other,39987.428585553724,44430.4762061708,49984.28573194215,nr1,-46498.70460620117,-326854.7343652447,-280356.02975904354,0.12851147942285265,-265.1401360512697
20,w50930486,509.32494937628496,trade,28626.54367727404,31807.27075252671,35783.17959659255,nr1,-33287.89185576608,-229629.88336762475,-196341.99151185865,0.12851147942285265,-385.49454872041395
21,w98916060,5426.03009034004,other,197850.31759317868,219833.68621464298,247312.89699147333,nr2,-211790.5514993643,-1367969.3121960396,-1156178.7606966754,0.11830262358085035,-213.08004958450564
22,w98916062,151.14776481509907,trade,11160.058322507997,12400.064802786663,13950.072903134997,nr1,-12977.284953845465,-111671.59535586109,-98694.31040201563,0.12851147942285265,-652.9657287539092
23,w98916065,222.67857759937178,other,21014.510922443198,23349.456580492442,26268.138653053997,nr1,-24436.36838852621,-172088.51468552373,-147652.14629699753,0.12851147942285265,-663.072972213085
24,w98916067,36008.87229184061,trade,3131751.8703745524,3479724.300416169,3914689.83796819,nr2,-3352410.366859375,-4026385.195117818,-673974.8282584432,0.11830262358085035,-18.716910176916638
25,w98916074,4745.314506876469,trade,489677.5280019927,544086.1422244363,612096.9100024909,nr2,-524179.46543626377,-629561.4821149003,-105382.01667863649,0.11830262358085035,-22.207593727650014
26,w98916075,67.06430839556852,sfh,7064.458776221087,7849.398640245652,8830.573470276358,r1,-8790.58911339782,-89520.88095900674,-80730.29184560892,0.12851660721069608,-1203.774314191592
27,w98916076,98.82164086105185,sfh,14858.44356181803,16509.381735353367,18573.054452272536,r1,-18488.956670849406,-107880.42542466431,-89391.4687538149,0.12851660721069608,-904.573815764745
28,w98916079,3334.9361924076916,trade,133808.09024913074,148675.65583236748,167260.11281141342,nr2,-143236.00575264968,-1143433.7120340175,-1000197.7062813679,0.11830262358085035,-299.9150953947532
29,w98916080,1488.1518905248724,other,125829.55976690605,139810.62196322894,157286.94970863254,nr2,-134695.32008916044,-864355.6476465043,-729660.3275573439,0.11830262358085035,-490.3130736876543
30,w98916086,294.4025758753764,other,20669.987609601096,22966.65289955677,25837.484512001367,nr1,-24035.745284704466,-210231.88332855192,-186196.13804384746,0.12851147942285265,-632.4541743230745
