,trade,office,other,ab,sfh,mfh,education,th,health
0.01,-387.48315561301513,-232.5676008987873,-518.1482482257682,-495.33538398243866,-776.2791916047896,-325.7209518099978,-274.6301291020594,-642.5279641848674,31.90872418887222
0.01473684210526316,-392.139478015481,-235.29354608800426,-522.934885807941,-503.15760709838844,-785.3378520927855,-333.3021094471079,-279.1670876367236,-651.678381709229,27.074801102469007
0.019473684210526317,-396.4669684792842,-237.8269835933066,-527.3834885248759,-510.42741433379035,-793.7567778358266,-340.34787557088504,-283.38364377188987,-660.1825844837463,22.58225220849854
0.024210526315789474,-400.4904726589011,-240.18245877612745,-531.5195973793625,-517.1865457677981,-801.5843066529948,-346.89870391361984,-287.3040062487885,-668.0893999512183,18.405284193614058
0.02894736842105263,-404.2325040077754,-242.37315166027153,-535.3663559025061,-523.4728233997693,-808.8642389634393,-352.9912508752933,-290.95011139311123,-675.4430721942538,14.520524899930164
0.03368421052631579,-407.7135886991055,-244.4110788584748,-538.9448647277162,-529.3207305897512,-815.6365088174326,-358.65893710685134,-294.3419591938252,-682.2839397633394,10.906665248323089
0.03842105263157895,-410.9525501750365,-246.3072601556928,-542.2744741034953,-534.7618900832265,-821.9377374811772,-363.93241080316955,-297.4978905580046,-688.648994869019,7.544163836010683
0.04315789473684211,-413.9667401672804,-248.07185375522363,-545.3730213795694,-539.8254521154809,-827.8016828877675,-368.83992384681216,-300.43481240928537,-694.5723373854397,4.4150071043811865
0.04789473684210527,-416.7722236048199,-249.7142645290005,-548.2570210895504,-544.5384050527149,-833.2595993804911,-373.4076328757963,-303.16837785549734,-700.0855382375637,1.5025173785705304
0.052631578947368425,-419.38392496805693,-251.2432296975243,-550.9418154010574,-548.9258212683102,-838.340522454082,-377.6598375824378,-305.7131287910549,-705.2179270266269,-1.2087990689023924
0.05736842105263158,-421.81574339094317,-252.66688621396426,-553.4416924391771,-553.0110505195008,-843.0714926979131,-381.61916813053466,-308.08260804846714,-709.9968182416968,-3.7333715104724363
0.06210526315789474,-424.0806432291018,-253.99282378534411,-555.7699793892917,-556.8158721094566,-847.4777320099223,-385.3067326281157,-310.2894476447657,-714.4476892585067,-6.084658786084619
0.0668421052631579,-426.1907260034945,-255.22812699043544,-557.9391164542111,-560.3606157617241,-851.5827835773464,-388.7422342767698,-312.34543888090917,-718.5943217380816,-8.27522399092456
0.07157894736842106,-428.15728870055875,-256.37940941033764,-559.9607167859411,-563.6642595740709,-855.4086253138593,-391.94406630674547,-314.26158914740984,-722.4589162129065,-10.31679499923014
0.07631578947368421,-429.99087245435544,-257.4528421284076,-561.8456165302838,-566.7445118139269,-858.9757645841967,-394.92939125161894,-316.0481693585232,-726.0621877710345,-12.220315003265515
0.08105263157894736,-431.701304727227,-258.45417842403134,-563.6039181879937,-569.6178817906361,-862.303320278988,-397.7142096364019,-317.71475505161436,-729.4234489622734,-13.995986302826788
0.08578947368421053,-433.2977372924593,-259.38877600876896,-565.2450296604508,-572.2997436740487,-865.4090967209813,-400.3134218293718,-319.2702633961419,-732.5606844530199,-15.653309736632742
0.09052631578947369,-434.7886816329468,-260.2616177497511,-566.7777006390165,-574.804395970792,-868.3096525425628,-402.74088568540066,-320.7229876848857,-735.490620601456,-17.2011214311597
0.09526315789473684,-436.18204281291594,-261.0773314991614,-568.2100574247171,-577.1451184340032,-871.0203665910561,-405.00947170184196,-322.0806303373754,-738.2287920304148,-18.647627964294987
0.1,-437.48515245087816,-261.8402093975526,-569.5496368239997,-579.3342274618735,-873.5555020839636,-407.13111670980226,-323.3503350275885,-740.7896064324635,-20.000440595938354
