,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-1846983.2309463136,-2298497.139646592,-451513.9087002785,0.13115988384417232
1,w24853840,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-135770.4884970877,-168960.970641345,-33190.48214425729,0.13115988384417232
2,w24853841,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-571361.1872066937,-711036.263077929,-139675.07587123534,0.13115988384417232
3,w25538793,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-51481.62126278791,-64066.8292133112,-12585.20795052329,0.14247824945509074
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-459226.6001612777,-90209.90004357335,0.13115988384417232
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1156747.1348960348,-227229.96311192343,0.13115988384417232
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-622233.2222640009,-122230.7173942299,0.13115988384417232
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-5177599.120026437,-1017081.1074951799,0.13115988384417232
8,w30213059,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-307897.93044858123,-383148.5464278649,-75250.61597928364,0.13115988384417232
9,w50930444,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-509368.99338712863,-633889.4445322718,-124520.45114514319,0.13115988384417232
10,w50930445,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-311811.26197281596,-388036.7085882569,-76225.44661544095,0.13115988384417232
11,w50930458,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-93405.72722596636,-116239.71092877451,-22833.983702808153,0.13115988384417232
12,w50930471,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-398187.53235364717,-495528.5401746,-97341.00782095286,0.13115988384417232
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2031812.327029359,-399126.6770353643,0.13115988384417232
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1307048.4415942496,-256754.96416565776,0.13115988384417232
15,w50930479,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-286197.7398739402,-356161.699495523,-69963.95962158282,0.13115988384417232
16,w50930480,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-260221.94045596189,-323835.85069414193,-63613.91023818005,0.13115988384417232
17,w50930481,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-95759.66279882971,-119169.0900863572,-23409.42728752749,0.13115988384417232
18,w50930482,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-97763.70831452575,-121663.0449898832,-23899.336675357452,0.13115988384417232
19,w50930483,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-75609.87789317896,-94093.48452907069,-18483.60663589173,0.14247824945509074
20,w50930486,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-51049.31337140332,-63528.83924396804,-12479.525872564722,0.14247824945509074
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-434987.88468191604,-85448.47703408328,0.13115988384417232
22,w98916062,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-18585.976449722642,-23129.508157655906,-4543.5317079332635,0.14247824945509074
23,w98916065,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-35101.58865747839,-43682.53039575674,-8580.94173827835,0.14247824945509074
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-5824745.837646661,-1144205.8008155245,0.13115988384417232
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-942751.9638443543,-185193.0188591302,0.13115988384417232
26,w98916075,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-15310.900123884569,-19052.902104349374,-3742.0019804648055,0.14248393453660088
27,w98916076,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-24615.551852787565,-30631.621648688975,-6016.0697959014105,0.14248393453660088
28,w98916079,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-206312.8083697132,-256748.08085143092,-50435.27248171772,0.13115988384417232
29,w98916080,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-160547.22008002846,-199794.62723280332,-39247.40715277486,0.13115988384417232
30,w98916086,other,20686.516731325537,22985.018590361706,25858.14591415692,nr1,-34662.60483124105,-43136.23249112408,-8473.62765988303,0.14247824945509074
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-125776.36167224635,-24707.351469433474,0.13115988384417232
32,w98916094,trade,13612.2294499376,15124.699388819556,17015.286812422,nr1,-22808.83419976017,-28384.686600517372,-5575.852400757201,0.14247824945509074
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-2667833.5836193347,-524065.89867979847,0.13115988384417232
34,w98916102,trade,73425.17962658805,81583.53291843117,91781.47453323506,nr2,-113258.62835976391,-140945.8564449634,-27687.228085199487,0.13115988384417232
35,w98916109,sfh,9629.8057932929,10699.784214769888,12037.257241616126,r1,-17266.847960239058,-21486.885890132246,-4220.0379298931875,0.14248393453660088
36,w98916113,trade,50271.6825643969,55857.425071552105,62839.60320549612,nr2,-77544.26807720469,-96500.75614391123,-18956.488066706544,0.13115988384417232
37,w98916116,other,358101.17313169746,397890.1923685527,447626.4664146218,nr2,-552372.4679896035,-687405.5575713762,-135033.08958177269,0.13115988384417232
38,w98916121,other,22475.134293848154,24972.371437609057,28093.917867310192,nr1,-37659.63640350452,-46865.91903123882,-9206.282627734297,0.14247824945509074
39,w98916126,trade,54455.49615433791,60506.10683815323,68069.37019292239,nr2,-83997.81699488513,-104531.94098594025,-20534.123991055123,0.13115988384417232
40,w99055014,mfh,51250.231128429565,56944.70125381063,64062.788910536954,r2,-84591.453779245,-105265.7044771864,-20674.250697941403,0.13115988384417232
41,w99055018,mfh,39011.950831555296,43346.61203506144,48764.93853944412,r1,-69950.88354844647,-87046.96167942567,-17096.078130979207,0.14248393453660088
42,w99055022,sfh,3912.1656857345315,4346.850761927257,4890.207107168164,r0,-8607.630451403838,-10711.345447625125,-2103.714996221286,0.17483836508639672
43,w99055023,sfh,7638.842228320924,8487.602475912137,9548.552785401154,r1,-13696.924961927867,-17044.469516402314,-3347.544554474447,0.14248393453660088
44,w99055025,trade,131771.14343422168,146412.38159357963,164713.9292927771,nr2,-203257.50701130647,-252945.8798810095,-49688.37286970302,0.13115988384417232
45,w99055028,ab,18863.996140229203,20959.99571136578,23579.9951752865,r1,-33824.33252213011,-42091.03913386382,-8266.706611733709,0.14248393453660088
46,w99055030,other,33719.73290267432,37466.369891860355,42149.66612834289,nr1,-56501.23661710844,-70313.54079180265,-13812.304174694204,0.14247824945509074
47,w99055036,other,94056.81089942587,104507.56766602874,117571.01362428232,nr2,-145083.00074359222,-180550.0215882492,-35467.020844656974,0.13115988384417232
48,w99055038,other,24561.514626422148,27290.57180713572,30701.893283027683,nr1,-41155.60326612149,-51216.510687616435,-10060.907421494943,0.14247824945509074
49,w99055039,other,95255.37369289662,105839.30410321847,119069.21711612078,nr2,-146931.7885665421,-182850.7644708397,-35918.97590429761,0.13115988384417232
50,w99055040,trade,7536.8851086504455,8374.316787389384,9421.106385813056,nr1,-12628.90575405614,-15716.170708107624,-3087.264954051483,0.14247824945509074
51,w99055041,ab,21595.11692946048,23994.5743660672,26993.8961618256,r1,-38721.404014636195,-48184.96065315894,-9463.556638522743,0.14248393453660088
52,w99055043,sfh,29155.98911223378,32395.543458037533,36444.98639029222,r1,-52278.52377687235,-65055.45641479486,-12776.93263792251,0.14248393453660088
53,w99055048,sfh,5769.180841789516,6410.2009353216845,7211.476052236895,r1,-10344.504405237867,-12872.71343658945,-2528.2090313515837,0.14248393453660088
