,full_id,NFA,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
0,w24853838,27974.42320393324,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-1846983.2309463136,-5073387.550270805,-3226404.3193244915,0.048820563252060696,-115.33407841169912
1,w24853840,937.1926232803613,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-135770.4884970877,-492822.6898937271,-357052.20139663934,0.048820563252060696,-380.98059302567424
2,w24853841,8998.296452549099,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-571361.1872066937,-2114021.1668714317,-1542659.979664738,0.048820563252060696,-171.43911492577274
3,w25538793,404.8852469230536,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-51481.62126278791,-242683.54715644018,-191201.92589365228,0.0530335052585837,-472.2373248882275
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-182899.52435698573,186117.17576071862,0.048820563252060696,33.95248561758833
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-460706.1104463226,468811.0613377888,0.048820563252060696,28.119386271713303
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-247821.3595450096,252181.14532476143,0.048820563252060696,88.64003687342681
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-2062120.1298692394,2098397.8826620174,0.048820563252060696,89.63204067014635
8,w30213059,1747.46707642246,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-307897.93044858123,-623248.7540190109,-315350.8235704297,0.048820563252060696,-180.4616681053806
9,w50930444,8762.936898044496,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-509368.99338712863,-2048957.9309432257,-1539588.937556097,0.048820563252060696,-175.69325848958994
10,w50930445,4934.112452852726,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-311811.26197281596,-1432773.9676322744,-1120962.7056594584,0.048820563252060696,-227.18629061876328
11,w50930458,1974.6456010334193,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-93405.72722596636,-796408.4648253886,-703002.7375994222,0.048820563252060696,-356.0146373767069
12,w50930471,4724.4749339554455,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-398187.53235364717,-1449448.92492029,-1051261.3925666427,0.048820563252060696,-222.5139104900491
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-809224.7009772956,823460.9490166991,0.048820563252060696,84.75345017247528
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-520567.7070865924,529725.7703419994,0.048820563252060696,87.996723580151
15,w50930479,4489.048651921749,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-286197.7398739402,-1110008.0403755708,-823810.3005016306,0.048820563252060696,-183.51556518527812
16,w50930480,4441.97852948606,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-260221.94045596189,-1053945.9657101133,-793724.0252541514,0.048820563252060696,-178.68704677102207
17,w50930481,1370.623297881335,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-95759.66279882971,-492105.89924899914,-396346.2364501694,0.048820563252060696,-289.1722598490983
18,w50930482,1573.369959426485,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-97763.70831452575,-475870.17740095075,-378106.46908642503,0.048820563252060696,-240.3163139229187
19,w50930483,704.9254127380437,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-75609.87789317896,-313640.89908086,-238031.02118768106,0.0530335052585837,-337.6683786489272
20,w50930486,509.32494937628496,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-51049.31337140332,-227486.89478307942,-176437.5814116761,0.0530335052585837,-346.4145662366237
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-173245.79451937912,176293.61312845364,0.048820563252060696,64.98069866671366
22,w98916062,151.14776481509907,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-18585.976449722642,-102196.6808945064,-83610.70444478375,0.0530335052585837,-553.1719542598977
23,w98916065,222.67857759937178,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-35101.58865747839,-154990.00620745367,-119888.41754997527,0.0530335052585837,-538.3922371089975
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-2319863.9687504256,2360676.068080711,0.048820563252060696,54.63181520349051
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-375476.69432300003,382082.250662224,0.048820563252060696,80.51779288992245
26,w98916075,67.06430839556852,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-15310.900123884569,-82246.90118975168,-66936.00106586711,0.05303562136964849,-998.0868015674656
27,w98916076,98.82164086105185,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-24615.551852787565,-102545.94480056693,-77930.39294777936,0.05303562136964849,-788.5964275512625
28,w98916079,3334.9361924076916,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-206312.8083697132,-1073658.2017694858,-867345.3933997727,0.048820563252060696,-260.07855723727766
29,w98916080,2976.303781049745,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-160547.22008002846,-775374.9325854436,-614827.7125054151,0.048820563252060696,-206.57424703084737
30,w98916086,294.4025758753764,other,20686.516731325537,22985.018590361706,25858.14591415692,nr1,-34662.60483124105,-198544.12865589402,-163881.52382465298,0.0530335052585837,-556.6579142093706
31,w98916091,1116.7099465291947,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-50093.86807542735,50975.14212738552,0.048820563252060696,45.64761179554234
32,w98916094,150.05011938810347,trade,13612.2294499376,15124.699388819556,17015.286812422,nr1,-22808.83419976017,-141828.8719676658,-119020.03776790563,0.0530335052585837,-793.2018864980788
33,w98916098,15131.85493721813,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-1062537.5214245114,1081230.1635150248,0.048820563252060696,71.45390753486832
34,w98916102,1892.1415951219387,trade,73425.17962658805,81583.53291843117,91781.47453323506,nr2,-113258.62835976391,-663131.6145049185,-549872.9861451546,0.048820563252060696,-290.608793529386
35,w98916109,81.43322088830173,sfh,9629.8057932929,10699.784214769888,12037.257241616126,r1,-17266.847960239058,-94000.09110895194,-76733.24314871288,0.05303562136964849,-942.2842706168334
