,trade,office,other,ab,sfh,mfh,education,th,health
0.1,-337.8420168660304,61.75707272251539,-433.36260983197735,-362.0867900229259,-680.4477976542673,-172.62354187355015,-234.8761425201375,-429.981151882786,-310.57415543415976
0.2,-347.3808506232328,56.19615530152998,-443.3038844039148,-378.3719579547663,-699.8504895672552,-188.71032893926272,-243.37390920812499,-449.0587632127793,-319.30083466221345
0.3,-356.91968438043517,50.635237880544565,-453.24515897585223,-394.6571258866065,-719.253181480243,-204.79711600497535,-251.8716758961124,-468.13637454277267,-328.02751389026713
0.4,-366.45851813763755,45.074320459559154,-463.18643354778965,-410.94229381844673,-738.6558733932309,-220.88390307068795,-260.3694425840999,-487.21398587276605,-336.7541931183209
0.5,-375.99735189483994,39.513403038573735,-473.1277081197272,-427.227461750287,-758.0585653062186,-236.97069013640058,-268.8672092720874,-506.29159720275936,-345.4808723463745
0.6,-385.5361856520424,33.95248561758833,-483.0689826916646,-443.5126296821272,-777.4612572192065,-253.05747720211315,-277.3649759600748,-525.3692085327526,-354.20755157442835
0.7,-395.0750194092447,28.39156819660291,-493.010257263602,-459.79779761396753,-796.8639491321943,-269.14426426782575,-285.8627426480623,-544.4468198627461,-362.93423080248203
0.7999999999999999,-404.61385316644714,22.83065077561751,-502.9515318355394,-476.0829655458078,-816.266641045182,-285.23105133353835,-294.36050933604974,-563.5244311927393,-371.66091003053583
0.8999999999999999,-414.1526869236495,17.269733354632113,-512.8928064074769,-492.368133477648,-835.6693329581699,-301.31783839925095,-302.8582760240372,-582.6020425227327,-380.3875892585895
0.9999999999999999,-423.69152068085185,11.708815933646688,-522.8340809794144,-508.6533014094882,-855.0720248711577,-317.4046254649636,-311.35604271202465,-601.6796538527261,-389.1142684866432
1.0999999999999999,-433.2303544380543,6.147898512661257,-532.7753555513517,-524.9384693413285,-874.4747167841456,-333.49141253067614,-319.8538094000121,-620.7572651827194,-397.84094771469694
1.2,-442.7691881952567,0.5869810916758561,-542.7166301232892,-541.2236372731687,-893.8774086971334,-349.5781995963888,-328.35157608799955,-639.8348765127129,-406.5676269427506
1.3,-452.3080219524591,-4.9739363293095655,-552.6579046952266,-557.508805205009,-913.2801006101213,-365.6649866621014,-336.849342775987,-658.9124878427061,-415.2943061708044
1.4,-461.84685570966144,-10.534853750294976,-562.599179267164,-573.7939731368493,-932.6827925231091,-381.751773727814,-345.34710946397445,-677.9900991726995,-424.0209853988581
1.5,-471.3856894668638,-16.09577117128039,-572.5404538391016,-590.0791410686896,-952.085484436097,-397.8385607935266,-353.8448761519619,-697.0677105026928,-432.7476646269118
1.5999999999999999,-480.92452322406626,-21.656688592265777,-582.481728411039,-606.3643090005298,-971.4881763490847,-413.92534785923914,-362.34264283994935,-716.1453218326861,-441.47434385496547
1.7,-490.46335698126865,-27.21760601325121,-592.4230029829764,-622.6494769323701,-990.8908682620727,-430.0121349249518,-370.8404095279368,-735.2229331626795,-450.2010230830191
1.8,-500.002190738471,-32.778523434236604,-602.3642775549139,-638.9346448642103,-1010.2935601750605,-446.09892199066445,-379.3381762159243,-754.3005444926729,-458.92770231107306
1.9,-509.5410244956734,-38.33944085522201,-612.3055521268512,-655.2198127960505,-1029.6962520880484,-462.185709056377,-387.8359429039117,-773.3781558226661,-467.6543815391267
2.0,-519.0798582528759,-43.90035827620746,-622.2468266987887,-671.5049807278908,-1049.0989440010362,-478.27249612208965,-396.3337095918992,-792.4557671526594,-476.38106076718043
