,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-1846983.2309463136,-4231630.522610203,-2384647.29166389,0.2414708977633734
1,w24853840,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-135770.4884970877,-311064.298564102,-175293.81006701427,0.2414708977633734
2,w24853841,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-571361.1872066937,-1309047.8563683967,-737686.669161703,0.2414708977633734
3,w25538793,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-51481.62126278791,-117949.74433928903,-66468.12307650113,0.26230848792569494
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-845455.6085876902,-476438.9084699858,0.2414708977633734
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-2129620.4369958835,-1200103.2652117722,0.2414708977633734
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-1145557.6994623947,-645555.1945926237,0.2414708977633734
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-9532179.132279601,-5371661.119748345,0.2414708977633734
8,w30213059,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-307897.93044858123,-705392.6915076245,-397494.76105904323,0.2414708977633734
9,w50930444,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-509368.99338712863,-1167017.2980313655,-657648.3046442368,0.2414708977633734
10,w50930445,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-311811.26197281596,-714392.0049462146,-402580.74297339865,0.2414708977633734
11,w50930458,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-93405.72722596636,-214002.22789975672,-120596.50067379036,0.2414708977633734
12,w50930471,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-398187.53235364717,-912289.0167049429,-514101.48435129575,0.2414708977633734
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-3740652.4946100544,-2107966.8446160597,0.2414708977633734
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-2406331.5044328235,-1356038.0270042317,0.2414708977633734
15,w50930479,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-286197.7398739402,-655708.7640325323,-369511.02415859216,0.2414708977633734
16,w50930480,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-260221.94045596189,-596195.508132532,-335973.56767657015,0.2414708977633734
17,w50930481,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-95759.66279882971,-219395.33892073933,-123635.67612190962,0.2414708977633734
18,w50930482,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-97763.70831452575,-223986.81545979506,-126223.10714526931,0.2414708977633734
19,w50930483,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-75609.87789317896,-173230.08771426498,-97620.20982108603,0.26230848792569494
20,w50930486,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-51049.31337140332,-116959.28203421927,-65909.96866281595,0.26230848792569494
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-800831.1074377334,-451291.6997899007,0.2414708977633734
22,w98916062,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-18585.976449722642,-42582.40352126231,-23996.42707153967,0.26230848792569494
23,w98916065,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-35101.58865747839,-80421.3874096679,-45319.79875218952,0.26230848792569494
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-10723603.63120667,-6043063.594375534,0.2414708977633734
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1735646.2693131177,-978087.3243278937,0.2414708977633734
26,w98916075,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-15310.900123884569,-35077.19922656311,-19766.299102678546,0.26231895440138764
27,w98916076,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-24615.551852787565,-56394.11200031768,-31778.560147530112,0.26231895440138764
28,w98916079,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-206312.8083697132,-472684.0842271213,-266371.2758574081,0.2414708977633734
29,w98916080,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-160547.22008002846,-367830.36544559384,-207283.14536556537,0.2414708977633734
30,w98916086,other,20686.516731325537,22985.018590361706,25858.14591415692,nr1,-34662.60483124105,-79415.62984408009,-44753.02501283904,0.26230848792569494
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-231559.60557643886,-130490.59537362598,0.2414708977633734
32,w98916094,trade,13612.2294499376,15124.699388819556,17015.286812422,nr1,-22808.83419976017,-52257.40947058231,-29448.575270822137,0.26230848792569494
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-4911594.548872892,-2767826.8639333555,0.2414708977633734
34,w98916102,trade,73425.17962658805,81583.53291843117,91781.47453323506,nr2,-113258.62835976391,-259487.28753242994,-146228.65917266603,0.2414708977633734
35,w98916109,sfh,9629.8057932929,10699.784214769888,12037.257241616126,r1,-17266.847960239058,-39558.266399455395,-22291.418439216337,0.26231895440138764
36,w98916113,trade,50271.6825643969,55857.425071552105,62839.60320549612,nr2,-77544.26807720469,-177661.97664980602,-100117.70857260133,0.2414708977633734
