,full_id,building_usage,yearly_demand_useful_renovated,yearly_demand_delivered_renovated,yearly_demand_delivered_renovated_DH,consumer_size_renovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,1197392.8826751309,1330436.536305701,1496741.1033439136,nr2,-1846983.2309463136,-3217820.7485330952,-1370837.5175867816,0.18361954353959348
1,w24853840,trade,88019.54120636193,97799.49022929103,110024.4265079524,nr2,-135770.4884970877,-236539.8275438386,-100769.33904675089,0.18361954353959348
2,w24853841,trade,370411.49455784855,411568.3272864984,463014.36819731066,nr2,-571361.1872066937,-995427.49078356,-424066.3035768663,0.18361954353959348
3,w25538793,trade,30724.044681390333,34137.827423767034,38405.05585173791,nr1,-51481.62126278791,-89691.46351298776,-38209.84225019985,0.19946488486026906
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-642902.2063105452,-273885.50619284087,0.18361954353959348
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1619408.1198843624,-689890.948100251,0.18361954353959348
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-871106.1408305966,-371103.63596082554,0.18361954353959348
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-7248469.266561469,-3087951.2540302123,0.18361954353959348
8,w30213059,ab,186541.77691087977,207268.64101208863,233177.2211385997,r2,-307897.93044858123,-536395.4216864704,-228497.49123788916,0.18361954353959348
9,w50930444,other,330222.16830016905,366913.5203335212,412777.7103752113,nr2,-509368.99338712863,-887424.4704109945,-378055.47702386585,0.18361954353959348
10,w50930445,other,202146.16980193532,224606.85533548368,252682.71225241915,nr2,-311811.26197281596,-543238.6886849763,-231427.42671216035,0.18361954353959348
11,w50930458,other,60554.61203303029,67282.90225892254,75693.26504128786,nr2,-93405.72722596636,-162731.7899066912,-69326.06268072485,0.18361954353959348
12,w50930471,other,258143.60911438576,286826.2323493175,322679.5113929822,nr2,-398187.53235364717,-693723.7338956667,-295536.2015420195,0.18361954353959348
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2844470.741453976,-1211785.0914599812,0.18361954353959348
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1829825.028777934,-779531.5513493421,0.18361954353959348
15,w50930479,other,185541.01142931575,206156.6793659064,231926.26428664467,nr2,-286197.7398739402,-498614.71946217766,-212416.97958823747,0.18361954353959348
16,w50930480,other,168700.98991545063,187445.54435050068,210876.23739431327,nr2,-260221.94045596189,-453359.58940662263,-193137.64895066075,0.18361954353959348
17,w50930481,other,62080.660377160784,68978.51153017864,77600.82547145098,nr2,-95759.66279882971,-166832.82482685611,-71073.1620280264,0.18361954353959348
18,w50930482,other,63379.87619939754,70422.08466599727,79224.84524924692,nr2,-97763.70831452575,-170324.28004602852,-72560.57173150277,0.18361954353959348
19,w50930483,other,45123.70064816985,50137.445164633165,56404.62581021231,nr1,-75609.87789317896,-131727.7979584413,-56117.920065262355,0.19946488486026906
20,w50930486,trade,30466.044901173256,33851.16100130362,38082.55612646657,nr1,-51049.31337140332,-88938.2951683357,-37888.98179693238,0.19946488486026906
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-608968.7981535646,-259429.3905057318,0.18361954353959348
22,w98916062,trade,11092.043274505519,12324.492527228354,13865.054093131897,nr1,-18585.976449722642,-32380.55421922962,-13794.577769506977,0.19946488486026906
23,w98916065,other,20948.500685227787,23276.111872475318,26185.625856534734,nr1,-35101.58865747839,-61154.11249870252,-26052.52384122413,0.19946488486026906
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-8154453.485286069,-3473913.4484549323,0.18361954353959348
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1319821.8860716627,-562262.9410864386,0.18361954353959348
26,w98916075,sfh,8538.96409194254,9487.737879936156,10673.705114928174,r1,-15310.900123884569,-26673.439202352845,-11362.539078468277,0.1994728437882681
27,w98916076,sfh,13728.213996145805,15253.571106828673,17160.267495182256,r1,-24615.551852787565,-42883.26750649002,-18267.715653702453,0.1994728437882681
28,w98916079,trade,133751.88480733606,148613.2053414845,167189.85600917006,nr2,-206312.8083697132,-359438.9079104165,-153126.0995407033,0.18361954353959348
29,w98916080,other,104082.21116258297,115646.90129175886,130102.76395322871,nr2,-160547.22008002846,-279705.9373560936,-119158.71727606514,0.18361954353959348
30,w98916086,other,20686.516731325537,22985.018590361706,25858.14591415692,nr1,-34662.60483124105,-60389.31331662593,-25726.70848538488,0.19946488486026906
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-176082.78874177157,-75013.7785389587,0.18361954353959348
32,w98916094,trade,13612.2294499376,15124.699388819556,17015.286812422,nr1,-22808.83419976017,-39737.63199800968,-16928.79779824951,0.19946488486026906
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-3734879.6789556304,-1591111.9940160941,0.18361954353959348
34,w98916102,trade,73425.17962658805,81583.53291843117,91781.47453323506,nr2,-113258.62835976391,-197319.5848127549,-84060.956452991,0.18361954353959348
35,w98916109,sfh,9629.8057932929,10699.784214769888,12037.257241616126,r1,-17266.847960239058,-30080.936819987255,-12814.088859748197,0.1994728437882681
36,w98916113,trade,50271.6825643969,55857.425071552105,62839.60320549612,nr2,-77544.26807720469,-135097.89941124525,-57553.63133404056,0.18361954353959348
37,w98916116,other,358101.17313169746,397890.1923685527,447626.4664146218,nr2,-552372.4679896035,-962345.2766838057,-409972.8086942022,0.18361954353959348
38,w98916121,other,22475.134293848154,24972.371437609057,28093.917867310192,nr1,-37659.63640350452,-65610.75237229998,-27951.115968795457,0.19946488486026906
