,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-9524982.828796173,-4329274.054690827,0.19321436379271137
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-765448.5509908336,-347909.97648697364,0.19321436379271137
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-3363954.032201213,-1528976.9204362885,0.19321436379271137
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-318839.96861322696,-144918.43487030602,0.19321436379271137
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-676496.2943415531,-307479.5942238488,0.19321436379271137
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1704028.3597956968,-774511.1880115854,0.19321436379271137
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-916624.7532916634,-416622.24842189235,0.19321436379271137
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-7627229.383171334,-3466711.370640077,0.19321436379271137
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-1073118.5523829204,-487723.692492972,0.19321436379271137
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-3061969.488736321,-1391719.5759938692,0.19321436379271137
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1878318.1898316978,-853729.0147241086,0.19321436379271137
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-953711.9128531844,-433479.02187102253,0.19321436379271137
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-2279152.255335821,-1035915.2245277606,0.19321436379271137
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2993105.167579857,-1360419.5175858624,0.19321436379271137
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1925440.353308979,-875146.8758803871,0.19321436379271137
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1712429.1766998922,-778329.5086653074,0.19321436379271137
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1616941.2746648681,-734928.559367288,0.19321436379271137
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-620382.3678579207,-281974.81690309837,0.19321436379271137
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-654858.0053239447,-297644.607125644,0.19321436379271137
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-435887.16775217006,-198118.46803724242,0.19321436379271137
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-299961.50858407444,-136337.8391185069,0.19321436379271137
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-640789.736412137,-291250.3287643043,0.19321436379271137
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-137089.2004487375,-62309.47911913866,0.20988768452609255
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-210288.59572498457,-95579.9057943925,0.19321436379271137
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-8580554.72671988,-3900014.6898887437,0.19321436379271137
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1388787.6046377695,-631228.6596525455,0.19321436379271137
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-47242.009122087715,-21471.11060436644,0.20989605933838193
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-100338.19819089818,-45602.898590363984,0.20989605933838193
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-1424966.213265789,-647672.4805479049,0.19321436379271137
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-594496.188718355,-1089854.3847469867,-495358.19602863165,0.19321436379271137
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-129979.58776117284,-238283.82138919202,-108304.23362801918,0.19321436379271137
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-185283.78486166842,-84214.77465885555,0.19321436379271137
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-77544.98685809471,-142158.59671806943,-64613.60985997472,0.20988768452609255
