,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,27974.42320393324,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-20782835.096421383,-4602297.864501777,16180537.231919605,0.09335765427166148
1,w24853840,937.1926232803613,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-1670154.2980154397,-369850.76980514935,1300303.5282102902,0.09335765427166148
2,w24853841,8998.296452549099,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-7339908.4470596975,-1625401.1935723864,5714507.253487311,0.09335765427166148
3,w25538793,404.8852469230536,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-695686.1349716837,-154057.65375557396,541628.4812161098,0.09335765427166148
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-1476066.8004708174,-326870.6628403436,1149196.1376304738,0.09335765427166148
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-3718068.6871364457,-823355.4036054236,2894713.2835310223,0.09335765427166148
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-2000010.019479084,-442896.3516731991,1557113.667805885,0.09335765427166148
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-16642072.050125027,-3685338.035057766,12956734.01506726,0.09335765427166148
8,w30213059,1747.46707642246,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-2341579.4395597936,-518511.29926009034,1823068.1402997032,0.09335765427166148
9,w50930444,8762.936898044496,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-6680999.650969808,-1479487.7736238209,5201511.877345987,0.09335765427166148
10,w50930445,4934.112452852726,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-4098356.700430357,-907569.0685533577,3190787.631876999,0.09335765427166148
11,w50930458,1974.6456010334193,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-2080931.5639286474,-460816.19030371093,1620115.3736249364,0.09335765427166148
12,w50930471,4724.4749339554455,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-4972948.123232241,-1101244.7734703335,3871703.349761907,0.09335765427166148
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-6530742.599975979,-1446213.7904686392,5084528.80950734,0.09335765427166148
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-4201173.909714367,-930337.6379293093,3270836.271785058,0.09335765427166148
15,w50930479,4489.048651921749,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-3736398.672138339,-827414.5250120641,2908984.1471262746,0.09335765427166148
16,w50930480,4441.97852948606,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-3528050.8611903205,-781276.5134774975,2746774.347712823,0.09335765427166148
17,w50930481,1370.623297881335,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-1353630.2038192893,-299757.43768641754,1053872.7661328719,0.09335765427166148
18,w50930482,1573.369959426485,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-1428853.592793203,-316415.43650270224,1112438.1562905007,0.09335765427166148
19,w50930483,704.9254127380437,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-951074.7988597106,-210612.72417675133,740462.0746829592,0.09335765427166148
20,w50930486,509.32494937628496,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-654494.6778622702,-144935.92641612096,509558.7514461492,0.09335765427166148
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-1398157.630591331,-309617.9057214072,1088539.724869924,0.09335765427166148
22,w98916062,151.14776481509907,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-299118.8853183954,-66238.99967189979,232879.88564649562,0.10141389854891146
23,w98916065,222.67857759937178,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-458834.75972236827,-101607.6115232737,357227.1481990946,0.09335765427166148
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-18722160.147324547,-4145967.442128667,14576192.70519588,0.09335765427166148
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-3030235.779940896,-671036.824102995,2359198.955837901,0.09335765427166148
26,w98916075,67.06430839556852,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-103083.5940708851,-22826.476604245694,80257.1174666394,0.10141794510536283
27,w98916076,98.82164086105185,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-218941.1984021368,-48481.58611539359,170459.6122867432,0.10141794510536283
28,w98916079,3334.9361924076916,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-3109174.9308715365,-688517.667504203,2420657.2633673334,0.09335765427166148
29,w98916080,2976.303781049745,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-2377984.75487342,-526597.7480164013,1851387.006857019,0.09335765427166148
30,w98916086,294.4025758753764,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-519918.35104469134,-115134.39362949526,404783.9574151961,0.09335765427166148
31,w98916091,1116.7099465291947,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-404276.0408112515,-89525.7432714382,314750.2975398133,0.09335765427166148
32,w98916094,150.05011938810347,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-310179.94743237883,-68688.43942880153,241491.5080035773,0.10141389854891146
33,w98916098,15131.85493721813,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-8575070.739758145,-1898924.2598732894,6676146.479884855,0.09335765427166148
34,w98916102,1892.1415951219387,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-1753756.5671510652,-388364.247053335,1365392.3200977303,0.09335765427166148
35,w98916109,81.43322088830173,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-277708.5945369496,-61494.83623588606,216213.75830106353,0.10141794510536283
36,w98916113,559.2398283889517,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-1070749.2767425042,-237114.28623217015,833634.990510334,0.09335765427166148
37,w98916116,6987.1012714248145,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-6557089.723339625,-1452048.2836467691,5105041.439692856,0.09335765427166148
38,w98916121,458.57296650111675,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-497039.82716936275,-110068.0116327239,386971.81553663884,0.09335765427166148
39,w98916126,1235.1179318586364,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-1197708.6365294103,-265229.06401464896,932479.5725147612,0.09335765427166148
40,w99055014,379.03616306802724,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-914294.085470257,-202458.13836327603,711835.947106981,0.09335765427166148
41,w99055018,363.825429549627,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-493442.1627003865,-109266.13574109018,384176.0269592963,0.09335765427166148
42,w99055022,32.828185592684896,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-58248.42968001858,-12898.331973278846,45350.09770673973,0.10141794510536283
43,w99055023,57.57688737055287,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-169906.5475681303,-37623.5216469571,132283.02592117322,0.10141794510536283
44,w99055025,2922.078992408514,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-2203979.0173296286,-488064.6878928213,1715914.3294368072,0.09335765427166148
45,w99055028,168.94065034445376,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-314107.38696003734,-69554.85966790836,244552.527292129,0.10141794510536283
46,w99055030,502.22660109587014,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-717738.9977898541,-158941.1955333602,558797.8022564938,0.09335765427166148
47,w99055036,2513.4158389533286,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-2027068.4233847177,-448888.3558407713,1578180.0675439464,0.09335765427166148
48,w99055038,337.97397138923407,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-532240.2472216825,-117863.04139092333,414377.20583075914,0.09335765427166148
49,w99055039,2475.299022556655,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-1929283.1937088058,-427234.1035874414,1502049.0901213645,0.09335765427166148
50,w99055040,101.95110847079195,trade,35391.70019666166,39324.111329624066,44239.62524582707,nr1,-237211.22974076096,-52529.730953777755,184681.4987869832,0.10141389854891146
51,w99055041,189.90211718752977,ab,64982.981209910264,72203.31245545585,81228.72651238783,r2,-429032.5901306126,-95003.50147222287,334029.08865838975,0.09335765427166148
52,w99055043,190.2007592998445,sfh,86320.99151306404,95912.21279229339,107901.23939133005,r2,-569911.042583016,-126199.14155376505,443711.90102925093,0.09335765427166148
53,w99055048,47.74609960326925,sfh,24285.63485393199,26984.0387265911,30357.04356741499,r1,-174182.6880591055,-38570.41549319411,135612.2725659114,0.10141794510536283
54,w99055050,194.95880112051967,trade,65308.77244341692,72565.3027149077,81635.96555427114,nr2,-402956.1534295732,-89233.4580827285,313722.69534684473,0.09335765427166148
55,w99055053,122.33706042193808,ab,49059.40863841541,54510.454042683785,61324.260798019255,r1,-351866.431436762,-77916.09263727826,273950.3387994837,0.10141794510536283
56,w99055057,303.91877080444243,ab,87681.8017174346,97424.2241304829,109602.25214679325,r2,-578895.4245825328,-128188.61220973147,450706.81237280136,0.09335765427166148
57,w99055067,194.8848727118224,sfh,33001.382887256914,36668.203208063234,41251.72860907114,r1,-236694.2274947156,-52412.75583147451,184281.4716632411,0.10141794510536283
58,w99055068,348.37368724122643,ab,132493.30677667502,147214.7853074167,165616.63347084375,r2,-874751.2890759419,-193701.91750294596,681049.3715729959,0.09335765427166148
59,w99055094,263.70872883694244,other,66091.27134448045,73434.74593831161,82614.08918060057,nr2,-407784.18395960063,-90302.61128030739,317481.5726792932,0.09335765427166148
60,w99055100,85.6876405166462,sfh,15744.323611141372,17493.69290126819,19680.404513926715,r1,-112922.25320669507,-25005.115451725942,87917.13775496912,0.10141794510536283
61,w99055110,94.65369866762775,sfh,52473.960066172556,58304.40007352506,65592.45008271569,r2,-346445.1550611066,-76715.6238384415,269729.5312226651,0.09335765427166148
62,w99055113,801.3236896117684,education,153671.86244078857,170746.51382309842,192089.8280509857,nr2,-948157.8088632483,-209966.7652991869,738191.0435640614,0.09335765427166148
63,w99055118,54.3237798044458,other,24020.58101149931,26689.534457221456,30025.726264374138,nr1,-160996.83058918957,-35652.27584083402,125344.55474835556,0.10141389854891146
64,w99055131,500.74276516167447,th,174492.9614592318,193881.0682880353,218116.20182403974,r2,-1152042.6705661563,-255104.36751640606,896938.3030497502,0.09335765427166148
65,w99055135,663.0715527065098,ab,134760.33544465396,149733.70604961552,168450.41930581743,r2,-889718.7338316933,-197016.25700208647,692702.4768296068,0.09335765427166148
66,w99055142,64.54166975589469,sfh,30373.370700461764,33748.18966717974,37966.7133755772,r1,-217845.4623831067,-48238.95009917533,169606.51228393137,0.10141794510536283
67,w99055146,149.08371188635937,sfh,45007.11390865703,50007.90434295226,56258.89238582129,r1,-322802.353306526,-71480.24311686285,251322.1101896632,0.10141794510536283
68,w99055147,57.659734526090325,sfh,9628.24002989865,10698.044477665168,12035.300037373312,r1,-69056.16179164867,-15291.559008236853,53764.60278341182,0.10141794510536283
69,w99055152,1635.3717537612654,other,264252.3847284261,293613.76080936234,330315.48091053264,nr2,-1630441.3710579795,-361056.4586304962,1269384.9124274834,0.09335765427166148
70,w99055158,567.1104306213557,trade,144743.79539184985,160826.4393242776,180929.7442398123,nr2,-893071.4947127468,-197768.06262931964,695303.4320834272,0.09335765427166148
71,w99055160,362.3993257842958,ab,101699.20767706775,112999.1196411864,127124.00959633468,r2,-671441.5631837662,-148681.71090923628,522759.8522745299,0.09335765427166148
72,w99055171,150.93386064656082,sfh,36534.23113964701,40593.59015516334,45667.78892455876,r1,-262032.7046976943,-58023.621093538226,204009.0836041561,0.10141794510536283
73,w99055172,71.28885925472714,sfh,34959.915482691984,38844.350536324426,43699.89435336498,r1,-250741.31640863893,-55523.29489776803,195218.0215108709,0.10141794510536283
74,w99055173,413.9677898917347,ab,103778.03118873315,115308.92354303683,129722.53898591643,r2,-685166.4342042758,-151720.8991532018,533445.535051074,0.09335765427166148
