electricity_multiplier,gas_multiplier,average_savings
0.1,0.1,-64990.28965179039
0.1,0.5,-4226.626073840947
0.1,0.75,33750.66366237745
0.1,1.0,71727.95339859586
0.1,1.25,109705.24313481423
0.1,1.5,147682.53287103266
0.1,2.0,223637.11234346946
0.1,3.0,375546.27128834306
0.1,4.0,527455.4302332166
0.1,5.0,679364.5891780901
0.5,0.1,-121746.25304518193
0.5,0.5,-60982.589467232494
0.5,0.75,-23005.2997310141
0.5,1.0,14971.9900052043
0.5,1.25,52949.27974142267
0.5,1.5,90926.56947764111
0.5,2.0,166881.1489500779
0.5,3.0,318790.30789495155
0.5,4.0,470699.46683982515
0.5,5.0,622608.6257846986
0.75,0.1,-157218.73016605168
0.75,0.5,-96455.06658810226
0.75,0.75,-58477.77685188384
0.75,1.0,-20500.487115665448
0.75,1.25,17476.802620552935
0.75,1.5,55454.092356771354
0.75,2.0,131408.67182920818
0.75,3.0,283317.83077408175
0.75,4.0,435226.98971895536
0.75,5.0,587136.1486638288
1.0,0.1,-192691.2072869214
1.0,0.5,-131927.5437089719
1.0,0.75,-93950.25397275352
1.0,1.0,-55972.96423653511
1.0,1.25,-17995.67450031673
1.0,1.5,19981.615235901692
1.0,2.0,95936.19470833849
1.0,3.0,247845.35365321208
1.0,4.0,399754.51259808574
1.0,5.0,551663.6715429592
1.25,0.1,-228163.68440779104
1.25,0.5,-167400.02082984158
1.25,0.75,-129422.73109362321
1.25,1.0,-91445.4413574048
1.25,1.25,-53468.15162118642
1.25,1.5,-15490.861884967997
1.25,2.0,60463.71758746881
1.25,3.0,212372.8765323424
1.25,4.0,364282.03547721606
1.25,5.0,516191.19442208955
1.5,0.1,-263636.16152866086
1.5,0.5,-202872.4979507114
1.5,0.75,-164895.208214493
1.5,1.0,-126917.9184782746
1.5,1.25,-88940.62874205624
1.5,1.5,-50963.33900583781
1.5,2.0,24991.240466598996
1.5,3.0,176900.3994114726
1.5,4.0,328809.5583563462
1.5,5.0,480718.71730121976
2.0,0.1,-334581.11577040015
2.0,0.5,-273817.4521924507
2.0,0.75,-235840.1624562323
2.0,1.0,-197862.87272001393
2.0,1.25,-159885.58298379552
2.0,1.5,-121908.2932475771
2.0,2.0,-45953.71377514031
2.0,3.0,105955.44516973331
2.0,4.0,257864.60411460695
2.0,5.0,409773.76305948047
3.0,0.1,-476471.0242538792
3.0,0.5,-415707.3606759299
3.0,0.75,-377730.0709397114
3.0,1.0,-339752.78120349307
3.0,1.25,-301775.49146727467
3.0,1.5,-263798.2017310562
3.0,2.0,-187843.6222586194
3.0,3.0,-35934.46331374581
3.0,4.0,115974.69563112782
3.0,5.0,267883.85457600135
4.0,0.1,-618360.9327373578
4.0,0.5,-557597.2691594084
4.0,0.75,-519619.97942318994
4.0,1.0,-481642.6896869715
4.0,1.25,-443665.39995075314
4.0,1.5,-405688.1102145347
4.0,2.0,-329733.5307420979
4.0,3.0,-177824.37179722433
4.0,4.0,-25915.21285235071
4.0,5.0,125993.94609252282
5.0,0.1,-760250.8412208365
5.0,0.5,-699487.1776428871
5.0,0.75,-661509.8879066687
5.0,1.0,-623532.5981704502
5.0,1.25,-585555.3084342318
5.0,1.5,-547578.0186980135
5.0,2.0,-471623.4392255766
5.0,3.0,-319714.28028070315
5.0,4.0,-167805.12133582946
5.0,5.0,-15895.962390955923
