,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-11754004.159510491,-6558295.385405146,0.23843008187173095
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-944577.6033356531,-527039.0288317932,0.23843008187173095
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-4151181.2039552466,-2316204.0921903225,0.23843008187173095
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-393454.39090641553,-219532.8571634946,0.23843008187173095
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-834808.8810769033,-465792.180959199,0.23843008187173095
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-2102802.3660483463,-1173285.194264235,0.23843008187173095
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-1131131.8200310266,-631129.3151612557,0.23843008187173095
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-9412141.471195398,-5251623.458664142,0.23843008187173095
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-1324248.049059306,-738853.1891693576,0.23843008187173095
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-3778526.7179793566,-2108276.805236905,0.23843008187173095
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-2317879.224875865,-1293290.0497682758,0.23843008187173095
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-1176898.057680574,-656665.1666984122,0.23843008187173095
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-2812515.8408039603,-1569278.8099959001,0.23843008187173095
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-3693546.877924649,-2060861.2279306543,0.23843008187173095
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-2376028.8420953946,-1325735.3646668028,0.23843008187173095
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-2113169.1287617316,-1179069.4607271468,0.23843008187173095
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1995335.2997799679,-1113322.5844823876,0.23843008187173095
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-765563.2627749919,-427155.7118201696,0.23843008187173095
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-808106.8340822628,-450893.4358839621,0.23843008187173095
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-537892.789407137,-300124.0896922093,0.23843008187173095
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-370158.02369019703,-206534.3542246295,0.23843008187173095
