,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-8209346.83870138,-3013638.0645960346,0.16652667570151022
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-659721.15175554,-242182.57725168014,0.16652667570151022
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-2899308.6807777537,-1064331.5690128293,0.16652667570151022
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-274800.2737047931,-100878.73996187214,0.16652667570151022
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-583055.4044209156,-214038.7043032113,0.16652667570151022
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1468659.8474754747,-539142.6756913633,0.16652667570151022
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-790016.177032982,-290013.672163211,0.16652667570151022
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-6573720.1368479,-2413202.1243166435,0.16652667570151022
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-924894.3073076325,-339499.44741768413,0.16652667570151022
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2639035.6806275253,-968785.7678850733,0.16652667570151022
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1618875.936148958,-594286.7610413688,0.16652667570151022
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-821980.6814919643,-301747.7905098024,0.16652667570151022
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-1964344.8915933608,-721107.8607853006,0.16652667570151022
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2579683.227468659,-946997.5774746644,0.16652667570151022
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1659489.361992149,-609195.8845635571,0.16652667570151022
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1475900.3035408093,-541800.6355062246,0.16652667570151022
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1393601.6452864802,-511588.9299889001,0.16652667570151022
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-534692.2007001849,-196284.64974536258,0.16652667570151022
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-564405.8989326141,-207192.5007343134,0.16652667570151022
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-375680.35627304437,-137911.65655811672,0.16652667570151022
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-258529.39648165158,-94905.72701608404,0.16652667570151022
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-552280.8063216341,-202741.39867380133,0.16652667570151022
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-118153.78720910303,-43374.06587950418,0.18089699797016845
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-181242.53340496987,-66533.8434743778,0.16652667570151022
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-7395367.643828581,-2714827.6069974443,0.16652667570151022
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1196961.6467226401,-439402.7017374161,0.16652667570151022
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-40716.71783678466,-14945.819319063383,0.18090421601350024
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-86479.00840610213,-31743.708805567934,0.18090421601350024
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-1228143.0936299395,-450849.36091205536,0.16652667570151022
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-594496.188718355,-939318.5068028404,-344822.31808448536,0.16652667570151022
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-129979.58776117284,-205370.9251759648,-75391.33741479197,0.16652667570151022
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-159691.50610101473,-58622.49589820186,0.16652667570151022
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-77544.98685809471,-122522.97432322032,-44977.98746512561,0.18089699797016845
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-3387205.332789065,-1243437.6478495286,0.16652667570151022
34,w98916102,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-438439.1417877663,-692744.5588437765,-254305.41705601016,0.16652667570151022
35,w98916109,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-69427.1486342374,-109691.3877181613,-40264.23908392391,0.18090421601350024
36,w98916113,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-267687.31918562605,-422952.50620457716,-155265.1870189511,0.16652667570151022
37,w98916116,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-1639272.4308349062,-2590090.5021687057,-950818.0713337995,0.16652667570151022
38,w98916121,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-124259.95679234069,-196333.76846569372,-72073.81167335303,0.16652667570151022
39,w98916126,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-299427.15913235256,-473102.228996231,-173675.06986387842,0.16652667570151022
40,w99055014,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-228573.52136756424,-361134.6173313909,-132561.09596382666,0.16652667570151022
41,w99055018,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-123360.54067509662,-194903.42268847037,-71542.88201337375,0.16652667570151022
42,w99055022,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-14562.107420004644,-23007.39411633462,-8445.286696329977,0.18090421601350024
43,w99055023,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-42476.63689203258,-67110.94057505042,-24634.303683017846,0.18090421601350024
44,w99055025,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-550994.7543324071,-870585.1773608429,-319590.4230284358,0.16652667570151022
