,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,27974.42320393324,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-6927611.698807126,-8708205.874061478,-1780594.1752543524,0.17664603579609733
1,w24853840,937.1926232803613,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-556718.0993384798,-699810.5600650912,-143092.46072661143,0.17664603579609733
2,w24853841,8998.296452549099,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-2446636.1490198984,-3075491.5562393474,-628855.407219449,0.17664603579609733
3,w25538793,404.8852469230536,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-231895.3783238946,-291499.11737050297,-59603.73904660836,0.17664603579609733
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-492022.26682360575,-618486.0497969515,-126463.78297334572,0.17664603579609733
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-1239356.229045482,-1557906.1966892479,-318549.96764376597,0.17664603579609733
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-666670.0064930279,-838023.2494270498,-171353.24293402187,0.17664603579609733
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-5547357.350041676,-6973186.71447321,-1425829.364431534,0.17664603579609733
8,w30213059,1747.46707642246,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-780526.4798532645,-981097.546252099,-200571.06639883446,0.17664603579609733
9,w50930444,8762.936898044496,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-2226999.8836566024,-2799402.4941859823,-572402.6105293799,0.17664603579609733
10,w50930445,4934.112452852726,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1366118.9001434525,-1717250.4967251676,-351131.59658171516,0.17664603579609733
11,w50930458,1974.6456010334193,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-693643.8546428825,-871930.1473764614,-178286.29273357894,0.17664603579609733
12,w50930471,4724.4749339554455,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1657649.3744107469,-2083712.633874039,-426063.2594632921,0.17664603579609733
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-2176914.1999919927,-2736443.3585332655,-559529.1585412729,0.17664603579609733
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1400391.3032381225,-1760331.8868092278,-359940.58357110526,0.17664603579609733
15,w50930479,4489.048651921749,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-1245466.224046113,-1565586.63500887,-320120.41096275696,0.17664603579609733
16,w50930480,4441.97852948606,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-1176016.9537301066,-1478286.9175868807,-302269.96385677415,0.17664603579609733
17,w50930481,1370.623297881335,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-451210.06793976313,-567183.9495197607,-115973.88157999754,0.17664603579609733
18,w50930482,1573.369959426485,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-476284.5309310677,-598703.2660466114,-122418.73511554365,0.17664603579609733
19,w50930483,704.9254127380437,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-317024.9329532368,-398509.4002659957,-81484.4673127589,0.17664603579609733
20,w50930486,509.32494937628496,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-218164.89262075673,-274239.5044689353,-56074.61184817858,0.17664603579609733
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-466052.5435304437,-585841.3654870318,-119788.82195658807,0.17664603579609733
22,w98916062,151.14776481509907,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-99706.29510613182,-125333.66223075573,-25627.36712462391,0.1918896023368773
23,w98916065,222.67857759937178,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-152944.91990745612,-192256.13499314766,-39311.21508569154,0.17664603579609733
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-6240720.049108181,-7844763.441255652,-1604043.3921474712,0.17664603579609733
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-1010078.5933136322,-1269697.6565635337,-259619.06324990152,0.17664603579609733
26,w98916075,67.06430839556852,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-34361.19802362836,-43190.95884306438,-8829.760819436015,0.19189725900050425
27,w98916076,98.82164086105185,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-72980.39946737894,-91734.09575470664,-18753.696287327693,0.19189725900050425
