,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-9680158.031763181,-4484449.257657835,0.19636209420404957
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-777918.7712941933,-360380.19679033343,0.19636209420404957
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-3418757.516795472,-1583780.4050305474,0.19636209420404957
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-324034.3146538282,-150112.78091090728,0.19636209420404957
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-687517.3588062067,-318500.6586885024,0.19636209420404957
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1731789.3491166884,-802272.177332577,0.19636209420404957
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-931557.843953686,-431555.33908391494,0.19636209420404957
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-7751487.546034515,-3590969.533503258,0.19636209420404957
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-1090601.144442851,-505206.28455290257,0.19636209420404957
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-3111853.2255822276,-1441603.3128397756,0.19636209420404957
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1908918.6026180168,-884329.4275104275,0.19636209420404957
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-969249.2048682033,-449016.3138860414,0.19636209420404957
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-2316282.8119122833,-1073045.781104223,0.19636209420404957
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-3041867.0089636194,-1409181.3589696246,0.19636209420404957
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1956808.4516033202,-906514.9741747284,0.19636209420404957
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1740327.0269991793,-806227.3589645945,0.19636209420404957
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1643283.494382399,-761270.7790848188,0.19636209420404957
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-630489.2585032737,-292081.7075484514,0.19636209420404957
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-665526.5519992734,-308313.1538009726,0.19636209420404957
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-442988.3752758383,-205219.67556091066,0.19636209420404957
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-304848.298283695,-141224.62881812747,0.19636209420404957
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-651229.0914423969,-301689.6837945641,0.19636209420404957
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-139322.5739767092,-64542.85264711034,0.21330704649576956
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-213714.48909506176,-99005.79916446969,0.19636209420404957
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-8720343.883847062,-4039803.8470159248,0.19636209420404957
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1411412.884105593,-653853.9391203689,0.19636209420404957
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-48011.647082161166,-22240.74856443989,0.21331555774538596
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-101972.84683536032,-47237.547234826125,0.21331555774538596
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-1448180.8925296885,-670887.1598118044,0.19636209420404957
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-594496.188718355,-1107609.6267665648,-513113.43804820976,0.19636209420404957
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-129979.58776117284,-242165.79587801071,-112186.20811683788,0.19636209420404957
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-101069.01020281287,-188302.31512457697,-87233.3049217641,0.19636209420404957
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-77544.98685809471,-144474.55775398237,-66929.57089588766,0.21330704649576956
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2143767.6849395363,-3994067.195803354,-1850299.5108638178,0.19636209420404957
34,w98916102,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-438439.1417877663,-816858.7510078468,-378419.6092200805,0.19636209420404957
35,w98916109,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-69427.1486342374,-129344.02562082239,-59916.87698658499,0.21331555774538596
36,w98916113,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-267687.31918562605,-498729.94532148005,-231042.626135854,0.19636209420404957
37,w98916116,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-1639272.4308349062,-3054138.88220224,-1414866.451367334,0.19636209420404957
38,w98916121,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-124259.95679234069,-231509.51507613005,-107249.55828378936,0.19636209420404957
39,w98916126,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-299427.15913235256,-557864.642808463,-258437.4836761104,0.19636209420404957
40,w99055014,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-228573.52136756424,-425836.57813405123,-197263.056766487,0.19636209420404957
41,w99055018,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-123360.54067509662,-229822.90426096597,-106462.36358586935,0.19636209420404957
42,w99055022,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-14562.107420004644,-27129.467827480472,-12567.360407475828,0.21331555774538596
43,w99055023,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-42476.63689203258,-79134.7379019403,-36658.101009907725,0.21331555774538596
44,w99055025,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-550994.7543324071,-1026561.8279439942,-475567.07361158705,0.19636209420404957
45,w99055028,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-78526.84674000934,-146296.9267277863,-67770.07998777698,0.21331555774538596
46,w99055030,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-179434.74944746352,-334306.02186520095,-154871.27241773743,0.19636209420404957
47,w99055036,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-506767.1058461794,-944161.0150166614,-437393.90917048196,0.19636209420404957
48,w99055038,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-133060.0618054206,-247905.04664388878,-114844.98483846817,0.19636209420404957
49,w99055039,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-482320.79842720146,-898614.9443269086,-416294.1458997071,0.19636209420404957
