,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
0,w24853838,27974.42320393324,trade,3363349.9875081507,3737055.541675723,4204187.484385188,nr2,-5187980.583993886,-6095781.978374758,-907801.3943808721,0.11573569236600313,-32.451121074526185
1,w24853840,937.1926232803613,trade,272349.6863526429,302610.7626140477,340437.1079408036,nr2,-420100.46236703516,-493610.3337596635,-73509.87139262835,0.11573569236600313,-78.43624625995147
2,w24853841,8998.296452549099,trade,1188350.4419802595,1320389.379978066,1485438.0524753244,nr2,-1833035.2306099986,-2153782.7568114153,-320747.52620141674,0.11573569236600313,-35.64536108504774
3,w25538793,404.8852469230536,trade,112230.46580400888,124700.51756000987,140288.0822550111,nr2,-173115.9349120151,-203408.0465647716,-30292.11165275649,0.11573569236600313,-74.81653600115825
4,w27689586,5481.69515059907,office,818145.3088975507,909050.3432195007,1022681.6361219384,nr2,-1261992.3567903403,-1482817.8596318183,-220825.50284147798,0.11573569236600313,-40.2841633426742
5,w28994179,8336.082743907347,other,2201757.672994403,2446397.414438226,2752197.091243004,nr2,-3396219.870242344,-3990496.021418021,-594276.1511756768,0.11573569236600313,-71.2896176096644
6,w28994181,1422.5013561584055,trade,420750.2233605851,467500.24817842786,525937.7792007313,nr2,-649008.874370234,-762573.5170245625,-113564.64265432849,0.11573569236600313,-79.83447057022157
7,w29249266,23411.247439788887,trade,2692049.9258480393,2991166.584275599,3365062.407310049,nr2,-4152497.5986186927,-4879108.473343146,-726610.8747244533,0.11573569236600313,-31.03682862663407
8,w30213059,1747.46707642246,ab,433572.30468412075,481747.0052045786,541965.3808551509,r2,-715636.0227866818,-840819.3047421088,-125183.28195542702,0.11573569236600313,-71.63699027263577
9,w50930444,8762.936898044496,other,1098863.243386893,1220959.15931877,1373579.0542336162,nr2,-1695000.8748210697,-1991594.9219126648,-296594.04709159513,0.11573569236600313,-33.84642050290034
10,w50930445,4934.112452852726,other,688308.3291655973,764787.0324062193,860385.4114569966,nr2,-1061718.304896968,-1247499.5240092364,-185781.21911226842,0.11573569236600313,-37.652408794383355
11,w50930458,1974.6456010334193,other,322603.8818012126,358448.7575569029,403254.8522515157,nr2,-497617.75649929856,-584691.7317975987,-87073.9752983001,0.11573569236600313,-44.096001456023515
12,w50930471,7086.712400933168,other,741559.2688132944,823954.7431258826,926949.086016618,nr2,-1143858.0887427644,-1344012.2626304252,-200154.17388766073,0.11573569236600313,-28.2435863858825
13,w50930472,6477.305229391343,other,1142425.6414889656,1269361.8238766284,1428032.051861207,nr2,-1762196.0452271104,-2070548.01399992,-308351.9687728097,0.11573569236600313,-47.604977355959
14,w50930478,6019.835157379508,trade,845863.988064798,939848.8756275532,1057329.9850809975,nr2,-1304748.5284250907,-1533055.5766578845,-228307.0482327938,0.11573569236600313,-37.925797345616694
15,w50930479,4489.048651921749,other,601355.6698929445,668172.9665477161,751694.5873661806,nr2,-927593.4859787384,-1089905.3231872458,-162311.83720850735,0.11573569236600313,-36.15729072996839
16,w50930480,4441.97852948606,other,567543.7161703141,630604.1290781267,709429.6452128926,nr2,-875438.4143770856,-1028624.0711850553,-153185.65680796967,0.11573569236600313,-34.485906627219414
17,w50930481,1370.623297881335,other,209694.20956148568,232993.56617942854,262117.7619518571,nr2,-323454.14298882755,-380052.68210623483,-56598.53911740729,0.11573569236600313,-41.29401506956395
18,w50930482,786.6849797132425,other,244449.91309214005,271611.0145468223,305562.391365175,nr2,-377064.9523811837,-443044.3992973633,-65979.44691617962,0.11573569236600313,-83.87022584342469
19,w50930483,1057.3881191070657,other,141593.14798462993,157325.71998292214,176991.4349807874,nr2,-218407.98766085977,-256625.37736238653,-38217.38970152676,0.11573569236600313,-36.143199465679885
20,w50930486,509.32494937628496,trade,79565.05589646377,88405.61766273752,99456.31987057971,nr2,-122729.41165455856,-144204.80641129494,-21475.39475673638,0.11573569236600313,-42.16442721495377
21,w98916060,5426.03009034004,other,674562.9876004758,749514.4306671954,843203.7345005947,nr2,-1040516.0614714932,-1222587.277079695,-182071.2156082017,0.11573569236600313,-33.55514300083647
22,w98916062,151.14776481509907,trade,44636.284751773725,49595.871946415245,55795.355939717156,nr1,-74793.15728116504,-87880.58723020309,-13087.42994903805,0.12572303637728258,-86.58698965908007
23,w98916065,222.67857759937178,other,73750.5768182926,81945.08535365843,92188.22102286573,nr2,-113760.55480777535,-133666.56420932515,-19906.009401549803,0.11573569236600313,-89.39346396115099
24,w98916067,36008.87229184061,trade,3131751.8703745524,3479724.300416169,3914689.83796819,nr2,-4830739.577425657,-5676030.351606212,-845290.7741805548,0.11573569236600313,-23.474513928948905
25,w98916074,4745.314506876469,trade,489677.5280019927,544086.1422244363,612096.9100024909,nr2,-755329.512874938,-887498.316112252,-132168.803237314,0.11573569236600313,-27.852485445545756
26,w98916075,67.06430839556852,sfh,28006.37749434393,31118.1972159377,35007.97186792991,r1,-50217.197780739174,-59001.48676093711,-8784.288980197933,0.12572805290234687,-130.983069688651
27,w98916076,98.82164086105185,sfh,45724.46230850625,50804.9581205625,57155.57788563281,r1,-81986.83916289908,-96328.46154741506,-14341.622384515984,0.12572805290234687,-145.1263332561035
28,w98916079,3334.9361924076916,trade,505098.5125556637,561220.569506293,631373.1406945796,nr2,-779116.4422006573,-915447.5215414227,-136331.07934076537,0.11573569236600313,-40.87966649890826
29,w98916080,1488.1518905248724,other,425989.1748285403,473321.30536504474,532486.4685356753,nr2,-657089.9776146738,-772068.66503549,-114978.68742081616,0.11573569236600313,-77.26273652097642
30,w98916086,294.4025758753764,other,84011.4414641592,93346.046071288,105014.301830199,nr2,-129587.97888063698,-152263.49703615744,-22675.51815552046,0.11573569236600313,-77.02214591056853
