,trade,office,other,ab,sfh,mfh,education,th,health
0.0,-51.133961566918735,-9.892144627867166,-59.19585879689328,-69.66230600599692,-87.78723835050529,-53.74649004217591,-39.8649653061923,-76.52531781096211,-51.6759146761167
0.05263157894736842,-55.19213488816884,-10.67722045983107,-63.893852997551015,-75.19274019615345,-94.75659627545343,-58.013380462148085,-43.028790945761266,-82.6006009633445,-55.77709932646633
0.10526315789473684,-59.250308209419025,-11.462296291794974,-68.59184719820891,-80.72317438631019,-101.7259542004017,-62.28027088212038,-46.192616585330285,-88.67588411572706,-59.878283976815915
0.15789473684210525,-63.30848153066913,-12.247372123758858,-73.28984139886664,-86.25360857646676,-108.69531212534991,-66.54716130209258,-49.35644222489923,-94.75116726810953,-63.97946862716555
0.21052631578947367,-67.36665485191921,-13.032447955722741,-77.98783559952436,-91.78404276662336,-115.66467005029806,-70.81405172206476,-52.520267864468174,-100.82645042049191,-68.08065327751518
0.2631578947368421,-71.4248281731694,-13.817523787686657,-82.68582980018219,-97.3144769567801,-122.63402797524648,-75.08094214203709,-55.68409350403717,-106.90173357287456,-72.18183792786488
0.3157894736842105,-75.48300149441953,-14.60259961965053,-87.38382400084001,-102.84491114693655,-129.60338590019447,-79.3478325620092,-58.84791914360614,-112.97701672525685,-76.28302257821446
0.3684210526315789,-79.5411748156697,-15.387675451614435,-92.08181820149782,-108.37534533709331,-136.57274382514288,-83.61472298198152,-62.01174478317513,-119.05229987763947,-80.38420722856414
0.42105263157894735,-83.5993481369198,-16.172751283578318,-96.77981240215556,-113.90577952724993,-143.54210175009112,-87.88161340195376,-65.17557042274409,-125.12758303002198,-84.48539187891373
0.47368421052631576,-87.65752145816991,-16.957827115542212,-101.47780660281335,-119.4362137174064,-150.51145967503908,-92.14850382192586,-68.33939606231306,-131.20286618240428,-88.58657652926341
0.5263157894736842,-91.71569477942008,-17.742902947506117,-106.17580080347116,-124.96664790756313,-157.4808175999875,-96.41539424189818,-71.50322170188205,-137.2781493347869,-92.6877611796129
0.5789473684210527,-95.77386810067017,-18.52797877947001,-110.87379500412892,-130.49708209771975,-164.45017552493573,-100.6822846618704,-74.667047341451,-143.3534324871694,-96.78894582996254
0.631578947368421,-99.83204142192037,-19.313054611433905,-115.57178920478674,-136.0275162878765,-171.41953344988403,-104.9491750818427,-77.83087298102002,-149.42871563955194,-100.89013048031237
0.6842105263157894,-103.89021474317046,-20.0981304433978,-120.26978340544453,-141.55795047803298,-178.3888913748321,-109.21606550181484,-80.99469862058896,-155.50399879193432,-104.9913151306619
0.7368421052631579,-107.94838806442066,-20.883206275361694,-124.96777760610237,-147.0883846681897,-185.3582492997804,-113.48295592178712,-84.15852426015796,-161.57928194431688,-109.09249978101164
0.7894736842105263,-112.00656138567075,-21.668282107325588,-129.6657718067601,-152.61881885834632,-192.32760722472867,-117.74984634175937,-87.32234989972693,-167.6545650966994,-113.19368443136118
0.8421052631578947,-116.06473470692089,-22.45335793928947,-134.3637660074179,-158.14925304850294,-199.29696514967694,-122.01673676173158,-90.48617553929586,-173.72984824908187,-117.29486908171071
0.894736842105263,-120.12290802817107,-23.238433771253366,-139.06176020807573,-163.6796872386595,-206.26632307462506,-126.28362718170379,-93.65000117886488,-179.8051314014643,-121.39605373206035
0.9473684210526315,-124.18108134942116,-24.02350960321726,-143.75975440873344,-169.21012142881614,-213.2356809995733,-130.55051760167603,-96.81382681843382,-185.88041455384678,-125.49723838240999
1.0,-128.23925467067124,-24.808585435181143,-148.4577486093912,-174.74055561897273,-220.20503892452146,-134.81740802164822,-99.97765245800275,-191.95569770622922,-129.5984230327597
