,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.01,npv_DH_25years_ir_0.01,savings_npv_25years_ir_0.01,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-8118799.018330455,-12103259.507030388,-3984460.4886999335,0.1571196716242628
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-652444.5299343682,-972644.5305406752,-320200.00060630694,0.1571196716242628
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-2867329.756414453,-4274528.296089154,-1407198.5396747007,0.1571196716242628
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-271769.2693739736,-405145.3898344755,-133376.12046050193,0.1571196716242628
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-576624.3938834007,-859614.1697186723,-282989.7758352716,0.1571196716242628
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-1452460.7575030213,-2165284.47522181,-712823.7177187887,0.1571196716242628
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-781302.4213233469,-1164741.9695200503,-383439.5481967034,0.1571196716242628
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-6501213.024916179,-9691811.334828125,-3190598.3099119468,0.1571196716242628
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-914736.2603341026,-1363596.4027182194,-448860.1423841169,0.1571196716242628
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-2609927.527024439,-3890800.854017782,-1280873.326993343,0.1571196716242628
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1601019.986053369,-2386752.0705212504,-785732.0844678814,0.1571196716242628
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-812914.3622635909,-1211868.0929598405,-398953.73069624964,0.1571196716242628
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1942678.47258521,-2896086.1870497894,-953407.7144645792,0.1571196716242628
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-2551229.722203961,-3803295.9456401686,-1252066.2234362075,0.1571196716242628
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1641185.4521184985,-2446629.52997178,-805444.0778532813,0.1571196716242628
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-1459621.3524627052,-2175959.2731600413,-716337.9206973361,0.1571196716242628
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-1378230.435624447,-2054624.1611829572,-676393.7255585103,0.1571196716242628
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-528794.6287868519,-788311.0055663371,-259516.37677948526,0.1571196716242628
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-558180.5895435755,-832118.7052148965,-273938.11567132093,0.1571196716242628
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-371536.6603024551,-553875.5924199157,-182338.93211746064,0.1571196716242628
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-255677.8573990456,-381156.8005705501,-125478.94317150448,0.1571196716242628
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-546189.2348205532,-814242.3570350839,-268053.1222145307,0.1571196716242628
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-116850.56929048395,-174197.2871201576,-57346.71782967364,0.1706782219674733
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-179243.45641616997,-267210.71220557415,-87967.25578940418,0.1571196716242628
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-7313797.887531589,-10903188.219699131,-3589390.3321675425,0.1571196716242628
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-1183759.3456982295,-1764712.5544689782,-580953.2087707487,0.1571196716242628
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-40269.52908329559,-60029.74559801806,-19760.216514722473,0.17068503226734433
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-85529.21574041831,-127498.31396029655,-41969.098219878244,0.17068503226734433
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-1214596.8660899433,-1810684.1952266293,-596087.3291366859,0.1571196716242628
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-928957.9695888316,-1384862.3856401073,-455904.4160512757,0.1571196716242628
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-203105.71577409407,-302783.84522450314,-99678.12945040906,0.1571196716242628
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-157930.13359558838,-235437.45652179705,-77507.32292620867,0.1571196716242628
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-121171.56494945273,-180638.8964851847,-59467.331535731966,0.1706782219674733
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-3349844.984145135,-4993847.373225175,-1644002.3890800397,0.1571196716242628
34,w98916102,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-685103.6939723581,-1021331.8224347106,-336228.12846235244,0.1571196716242628
35,w98916109,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-108486.65517712494,-161720.94532300287,-53234.29014587794,0.17068503226734433
36,w98916113,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-418287.40576361405,-623570.1868033947,-205282.78103978065,0.1571196716242628
37,w98916116,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-2561522.2062807577,-3818639.668950991,-1257117.462670233,0.1571196716242628
38,w98916121,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-194168.23749848333,-289460.12349374796,-95291.88599526463,0.1571196716242628
39,w98916126,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-467883.98490325606,-697507.2637814995,-229623.2788782434,0.1571196716242628
40,w99055014,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-357168.30206959747,-532430.4206429854,-175262.1185733879,0.1571196716242628
41,w99055018,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-192762.81255893616,-287351.32647655945,-94588.51391762329,0.1571196716242628
42,w99055022,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-22754.705578492303,-33920.416208723844,-11165.71063023154,0.17068503226734433
43,w99055023,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-66373.8659910543,-98943.45378507854,-32569.587794024235,0.17068503226734433
44,w99055025,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-860982.7580933766,-1283527.0005767199,-422544.24248334323,0.1571196716242628
45,w99055028,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-122705.81626953352,-182917.4341428485,-60211.617873314986,0.17068503226734433
46,w99055030,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-280384.20377387,-417988.27293117176,-137604.06915730174,0.1571196716242628
47,w99055036,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-791872.7666129784,-1180499.9199053815,-388627.1532924031,0.1571196716242628
48,w99055038,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-207919.25531870374,-309959.7240859242,-102040.46876722047,0.1571196716242628
49,w99055039,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-753673.0396259364,-1123552.9246936492,-369879.88506771275,0.1571196716242628
50,w99055040,trade,35391.70019666166,39324.111329624066,44239.62524582707,nr1,-92666.3898462952,-138144.2453935749,-45477.8555472797,0.1706782219674733
51,w99055041,ab,64982.981209910264,72203.31245545585,81228.72651238783,r2,-167601.26110917225,-249843.02760232895,-82241.7664931567,0.1571196716242628
52,w99055043,sfh,86320.99151306404,95912.21279229339,107901.23939133005,r2,-222635.32340952853,-331882.2476856421,-109246.92427611357,0.1571196716242628
53,w99055048,sfh,24285.63485393199,26984.0387265911,30357.04356741499,r1,-68044.3370821881,-101433.62332299851,-33389.28624081041,0.17068503226734433
54,w99055050,trade,65308.77244341692,72565.3027149077,81635.96555427114,nr2,-157414.52057508563,-234668.79625834446,-77254.27568325883,0.1571196716242628
55,w99055053,ab,49059.40863841541,54510.454042683785,61324.260798019255,r1,-137456.35881141777,-204906.05274304366,-67449.6939316259,0.17068503226734433
56,w99055057,ab,87681.8017174346,97424.2241304829,109602.25214679325,r2,-226145.06553179293,-337114.2166584695,-110969.15112667659,0.1571196716242628
57,w99055067,sfh,33001.382887256914,36668.203208063234,41251.72860907114,r1,-92464.42330476257,-137836.62074545663,-45372.19744069406,0.17068503226734433
58,w99055068,ab,132493.30677667502,147214.7853074167,165616.63347084375,r2,-341720.93817248,-509403.05116503855,-167682.11299255857,0.1571196716242628
59,w99055094,other,66091.27134448045,73434.74593831161,82614.08918060057,nr2,-159300.58709805028,-237480.48706672929,-78179.899968679,0.1571196716242628
60,w99055100,sfh,15744.323611141372,17493.69290126819,19680.404513926715,r1,-44112.99393122946,-65759.19469485646,-21646.200763627,0.17068503226734433
61,w99055110,sfh,52473.960066172556,58304.40007352506,65592.45008271569,r2,-135338.54124165088,-201749.02426940168,-66410.4830277508,0.1571196716242628
62,w99055113,education,153671.86244078857,170746.51382309842,192089.8280509857,nr2,-370397.1403375474,-552176.8305934952,-181779.69025594776,0.1571196716242628
63,w99055118,other,24020.58101149931,26689.534457221456,30025.726264374138,nr1,-62893.29170334887,-93759.4130632302,-30866.121359881326,0.1706782219674733
64,w99055131,th,174492.9614592318,193881.0682880353,218116.20182403974,r2,-450044.609384301,-670881.0364585484,-220836.4270742474,0.1571196716242628
65,w99055135,ab,134760.33544465396,149733.70604961552,168450.41930581743,r2,-347567.95929477306,-518119.1995399419,-170551.24024516885,0.1571196716242628
66,w99055142,sfh,30373.370700461764,33748.18966717974,37966.7133755772,r1,-85101.1672824299,-126860.22256410665,-41759.055281676745,0.17068503226734433
67,w99055146,sfh,45007.11390865703,50007.90434295226,56258.89238582129,r1,-126102.49838295915,-187980.86467675213,-61878.36629379298,0.17068503226734433
68,w99055147,sfh,9628.24002989865,10698.044477665168,12035.300037373312,r1,-26976.73806112457,-40214.195689351465,-13237.457628226894,0.17068503226734433
69,w99055152,other,264252.3847284261,293613.76080936234,330315.48091053264,nr2,-636930.704659742,-949516.9900237105,-312586.2853639686,0.1571196716242628
