,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.09052631578947369,npv_DH_25years_ir_0.09052631578947369,savings_npv_25years_ir_0.09052631578947369,operator_selling_price
0,w24853838,27974.42320393324,trade,3363349.9875081507,3737055.541675723,4204187.484385188,nr2,-3600326.536773223,-5694704.763670497,-2094378.2268972737,0.15579931805970954
1,w24853840,937.1926232803613,trade,272349.6863526429,302610.7626140477,340437.1079408036,nr2,-291539.0330174219,-461132.81758275605,-169593.78456533415,0.15579931805970954
2,w24853841,8998.296452549099,trade,1188350.4419802595,1320389.379978066,1485438.0524753244,nr2,-1272079.8154037928,-2012072.7691109856,-739992.9537071928,0.15579931805970954
3,w25538793,404.8852469230536,trade,112230.46580400888,124700.51756000987,140288.0822550111,nr2,-120138.05454958283,-190024.63930807298,-69886.58475849015,0.15579931805970954
4,w27689586,5481.69515059907,office,818145.3088975507,909050.3432195007,1022681.6361219384,nr2,-875790.588996275,-1385254.5840480302,-509463.9950517552,0.15579931805970954
5,w28994179,8336.082743907347,other,2201757.672994403,2446397.414438226,2752197.091243004,nr2,-2356890.185995429,-3727937.9057838554,-1371047.7197884265,0.15579931805970954
6,w28994181,1422.5013561584055,trade,420750.2233605851,467500.24817842786,525937.7792007313,nr2,-450395.64723999874,-712399.3370259218,-262003.68978592305,0.15579931805970954
7,w29249266,23411.247439788887,trade,2692049.9258480393,2991166.584275599,3365062.407310049,nr2,-2881727.688865919,-4558083.337655768,-1676355.6487898487,0.15579931805970954
8,w30213059,1747.46707642246,ab,433572.30468412075,481747.0052045786,541965.3808551509,r2,-496633.193165546,-785496.875886894,-288863.68272134796,0.15579931805970954
9,w50930444,8762.936898044496,other,1098863.243386893,1220959.15931877,1373579.0542336162,nr2,-1176287.484247708,-1860556.2222128352,-684268.7379651272,0.15579931805970954
10,w50930445,4934.112452852726,other,688308.3291655973,764787.0324062193,860385.4114569966,nr2,-736805.492197066,-1165419.220578188,-428613.7283811221,0.15579931805970954
11,w50930458,1974.6456010334193,other,322603.8818012126,358448.7575569029,403254.8522515157,nr2,-345334.0630112295,-546221.436750643,-200887.37373941345,0.15579931805970954
12,w50930471,7086.712400933168,other,741559.2688132944,823954.7431258826,926949.086016618,nr2,-793808.4124503208,-1255581.8206073157,-461773.40815699496,0.15579931805970954
13,w50930472,6477.305229391343,other,1142425.6414889656,1269361.8238766284,1428032.051861207,nr2,-1222919.2229828646,-1934314.5277445703,-711395.3047617057,0.15579931805970954
14,w50930478,6019.835157379508,trade,845863.988064798,939848.8756275532,1057329.9850809975,nr2,-905462.2843419265,-1432186.8673021214,-526724.5829601949,0.15579931805970954
15,w50930479,4489.048651921749,other,601355.6698929445,668172.9665477161,751694.5873661806,nr2,-643726.2801658876,-1018194.065654404,-374467.78548851644,0.15579931805970954
16,w50930480,4441.97852948606,other,567543.7161703141,630604.1290781267,709429.6452128926,nr2,-607531.9873626205,-960944.8663000646,-353412.87893744407,0.15579931805970954
17,w50930481,1370.623297881335,other,209694.20956148568,232993.56617942854,262117.7619518571,nr2,-224468.94616853268,-355046.78922476183,-130577.84305622915,0.15579931805970954
18,w50930482,786.6849797132425,other,244449.91309214005,271611.0145468223,305562.391365175,nr2,-261673.48396281258,-413893.91224075673,-152220.42827794416,0.15579931805970954
19,w50930483,1057.3881191070657,other,141593.14798462993,157325.71998292214,176991.4349807874,nr2,-151569.58687252452,-239740.49008458102,-88170.9032120565,0.15579931805970954
20,w50930486,509.32494937628496,trade,79565.05589646377,88405.61766273752,99456.31987057971,nr2,-85171.08930317323,-134716.72722677168,-49545.63792359845,0.15579931805970954
