,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.1,npv_DH_25years_ir_0.1,savings_npv_25years_ir_0.1,operator_selling_price,savings/NFA [€/m2]
0,w24853838,27974.42320393324,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-3346235.4165378115,-5525374.600715505,-2179139.1841776934,0.16264528056833066,-77.89755550245997
1,w24853840,937.1926232803613,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-268910.8313265904,-444031.244761181,-175120.41343459062,0.16264528056833066,-186.8563719821377
2,w24853841,8998.296452549099,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1181795.529134781,-1951405.7402083785,-769610.2110735974,0.16264528056833066,-85.52843475784542
3,w25538793,404.8852469230536,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-112012.1279332771,-184956.7916219655,-72944.66368868841,0.16264528056833066,-180.1613277911091
4,w27689586,5481.69515059907,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-237660.88611084624,-392430.6751433165,-154769.78903247026,0.16264528056833066,-28.233928516720994
5,w28994179,16672.165487814695,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-598644.6538354404,-988494.6972974252,-389850.04346198484,0.16264528056833066,-23.38328777667888
6,w28994181,2845.002712316811,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-322020.7603804632,-531727.4814305343,-209706.72105007106,0.16264528056833066,-73.71055224031672
7,w29249266,23411.247439788887,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-2679532.9241818134,-4424501.362899803,-1744968.4387179893,0.16264528056833066,-74.53547459211019
8,w30213059,1747.46707642246,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-377016.7070536465,-622508.4180695128,-245491.7110158663,0.16264528056833066,-140.48431259629484
9,w50930444,8762.936898044496,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1075704.904852056,-1776226.6604912903,-700521.7556392343,0.16264528056833066,-79.94143559285017
10,w50930445,4934.112452852726,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-659874.6646912746,-1089598.984554776,-429724.31986350135,0.16264528056833066,-87.09252656271549
11,w50930458,1974.6456010334193,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-335049.9037452534,-553241.4781628317,-218191.57441757835,0.16264528056833066,-110.49657432371107
12,w50930471,4724.4749339554455,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-800692.2567282622,-1322119.9669488124,-521427.7102205502,0.16264528056833066,-110.36733552610855
13,w50930472,9715.957844087014,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1051512.0811450218,-1736278.9589728059,-684766.877827784,0.16264528056833066,-70.47857646320716
14,w50930478,6019.835157379508,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-676429.2197141827,-1116934.2154825402,-440504.99576835753,0.16264528056833066,-73.17559106720019
15,w50930479,4489.048651921749,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-601595.9569042168,-993367.9512635502,-391771.9943593334,0.16264528056833066,-87.27283322973497
16,w50930480,4441.97852948606,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-568049.9647083575,-937976.1003738183,-369926.13566546084,0.16264528056833066,-83.27958660985728
17,w50930481,1370.623297881335,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-217947.42189410696,-359879.38663057215,-141931.9647364652,0.16264528056833066,-103.55286164758691
18,w50930482,1573.369959426485,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-230059.1076756033,-379878.4580223177,-149819.35034671437,0.16264528056833066,-95.22194665603352
19,w50930483,704.9254127380437,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-153132.14780157406,-252855.03698698565,-99722.8891854116,0.16264528056833066,-141.46587338662093
20,w50930486,509.32494937628496,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-105379.90898919028,-174005.5316123046,-68625.62262311431,0.16264528056833066,-134.73838795282396
21,w98916060,2713.01504517002,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-225116.76389102993,-371717.5555704691,-146600.7916794392,0.16264528056833066,-54.0361145215293
22,w98916062,151.14776481509907,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-48161.004173106136,-79524.4673724608,-31363.463199354665,0.1766806601097602,-207.50199804622966
23,w98916065,222.67857759937178,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-73876.78900392097,-121986.91446731058,-48110.1254633896,0.16264528056833066,-216.0518806166711
24,w98916067,43210.64675020873,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-3014447.0217086854,-4977518.594966273,-1963071.5732575874,0.16264528056833066,-45.4302751959644
25,w98916074,4745.314506876469,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-487896.97075757995,-805625.7837289867,-317728.8129714068,0.16264528056833066,-66.95632344515495
26,w98916075,67.06430839556852,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-16597.44552384958,-27404.75253150081,-10807.30700765123,0.1766877099153118,-161.14841509892253
27,w98916076,98.82164086105185,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-35251.62899255329,-58205.473094340115,-22953.844101786824,0.1766877099153118,-232.2754803683241
28,w98916079,3334.9361924076916,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-500606.929787232,-826612.7365451265,-326005.8067578945,0.16264528056833066,-97.754735907715
29,w98916080,2976.303781049745,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-382878.31134812796,-632216.755053248,-249338.44370512007,0.16264528056833066,-83.77452775239837
30,w98916086,294.4025758753764,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-83711.83199510917,-138226.74519526385,-54514.91320015468,0.16264528056833066,-185.17131868856814
31,w98916091,1116.7099465291947,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-65092.312937287184,-107481.80203580359,-42389.4890985164,0.16264528056833066,-37.95926527767181
32,w98916094,150.05011938810347,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-49941.94106735638,-82465.18799012402,-32523.246922767634,0.1766806601097602,-216.749223895294
33,w98916098,15131.85493721813,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-1380668.483177095,-2279788.96262122,-899120.479444125,0.16264528056833066,-59.41905226917415
34,w98916102,1892.1415951219387,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-282371.59702995326,-466257.94541588175,-183886.3483859285,0.16264528056833066,-97.18424290232781
35,w98916109,81.43322088830173,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-44713.74238428583,-73828.77341201979,-29115.031027733952,0.1766877099153118,-357.5325980003876
36,w98916113,559.2398283889517,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-172400.88445319823,-284671.9819504444,-112271.09749724617,0.16264528056833066,-200.75661960750327
37,w98916116,6987.1012714248145,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-1055754.2202427096,-1743283.6686555804,-687529.4484128708,0.16264528056833066,-98.3998115534211
38,w98916121,458.57296650111675,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-80028.17062193526,-132144.20572766394,-52116.035105728675,0.16264528056833066,-113.64829353847608
39,w98916126,1235.1179318586364,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-192842.5568337419,-318425.70316485484,-125583.14633111295,0.16264528056833066,-101.67704888077552
40,w99055014,379.03616306802724,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-147210.1008229831,-243064.89678752923,-95854.79596454612,0.16264528056833066,-252.89089882260828
41,w99055018,363.825429549627,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-79448.91219992233,-131181.49865936802,-51732.586459445694,0.16264528056833066,-142.1906833820949
42,w99055022,32.828185592684896,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-9378.554824146811,-15485.3331911551,-6106.778367008288,0.1766877099153118,-186.02241509104485
43,w99055023,57.57688737055287,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-27356.5807714099,-45169.62113665176,-17813.04036524186,0.1766877099153118,-309.3783144371949
44,w99055025,2922.078992408514,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-354861.7217467371,-585955.1705224258,-231093.4487756887,0.16264528056833066,-79.08528461279232
45,w99055028,168.94065034445376,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-50574.29643094316,-83505.38497946528,-32931.088548522115,0.1766877099153118,-194.92696684533172
46,w99055030,502.22660109587014,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-115562.84997172111,-190819.81885204546,-75256.96888032435,0.16264528056833066,-149.84664037331333
47,w99055036,2513.4158389533286,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-326377.4224549078,-538921.2938715437,-212543.87141663593,0.16264528056833066,-84.56375110023433
48,w99055038,337.97397138923407,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-85695.77524419213,-141502.67419403282,-55806.89894984069,0.16264528056833066,-165.12188415116034
49,w99055039,2475.299022556655,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-310633.0643229336,-512923.8771634908,-202290.8128405572,0.16264528056833066,-81.72378811494768
50,w99055040,101.95110847079195,trade,35391.70019666166,39324.111329624066,44239.62524582707,nr1,-38193.278947572515,-63065.54893657307,-24872.269989000553,0.1766806601097602,-243.96272254485814
51,w99055041,189.90211718752977,ab,64982.981209910264,72203.31245545585,81228.72651238783,r2,-69078.35438636625,-114058.22688325384,-44979.87249688759,0.16264528056833066,-236.85819391086423
52,w99055043,190.2007592998445,sfh,86320.99151306404,95912.21279229339,107901.23939133005,r2,-91761.13394152152,-151510.7348334917,-59749.600891970185,0.16264528056833066,-314.139654919974
53,w99055048,47.74609960326925,sfh,24285.63485393199,26984.0387265911,30357.04356741499,r1,-28045.08032840521,-46306.43221703109,-18261.351888625883,0.1766877099153118,-382.4679301631478
54,w99055050,194.95880112051967,trade,65308.77244341692,72565.3027149077,81635.96555427114,nr2,-64879.798432797215,-107130.89359714763,-42251.095164350416,0.16264528056833066,-216.71807028722765
55,w99055053,122.33706042193808,ab,49059.40863841541,54510.454042683785,61324.260798019255,r1,-56653.86408071,-93543.61927889234,-36889.755198182334,0.1766877099153118,-301.5419454329727
56,w99055057,303.91877080444243,ab,87681.8017174346,97424.2241304829,109602.25214679325,r2,-93207.70545609151,-153899.2309619438,-60691.52550585229,0.16264528056833066,-199.69653518013357
57,w99055067,194.8848727118224,sfh,33001.382887256914,36668.203208063234,41251.72860907114,r1,-38110.03663639985,-62925.1122702123,-24815.075633812456,0.1766877099153118,-127.33197445502442
58,w99055068,348.37368724122643,ab,132493.30677667502,147214.7853074167,165616.63347084375,r2,-140843.33203760287,-232552.45240336703,-91709.12036576416,0.16264528056833066,-263.24927434103677
59,w99055094,263.70872883694244,other,66091.27134448045,73434.74593831161,82614.08918060057,nr2,-65657.15756964014,-108414.48542368747,-42757.327854047326,0.16264528056833066,-162.13846254776507
60,w99055100,85.6876405166462,sfh,15744.323611141372,17493.69290126819,19680.404513926715,r1,-18181.563835848287,-30020.35806300037,-11838.794227152084,0.1766877099153118,-138.1622151779545
61,w99055110,94.65369866762775,sfh,52473.960066172556,58304.40007352506,65592.45008271569,r2,-55780.98668323784,-92102.37405632526,-36321.387373087426,0.16264528056833066,-383.72919267136473
62,w99055113,801.3236896117684,education,153671.86244078857,170746.51382309842,192089.8280509857,nr2,-152662.48448612346,-252079.5190000403,-99417.03451391685,0.16264528056833066,-124.06601202827686
63,w99055118,54.3237798044458,other,24020.58101149931,26689.534457221456,30025.726264374138,nr1,-25922.03103996381,-42803.00519183644,-16880.97415187263,0.1766806601097602,-310.7474150848964
