,trade,office,other,ab,sfh,mfh,education,th,health
0.01,-101.68188546906931,-19.670917063171565,-117.7132838916007,-138.5358066449456,-174.58043776174165,-106.88439385980702,-79.27304500332558,-152.18411849285923,-102.75958045475818
0.01473684210526316,-105.46280742912721,-20.402357102422677,-122.09031464789665,-143.69038138695626,-181.07614408293972,-110.86129781155503,-82.2207204453285,-157.84651316407164,-106.58057524213257
0.019473684210526317,-109.07735616179444,-21.101611330578343,-126.27474139358199,-148.61806985598105,-187.28593223020653,-114.66315242154434,-85.03868829702228,-163.25966911290098,-110.23343346352301
0.024210526315789474,-112.52190188798485,-21.767977547015267,-130.26236207030504,-153.31393955109792,-193.20358635082457,-118.28615212221786,-87.72411871669486,-168.41816789683085,-113.71448686893254
0.02894736842105263,-115.79379239964136,-22.40094266757403,-134.0501063168259,-157.77438877307372,-198.82456764544605,-121.72751809812905,-90.27494399476664,-173.31805298335047,-117.02105514036764
0.03368421052631579,-118.89158439812364,-23.000227478236173,-137.6363032807423,-161.99746204346656,-204.14641185381484,-124.98574164093009,-92.69003890939948,-177.9571762436108,-120.15167968211038
0.03842105263157895,-121.81517249486643,-23.565811591007147,-141.02083095768702,-165.98302604139474,-209.16895096725148,-128.06071988969293,-94.96932129775345,-182.33539122218366,-123.10625398861463
0.04315789473684211,-124.56582667296763,-24.097940691065524,-144.2051595591953,-169.73282077638098,-213.89437771579134,-130.95379531224341,-97.11378126172153,-186.45460935136802,-125.88606150313771
0.04789473684210527,-127.14615285244852,-24.597118907896878,-147.19230586059388,-173.2504059540892,-218.32717797920918,-133.66771432477117,-99.12545042388973,-190.31874103297042,-128.49373576504496
0.052631578947368425,-129.55999325791564,-25.064089540872803,-149.98671786040083,-176.54102529342367,-222.4739598017643,-136.20652260853524,-101.00732425235692,-193.9335465881554,-130.93315972149793
0.05736842105263158,-131.81228368574403,-25.499807446806646,-152.5941095439269,-179.6114120961693,-226.34320837440944,-138.5754151012011,-102.76325078363782,-197.3064226721378,-133.20932148185696
0.06210526315789474,-133.9088838108651,-25.905406211873157,-155.0212644358434,-182.46955806595196,-229.9449947044262,-140.78055763396165,-104.39779832675211,-200.44614831758093,-135.32814282594356
0.0668421052631579,-135.85639474991862,-26.28216285820223,-157.27582439992406,-185.12446475205002,-233.2906623891964,-142.82889516322737,-105.9161132321442,-203.36261189107523,-137.2962948335995
0.07157894736842106,-137.6619756082805,-26.631462353897447,-159.3660772624582,-187.58589360114016,-236.39251263571697,-144.72795892829657,-107.32377686841306,-206.06653652040748,-139.1210124873535
0.07631578947368421,-139.33316803981054,-26.954763673159754,-161.30075371168704,-189.8641269222307,-239.26350303272474,-146.48568202886696,-108.62666884590496,-208.56921751016634,-140.80991737273192
0.08105263157894736,-140.87773522040374,-27.25356864483968,-163.08884088355722,-191.96974848884653,-241.91697106934927,-148.11023015325674,-109.83084147756875,-210.88228132922833,-142.37085494513988
0.08578947368421053,-142.30351927285807,-27.529394370498085,-164.7394173078676,-193.91344928139915,-244.36638933499202,-149.60985170300708,-110.94240862479299,-213.01747221519616,-143.81175044361942
0.09052631578947369,-143.6183191920305,-27.78374960835973,-166.26151158682623,-195.70586116262803,-246.62515591998238,-150.99274946866032,-111.96745052564,-214.98646946382843,-145.14048552217184
0.09526315789473684,-144.82978974816052,-28.018115215608006,-167.663985359241,-197.35741913787083,-248.706420838342,-152.2669743595622,-112.91193497804046,-216.80073611942555,-146.36479608158888
0.1,-145.94536068448235,-28.233928516720994,-168.95543975864246,-198.8782512686231,-250.62294729874893,-153.44034046897954,-113.78165434478395,-218.47139804286115,-147.49219061066478
