,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.0431578947368421,npv_DH_25years_ir_0.0431578947368421,savings_npv_25years_ir_0.0431578947368421,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5571547.92610318,-7302948.697863865,-1731400.7717606844,0.13814729554874303
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-447741.8346538549,-586881.0053746622,-139139.17072080733,0.13814729554874303
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1967712.8503533357,-2579194.54141868,-611481.6910653443,0.13814729554874303
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-186502.4008773299,-244459.4363541975,-57957.035476867604,0.13814729554874303
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-395710.0599027046,-518679.9620189738,-122969.90211626916,0.13814729554874303
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-996755.1485067232,-1306504.3701360552,-309749.22162933194,0.13814729554874303
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-536170.9133771177,-702790.0909431014,-166619.17756598373,0.13814729554874303
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4461475.13497327,-5847912.368276678,-1386437.2333034081,0.13814729554874303
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-627740.2486117814,-822776.2585655901,-195036.00995380874,0.13814729554874303
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1791069.8697727942,-2347658.4149907576,-556588.5452179634,0.13814729554874303
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1098704.3234849933,-1440135.0244049826,-341430.70091998926,0.13814729554874303
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-557864.6938966323,-731225.3782812003,-173360.684384568,0.13814729554874303
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1333168.3898788278,-1747460.5775685024,-414292.18768967455,0.13814729554874303
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1750788.3414364026,-2294859.096235194,-544070.7547987911,0.13814729554874303
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1126267.9839045808,-1476264.3013383276,-349996.31743374676,0.13814729554874303
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-1001669.1262893013,-1312945.4037813873,-311276.27749208594,0.13814729554874303
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-945814.388058931,-1239733.3820525706,-293918.9939936396,0.13814729554874303
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-362886.7534102034,-475656.564107246,-112769.81069704262,0.13814729554874303
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-383052.94896954886,-502089.5578738445,-119036.60890429566,0.13814729554874303
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-254968.04447379042,-334201.2979306967,-79233.25345690627,0.13814729554874303
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-175459.62560791345,-229985.03492317683,-54525.40931526339,0.13814729554874303
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-374823.8491498119,-491303.2028769537,-116479.3537271418,0.13814729554874303
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-80189.02124864412,-105108.36774231103,-24919.34649366692,0.15006863577376145
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-123006.30987518179,-161231.45352898148,-38225.14365379969,0.13814729554874303
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-5019113.708839423,-6578841.35801307,-1559727.6491736472,0.13814729554874303
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-812358.0732371048,-1064804.5052886165,-252446.4320515117,0.13814729554874303
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-27635.073949068545,-36221.16440562942,-8586.090456560873,0.15007462372230626
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-58694.65711663256,-76930.81730382894,-18236.16018719638,0.15007462372230626
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-833520.4055471796,-1092543.1928557744,-259022.7873085948,0.13814729554874303
29,w98916080,other,385409.83654958865,428233.15172176517,481762.2956869858,nr2,-637499.9353000378,-835607.8748915875,-198107.9395915497,0.13814729554874303
30,w98916086,other,84265.32015590335,93628.13350655927,105331.65019487918,nr2,-139381.85031381156,-182695.8173483826,-43313.96703457105,0.13814729554874303
31,w98916091,trade,65522.69205707044,72802.99117452271,81903.36507133805,nr2,-108379.98407363505,-142059.88606089965,-33679.9019872646,0.13814729554874303
32,w98916094,trade,46278.56665361178,51420.6296151242,57848.20831701472,nr1,-83154.31628157607,-108995.15069504765,-25840.834413471573,0.15006863577376145
33,w98916098,trade,1389797.224493673,1544219.1383263033,1737246.5306170913,nr2,-2298840.2388139153,-3013222.2770602875,-714382.0382463722,0.13814729554874303
34,w98916102,trade,284238.58921225026,315820.65468027804,355298.2365153128,nr2,-470154.2748747908,-616258.2813665991,-146104.00649180834,0.13814729554874303
35,w98916109,sfh,38719.86130122445,43022.068112471614,48399.826626530565,r1,-74449.26242136213,-97580.30606366076,-23131.043642298624,0.15007462372230626
36,w98916113,trade,173540.7692960107,192823.07699556745,216925.96162001335,nr2,-287050.87080436025,-376254.1058544904,-89203.23505013017,0.13814729554874303
37,w98916116,other,1062734.6846249367,1180816.3162499296,1328418.3557811708,nr2,-1757851.5866507567,-2304117.2984664254,-546265.7118156687,0.13814729554874303
38,w98916121,other,80557.30305057266,89508.1145006363,100696.62881321582,nr2,-133248.4815189142,-174656.45768598758,-41407.976167073386,0.13814729554874303
39,w98916126,trade,194117.59848031573,215686.22053368413,242646.99810039465,nr2,-321086.65824328974,-420866.7723620097,-99780.11411871994,0.13814729554874303
40,w99055014,mfh,138482.6158739089,153869.5731932321,173103.2698423861,r2,-245107.71952510753,-321261.56139007065,-76153.84186496312,0.13814729554874303
41,w99055018,mfh,74738.71105496878,83043.01228329864,93423.38881871097,r2,-132284.0048285135,-173384.03711020877,-41100.032281695254,0.13814729554874303
42,w99055022,sfh,8121.358728508361,9023.731920564845,10151.69841063545,r1,-15615.478642678363,-20467.136083350782,-4851.657440672419,0.15007462372230626
43,w99055023,sfh,23689.428722857134,26321.58746984126,29611.785903571417,r1,-45549.24620931871,-59701.18764801913,-14151.941438700414,0.15007462372230626
44,w99055025,trade,357208.00610134704,396897.78455705225,446510.0076266838,nr2,-590851.7613793822,-774463.4271528336,-183611.66577345133,0.13814729554874303
45,w99055028,ab,43794.80756460522,48660.897294005794,54743.50945575652,r1,-84207.20042628977,-110369.99055619448,-26162.790129904708,0.15007462372230626
46,w99055030,other,116326.93155687526,129252.14617430585,145408.66444609407,nr2,-192414.42305953786,-252208.66426535274,-59794.24120581488,0.13814729554874303
47,w99055036,other,328535.37354705296,365039.3039411699,410669.2169338162,nr2,-543424.8416051319,-712298.2323805968,-168873.39077546494,0.13814729554874303
48,w99055038,other,86262.38089475907,95847.08988306564,107827.97611844883,nr2,-142685.15492899352,-187025.64892446372,-44340.4939954702,0.13814729554874303
49,w99055039,other,312686.9164410429,347429.90715671435,390858.64555130363,nr2,-517210.17497872136,-677937.1592922105,-160726.9843134891,0.13814729554874303
50,w99055040,trade,35391.70019666166,39324.111329624066,44239.62524582707,nr1,-63592.56227453276,-83354.43327711677,-19761.871002584012,0.15006863577376145
51,w99055041,ab,64982.981209910264,72203.31245545585,81228.72651238783,r2,-115016.82165512111,-150752.0194902,-35735.1978350789,0.13814729554874303
52,w99055043,sfh,86320.99151306404,95912.21279229339,107901.23939133005,r2,-152784.0967141898,-200253.4133199518,-47469.316605762,0.13814729554874303
53,w99055048,sfh,24285.63485393199,26984.0387265911,30357.04356741499,r1,-46695.6115427145,-61203.723421448565,-14508.111878734067,0.15007462372230626
54,w99055050,trade,65308.77244341692,72565.3027149077,81635.96555427114,nr2,-108026.14323479083,-141596.08649791256,-33569.943263121735,0.13814729554874303
55,w99055053,ab,49059.40863841541,54510.454042683785,61324.260798019255,r1,-94329.80039736675,-123637.63581166005,-29307.835414293295,0.15007462372230626
56,w99055057,ab,87681.8017174346,97424.2241304829,109602.25214679325,r2,-155192.666799286,-203410.31505994842,-48217.64826066242,0.13814729554874303
57,w99055067,sfh,33001.382887256914,36668.203208063234,41251.72860907114,r1,-63453.96218564302,-83168.81658253123,-19714.854396888215,0.15007462372230626
58,w99055068,ab,132493.30677667502,147214.7853074167,165616.63347084375,r2,-234506.9240022194,-307367.147422782,-72860.22342056263,0.13814729554874303
59,w99055094,other,66091.27134448045,73434.74593831161,82614.08918060057,nr2,-109320.461520142,-143292.62400633848,-33972.16248619648,0.13814729554874303
60,w99055100,sfh,15744.323611141372,17493.69290126819,19680.404513926715,r1,-30272.662163065248,-39678.23915453725,-9405.576991472004,0.15007462372230626
61,w99055110,sfh,52473.960066172556,58304.40007352506,65592.45008271569,r2,-92876.44232530972,-121732.72606670158,-28856.28374139186,0.13814729554874303
