,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-8914375.650039345,-3718666.875933999,0.1808281915873308
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-716378.8163146729,-298840.241810813,0.1808281915873308
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-3148304.8790226723,-1313327.767257748,0.1808281915873308
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-298400.45946038543,-124478.9257174645,0.1808281915873308
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-633128.9202315938,-264112.22011388943,0.1808281915873308
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-1594790.162940283,-665272.9911561717,0.1808281915873308
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-857863.7387422197,-357861.23387244873,0.1808281915873308
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-7138279.313748687,-2977761.30121743,0.1808281915873308
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-1004325.3688654487,-418930.50897550036,0.1808281915873308
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-2865679.3132512416,-1195429.4005087896,0.1808281915873308
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1757906.9942090265,-733317.8191014372,0.1808281915873308
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-892573.3941890349,-372340.5032068731,0.1808281915873308
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-2133045.2487824294,-889808.2179743692,0.1808281915873308
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-2801229.5983585534,-1168543.9483645586,0.1808281915873308
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1802008.3510544263,-751714.8736258345,0.1808281915873308
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-1602652.4382847378,-668552.770250153,0.1808281915873308
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-1513285.8699586566,-631273.1546610765,0.1808281915873308
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-580612.2250453818,-242204.67409055948,0.1808281915873308
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-612877.7722564051,-255664.37405810435,0.1808281915873308
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-407944.2476922193,-170175.54797729163,0.1808281915873308
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-280732.2192736063,-117108.54980803878,0.1808281915873308
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-599711.3617672984,-250171.95411946566,0.1808281915873308
22,w98916062,trade,44628.266224654115,49586.962471837905,55785.33278081764,nr1,-74779.72132959885,-128300.97988932973,-53521.25855973088,0.19643265482075528
23,w98916065,other,74365.24956076973,82628.05506752193,92956.56195096216,nr2,-114708.68993059207,-196807.86526401466,-82099.1753334226,0.1808281915873308
24,w98916067,trade,3034378.024269405,3371531.1380771166,3792972.530336756,nr2,-4680540.036831137,-8030490.919989305,-3349950.883158168,0.1808281915873308
25,w98916074,trade,491122.8611791089,545692.0679767877,613903.5764738861,nr2,-757558.944985224,-1299758.186275291,-542199.241290067,0.1808281915873308
26,w98916075,sfh,14372.556497617988,15969.507219575542,17965.695622022486,r1,-25770.898517721274,-44213.51968254424,-18442.621164822966,0.196440492758533
27,w98916076,sfh,30526.14503843407,33917.93893159341,38157.68129804259,r1,-54735.2996005342,-93905.93209445306,-39170.63249391886,0.196440492758533
28,w98916079,trade,503916.8562605286,559907.618067254,629896.0703256608,nr2,-777293.7327178841,-1333617.5342240245,-556323.8015061404,0.1808281915873308
