,full_id,NFA,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price,savings/NFA [€/m2]
0,w24853838,27974.42320393324,trade,3363349.9875081507,3737055.541675723,4204187.484385188,nr2,-5187980.583993886,-11991686.129345395,-6803705.545351509,0.227676465749455,-243.21164714469964
1,w24853840,937.1926232803613,trade,272349.6863526429,302610.7626140477,340437.1079408036,nr2,-420100.46236703516,-971035.4165628272,-550934.9541957921,0.227676465749455,-587.8566908341743
2,w24853841,8998.296452549099,trade,1188350.4419802595,1320389.379978066,1485438.0524753244,nr2,-1833035.2306099986,-4236943.988827631,-2403908.7582176323,0.227676465749455,-267.15154039369713
3,w25538793,404.8852469230536,trade,112230.46580400888,124700.51756000987,140288.0822550111,nr2,-173115.9349120151,-400146.43883939384,-227030.50392737874,0.227676465749455,-560.7280226995397
4,w27689586,5481.69515059907,office,818145.3088975507,909050.3432195007,1022681.6361219384,nr2,-1261992.3567903403,-2917014.818242131,-1655022.4614517905,0.227676465749455,-301.91800455574776
5,w28994179,8336.082743907347,other,2201757.672994403,2446397.414438226,2752197.091243004,nr2,-3396219.870242344,-7850145.5529426355,-4453925.682700291,0.227676465749455,-534.2948024305018
6,w28994181,1422.5013561584055,trade,420750.2233605851,467500.24817842786,525937.7792007313,nr2,-649008.874370234,-1500142.6066664667,-851133.7322962327,0.227676465749455,-598.3359724835672
7,w29249266,23411.247439788887,trade,2692049.9258480393,2991166.584275599,3365062.407310049,nr2,-4152497.5986186927,-9598233.271945206,-5445735.673326514,0.227676465749455,-232.61193951037157
8,w30213059,1747.46707642246,ab,433572.30468412075,481747.0052045786,541965.3808551509,r2,-715636.0227866818,-1654068.5394804834,-938432.5166938016,0.227676465749455,-537.0244334531486
9,w50930444,8762.936898044496,other,1098863.243386893,1220959.15931877,1373579.0542336162,nr2,-1695000.8748210697,-3917886.381944116,-2222885.5071230466,0.227676465749455,-253.6690076610157
10,w50930445,4934.112452852726,other,688308.3291655973,764787.0324062193,860385.4114569966,nr2,-1061718.304896968,-2454094.1246745572,-1392375.8197775893,0.227676465749455,-282.19377508766905
11,w50930458,1974.6456010334193,other,322603.8818012126,358448.7575569029,403254.8522515157,nr2,-497617.75649929856,-1150211.6963851082,-652593.9398858096,0.227676465749455,-330.48661468380874
12,w50930471,7086.712400933168,other,741559.2688132944,823954.7431258826,926949.086016618,nr2,-1143858.0887427644,-2643954.994557148,-1500096.9058143834,0.227676465749455,-211.67740708891372
13,w50930472,6477.305229391343,other,1142425.6414889656,1269361.8238766284,1428032.051861207,nr2,-1762196.0452271104,-4073203.731319545,-2311007.6860924345,0.227676465749455,-356.78536123418013
14,w50930478,6019.835157379508,trade,845863.988064798,939848.8756275532,1057329.9850809975,nr2,-1304748.5284250907,-3015842.9811535734,-1711094.4527284827,0.227676465749455,-284.24274220049216
15,w50930479,4489.048651921749,other,601355.6698929445,668172.9665477161,751694.5873661806,nr2,-927593.4859787384,-2144073.162841176,-1216479.6768624377,0.227676465749455,-270.9883031322608
16,w50930480,4441.97852948606,other,567543.7161703141,630604.1290781267,709429.6452128926,nr2,-875438.4143770856,-2023520.0423013372,-1148081.6279242516,0.227676465749455,-258.46176884990155
17,w50930481,1370.623297881335,other,209694.20956148568,232993.56617942854,262117.7619518571,nr2,-323454.14298882755,-747643.6153067525,-424189.47231792496,0.227676465749455,-309.48654745153044
18,w50930482,786.6849797132425,other,244449.91309214005,271611.0145468223,305562.391365175,nr2,-377064.9523811837,-871561.5808744612,-494496.62849327753,0.227676465749455,-628.5827761368068
19,w50930483,1057.3881191070657,other,141593.14798462993,157325.71998292214,176991.4349807874,nr2,-218407.98766085977,-504836.12915812316,-286428.1414972634,0.227676465749455,-270.88269323391285
20,w50930486,509.32494937628496,trade,79565.05589646377,88405.61766273752,99456.31987057971,nr2,-122729.41165455856,-283681.2049646688,-160951.79331011022,0.227676465749455,-316.0100315274373
21,w98916060,5426.03009034004,other,674562.9876004758,749514.4306671954,843203.7345005947,nr2,-1040516.0614714932,-2405086.4916890585,-1364570.4302175653,0.227676465749455,-251.48596810159782
22,w98916062,151.14776481509907,trade,44636.284751773725,49595.871946415245,55795.355939717156,nr1,-74793.15728116504,-172879.61128953067,-98086.45400836563,0.24732367345372266,-648.9441251635842
23,w98916065,222.67857759937178,other,73750.5768182926,81945.08535365843,92188.22102286573,nr2,-113760.55480777535,-262950.264571893,-149189.70976411767,0.227676465749455,-669.9778280088069
24,w98916067,36008.87229184061,trade,3131751.8703745524,3479724.300416169,3914689.83796819,nr2,-4830739.577425657,-11165946.334459791,-6335206.757034134,0.227676465749455,-175.93460594070459
25,w98916074,4745.314506876469,trade,489677.5280019927,544086.1422244363,612096.9100024909,nr2,-755329.512874938,-1745895.9793667344,-990566.4664917964,0.227676465749455,-208.7462200990808
26,w98916075,67.06430839556852,sfh,28006.37749434393,31118.1972159377,35007.97186792991,r1,-50217.197780739174,-116068.34248860794,-65851.14470786878,0.24733354201435104,-981.9104421304984
27,w98916076,98.82164086105185,sfh,45724.46230850625,50804.9581205625,57155.57788563281,r1,-81986.83916289908,-189498.35809372217,-107511.51893082309,0.24733354201435104,-1087.9349704584408
28,w98916079,3334.9361924076916,trade,505098.5125556637,561220.569506293,631373.1406945796,nr2,-779116.4422006573,-1800877.9489089865,-1021761.5067083292,0.227676465749455,-306.3811262819568
29,w98916080,1488.1518905248724,other,425989.1748285403,473321.30536504474,532486.4685356753,nr2,-657089.9776146738,-1518821.5612456591,-861731.5836309853,0.227676465749455,-579.0615790751385
30,w98916086,294.4025758753764,other,84011.4414641592,93346.046071288,105014.301830199,nr2,-129587.97888063698,-299534.34553460346,-169946.36665396648,0.227676465749455,-577.2584229219058
31,w98916091,1488.9465953722595,trade,203377.83561937796,225975.37291041994,254222.29452422244,nr2,-313711.1113404388,-725123.2192520292,-411412.1079115904,0.227676465749455,-276.3108557353805
32,w98916094,150.05011938810347,trade,59712.69870596085,66347.44300662317,74640.87338245106,nr2,-92107.07260766481,-212899.62194763005,-120792.54933996523,0.227676465749455,-805.0146833108225
