,trade,office,other,ab,sfh,mfh,education,th,health
0.1,297.1202269830217,198.91716337340566,352.08102790360465,415.0863996684527,529.9044778380708,321.14826930915467,249.52229431868787,429.72245599174687,106.52636875373318
0.2,250.36450205820458,167.61496537783356,296.67650745387954,349.7707522561137,446.5217072526303,270.61419461522576,210.25672201404467,362.1037615629723,89.76306170707494
0.3,203.60877713338743,136.31276738226148,241.27198700415437,284.45510484377473,363.1389366671899,220.0801199212968,170.9911497094015,294.4850671341978,72.9997546604167
0.4,156.85305220857026,105.01056938668937,185.86746655442917,219.13945743143572,279.7561660817494,169.5460452273678,131.7255774047583,226.86637270542315,56.23644761375845
0.5,110.09732728375312,73.70837139111727,130.462946104704,153.82381001909673,196.373395496309,119.01197053343887,92.46000510011513,159.24767827664857,39.473140567100195
0.6,63.341602358936,42.40617339554518,75.05842565497888,88.50816260675775,112.99062491086858,68.47789583950993,53.19443279547195,91.628983847874,22.70983352044197
0.7,16.58587743411885,11.103975399973082,19.653905205253704,23.19251519441873,29.607854325428097,17.943821145580948,13.928860490828779,24.0102894190994,5.946526473783712
0.7999999999999999,-30.16984749069828,-20.198222595598935,-35.75061524447146,-42.123132217920244,-53.7749162600123,-32.59025354834799,-25.336711813814407,-43.60840500967516,-10.816780572874519
0.8999999999999999,-76.92557241551543,-51.50042059117108,-91.15513569419663,-107.43877963025928,-137.15768684545284,-83.12432824227697,-64.60228411845759,-111.22709943844983,-27.580087619532748
0.9999999999999999,-123.68129734033252,-82.80261858674314,-146.55965614392173,-172.75442704259817,-220.5404574308931,-133.65840293620585,-103.8678564231007,-178.84579386722422,-44.34339466619095
1.0999999999999999,-170.43702226514964,-114.10481658231515,-201.96417659364687,-238.0700744549372,-303.9232280163336,-184.19247763013485,-143.13342872774388,-246.4644882959989,-61.10670171284921
1.2,-217.19274718996687,-145.4070145778874,-257.3686970433721,-303.3857218672763,-387.3059986017741,-234.72655232406382,-182.39900103238713,-314.08318272477345,-77.87000875950748
1.3,-263.9484721147841,-176.70921257345952,-312.77321749309743,-368.7013692796154,-470.68876918721475,-285.2606270179929,-221.66457333703042,-381.7018771535482,-94.63331580616577
1.4,-310.7041970396011,-208.0114105690316,-368.1777379428225,-434.01701669195427,-554.071539772655,-335.7947017119218,-260.9301456416735,-449.3205715823227,-111.396622852824
1.5,-357.4599219644183,-239.31360856460367,-423.5822583925476,-499.3326641042933,-637.4543103580957,-386.32877640585076,-300.1957179463166,-516.9392660110974,-128.15992989948222
1.5999999999999999,-404.2156468892354,-270.61580656017566,-478.98677884227277,-564.6483115166322,-720.8370809435357,-436.8628510997797,-339.46129025095985,-584.5579604398717,-144.92323694614046
1.7,-450.9713718140526,-301.91800455574776,-534.3912992919979,-629.9639589289712,-804.2198515289763,-487.39692579370865,-378.726862555603,-652.1766548686463,-161.68654399279865
1.8,-497.72709673886976,-333.2202025513199,-589.7958197417232,-695.2796063413102,-887.6026221144168,-537.9310004876377,-417.9924348602463,-719.7953492974211,-178.44985103945692
1.9,-544.4828216636869,-364.52240054689196,-645.2003401914483,-760.5952537536493,-970.9853926998572,-588.4650751815667,-457.2580071648893,-787.4140437261957,-195.21315808611516
2.0,-591.238546588504,-395.82459854246423,-700.6048606411736,-825.9109011659883,-1054.368163285298,-638.9991498754956,-496.5235794695326,-855.0327381549703,-211.97646513277348
