,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-13933129.398498368,-8737420.624393022,0.2826336572737557
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-1119696.8961041458,-702158.3216002858,0.2826336572737557
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-4920786.489982955,-3085809.3782180306,0.2826336572737557
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-466398.5877928048,-292477.05404988385,0.2826336572737557
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-989577.6796751223,-620560.9795574179,0.2826336572737557
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-2492649.914702796,-1563132.7429186846,0.2826336572737557
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-1340837.1990832794,-840834.6942135084,0.2826336572737557
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-11157098.743157135,-6996580.730625879,0.2826336572737557
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-1569756.0740033584,-984361.21411341,0.2826336572737557
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-4479043.990697571,-2808794.0779551193,0.2826336572737557
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-2747600.7947602677,-1723011.6196526785,0.2826336572737557
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-1395088.2358023382,-874855.3448201764,0.2826336572737557
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-3333940.214198461,-2090703.1833904006,0.2826336572737557
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-4378309.373653225,-2745623.72365923,0.2826336572737557
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-2816531.018894764,-1766237.5414661723,0.2826336572737557
15,w50930479,other,605573.605365519,672859.5615172433,756967.0067068987,nr2,-934099.6680345847,-2504938.6160141914,-1570838.9479796067,0.2826336572737557
16,w50930480,other,571805.8128687943,635339.7920764381,714757.2660859928,nr2,-882012.7152975801,-2365259.0681390087,-1483246.3528414285,0.2826336572737557
17,w50930481,other,219388.45256825408,243764.94729806008,274235.5657103176,nr2,-338407.55095482233,-907494.3192316169,-569086.7682767946,0.2826336572737557
18,w50930482,other,231580.2187222324,257311.35413581377,289475.2734027905,nr2,-357213.39819830074,-957925.225674578,-600711.8274762772,0.2826336572737557
19,w50930483,other,154144.6310888841,171271.81232098234,192680.78886110513,nr2,-237768.69971492764,-637615.040425593,-399846.3407106654,0.2826336572737557
20,w50930486,trade,106076.66272902593,117862.95858780658,132595.82841128242,nr2,-163623.66946556754,-438783.2071502965,-275159.537684729,0.2826336572737557
21,w98916060,other,226605.19701500298,251783.55223889218,283256.4962687537,nr2,-349539.40764783276,-937346.1847792506,-587806.7771314179,0.2826336572737557
