,full_id,building_usage,yearly_demand_useful_unrenovated,yearly_demand_delivered_unrenovated,yearly_demand_delivered_unrenovated_DH,consumer_size_unrenovated,npv_Gas_25years_ir_0.05,npv_DH_25years_ir_0.05,savings_npv_25years_ir_0.05,operator_selling_price
0,w24853838,trade,3368360.1466045496,3742622.385116166,4210450.183255686,nr2,-5195708.774105346,-5202319.180010731,-6610.405905385502,0.10552909214424613
1,w24853840,trade,270688.823253195,300765.35917021666,338361.0290664937,nr2,-417538.5745038599,-418069.8012485888,-531.2267447288614,0.10552909214424613
2,w24853841,trade,1189609.3568609958,1321788.1742899953,1487011.6960762446,nr2,-1834977.1117649244,-1837311.7198161515,-2334.608051227173,0.10552909214424613
3,w25538793,trade,112752.73275817276,125280.81417574751,140940.91594771593,nr2,-173921.53374292093,-174142.8109514239,-221.27720850295736,0.10552909214424613
4,w27689586,office,239232.2588022705,265813.6208914117,299040.3235028381,nr2,-369016.70011770434,-369486.19336293795,-469.493245233607,0.10552909214424613
5,w28994179,other,602602.7887910821,669558.6542123135,753253.4859888526,nr2,-929517.1717841114,-930699.779599265,-1182.6078151535476,0.10552909214424613
6,w28994181,trade,324149.90597616514,360166.56219573907,405187.3824702064,nr2,-500002.504869771,-500638.6489753397,-636.1441055687028,0.10552909214424613
7,w29249266,trade,2697249.5326306587,2996943.9251451762,3371561.915788323,nr2,-4160518.012531257,-4165811.364032514,-5293.351501257159,0.10552909214424613
8,w30213059,ab,354664.9280794791,394072.1423105323,443331.1600993488,r2,-585394.8598899484,-586111.8416517499,-716.9817618015222,0.10552909214424613
9,w50930444,other,1082817.2797117848,1203130.310790872,1353521.599639731,nr2,-1670249.912742452,-1672374.9413702479,-2125.0286277958658,0.10552909214424613
10,w50930445,other,664237.6418930636,738041.8243256261,830297.0523663294,nr2,-1024589.1751075892,-1025892.7413058107,-1303.5661982215242,0.10552909214424613
11,w50930458,other,337265.1957843652,374739.10642707243,421581.49473045644,nr2,-520232.89098216186,-520894.77384054364,-661.8828583817813,0.10552909214424613
12,w50930471,other,805986.2955036239,895540.3283373598,1007482.8693795298,nr2,-1243237.0308080602,-1244818.7787018616,-1581.7478938014247,0.10552909214424613
13,w50930472,other,1058464.4972369291,1176071.663596588,1323080.6215461614,nr2,-1632685.6499939947,-1634762.8862925626,-2077.2362985678483,0.10552909214424613
14,w50930478,trade,680901.6527717811,756557.3919686456,851127.0659647263,nr2,-1050293.4774285918,-1051629.7467437978,-1336.26931520598,0.10552909214424613
